Card,Floor,Picked,Act,Boss
SKIP,1.0,True,1,False
Study,1.0,False,1,False
EmptyBody,1.0,False,1,False
JustLucky,1.0,False,1,False
SKIP,1.0,False,1,False
ReachHeaven,3.0,True,1,False
EmptyFist,3.0,False,1,False
TalkToTheHand,3.0,False,1,False
SKIP,3.0,False,1,False
SKIP,4.0,True,1,False
Vengeance,4.0,False,1,False
Halt,4.0,False,1,False
Crescendo,4.0,False,1,False
SKIP,4.0,False,1,False
Worship,5.0,True,1,False
Establishment,5.0,False,1,False
Evaluate,5.0,False,1,False
SKIP,5.0,False,1,False
Wallop,7.0,True,1,False
Fasting2,7.0,False,1,False
Crescendo,7.0,False,1,False
SKIP,7.0,False,1,False
SKIP,8.0,True,1,False
Vengeance,8.0,False,1,False
Halt,8.0,False,1,False
Evaluate,8.0,False,1,False
WaveOfTheHand,8.0,False,1,False
SKIP,8.0,False,1,False
Tantrum,10.0,True,1,False
PathToVictory,10.0,False,1,False
EmptyFist,10.0,False,1,False
Prostrate,10.0,False,1,False
SKIP,10.0,False,1,False
CutThroughFate,12.0,True,1,False
WaveOfTheHand,12.0,False,1,False
Tantrum,12.0,False,1,False
Swivel,12.0,False,1,False
SKIP,12.0,False,1,False
WheelKick,14.0,True,1,False
Crescendo,14.0,False,1,False
PathToVictory,14.0,False,1,False
Devotion,14.0,False,1,False
SKIP,14.0,False,1,False
Vault,16.0,True,1,True
Ragnarok,16.0,False,1,True
Wish,16.0,False,1,True
DeusExMachina,16.0,False,1,True
SKIP,16.0,False,1,True
Meditate,18.0,True,2,False
EmptyBody,18.0,False,2,False
Prostrate,18.0,False,2,False
ThirdEye,18.0,False,2,False
SKIP,18.0,False,2,False
SKIP,19.0,True,2,False
Halt,19.0,False,2,False
WindmillStrike,19.0,False,2,False
Prostrate,19.0,False,2,False
Consecrate,19.0,False,2,False
SKIP,19.0,False,2,False
SKIP,19.0,True,2,False
Halt,19.0,False,2,False
WindmillStrike,19.0,False,2,False
Prostrate,19.0,False,2,False
Consecrate,19.0,False,2,False
SKIP,19.0,False,2,False
CutThroughFate,21.0,True,2,False
Study,21.0,False,2,False
Swivel,21.0,False,2,False
Halt,21.0,False,2,False
SKIP,21.0,False,2,False
EmptyMind,25.0,True,2,False
Tantrum,25.0,False,2,False
SashWhip,25.0,False,2,False
FlurryOfBlows,25.0,False,2,False
SKIP,25.0,False,2,False
Swivel,29.0,True,2,False
EmptyFist,29.0,False,2,False
Protect,29.0,False,2,False
Study,29.0,False,2,False
SKIP,29.0,False,2,False
Worship,30.0,True,2,False
SashWhip,30.0,False,2,False
JustLucky,30.0,False,2,False
ClearTheMind,30.0,False,2,False
SKIP,30.0,False,2,False
CrushJoints,31.0,True,2,False
MasterReality,31.0,False,2,False
Evaluate,31.0,False,2,False
FollowUp,31.0,False,2,False
SKIP,31.0,False,2,False
Omniscience,33.0,True,2,True
Brilliance,33.0,False,2,True
Ragnarok,33.0,False,2,True
Devotion,33.0,False,2,True
SKIP,33.0,False,2,True
SKIP,35.0,True,3,False
Evaluate,35.0,False,3,False
Crescendo,35.0,False,3,False
SashWhip,35.0,False,3,False
JustLucky,35.0,False,3,False
SKIP,35.0,False,3,False
HandOfGreed,36.0,True,3,False
The Bomb,36.0,False,3,False
Mind Blast,36.0,False,3,False
Metamorphosis,36.0,False,3,False
SKIP,36.0,False,3,False
SKIP,36.0,True,3,False
Mayhem,36.0,False,3,False
Panache,36.0,False,3,False
HandOfGreed,36.0,False,3,False
Enlightenment,36.0,False,3,False
SKIP,36.0,False,3,False
SKIP,36.0,True,3,False
HandOfGreed,36.0,False,3,False
Blind,36.0,False,3,False
Magnetism,36.0,False,3,False
Sadistic Nature,36.0,False,3,False
SKIP,36.0,False,3,False
CutThroughFate,37.0,True,3,False
ThirdEye,37.0,False,3,False
EmptyBody,37.0,False,3,False
Indignation,37.0,False,3,False
SKIP,37.0,False,3,False
SKIP,38.0,True,3,False
Swivel,38.0,False,3,False
FlyingSleeves,38.0,False,3,False
SandsOfTime,38.0,False,3,False
Halt,38.0,False,3,False
SKIP,38.0,False,3,False
SKIP,38.0,True,3,False
Swivel,38.0,False,3,False
FlyingSleeves,38.0,False,3,False
SandsOfTime,38.0,False,3,False
Halt,38.0,False,3,False
SKIP,38.0,False,3,False
SKIP,39.0,True,3,False
Study,39.0,False,3,False
FollowUp,39.0,False,3,False
Evaluate,39.0,False,3,False
Devotion,39.0,False,3,False
SKIP,39.0,False,3,False
WheelKick,40.0,True,3,False
WaveOfTheHand,40.0,False,3,False
CutThroughFate,40.0,False,3,False
SashWhip,40.0,False,3,False
SKIP,40.0,False,3,False
SKIP,42.0,True,3,False
EmptyFist,42.0,False,3,False
ReachHeaven,42.0,False,3,False
Vengeance,42.0,False,3,False
BowlingBash,42.0,False,3,False
SKIP,42.0,False,3,False
Ragnarok,44.0,True,3,False
Adaptation,44.0,False,3,False
EmptyMind,44.0,False,3,False
Evaluate,44.0,False,3,False
Singing Bowl,44.0,False,3,False
Singing Bowl,45.0,True,3,False
FlurryOfBlows,45.0,False,3,False
Evaluate,45.0,False,3,False
CrushJoints,45.0,False,3,False
FlyingSleeves,45.0,False,3,False
Singing Bowl,45.0,False,3,False
Singing Bowl,46.0,True,3,False
FlyingSleeves,46.0,False,3,False
Crescendo,46.0,False,3,False
FlurryOfBlows,46.0,False,3,False
Consecrate,46.0,False,3,False
Singing Bowl,46.0,False,3,False
Meditate,47.0,True,3,False
ClearTheMind,47.0,False,3,False
BowlingBash,47.0,False,3,False
Crescendo,47.0,False,3,False
Singing Bowl,47.0,False,3,False
Worship,55.0,True,4,False
CutThroughFate,55.0,False,4,False
DeusExMachina,55.0,False,4,False
Halt,55.0,False,4,False
Singing Bowl,55.0,False,4,False
Consecrate,1.0,True,1,False
Study,1.0,False,1,False
SashWhip,1.0,False,1,False
SKIP,1.0,False,1,False
CutThroughFate,2.0,True,1,False
Pray,2.0,False,1,False
ClearTheMind,2.0,False,1,False
SKIP,2.0,False,1,False
SKIP,3.0,True,1,False
Prostrate,3.0,False,1,False
Evaluate,3.0,False,1,False
Consecrate,3.0,False,1,False
SKIP,3.0,False,1,False
ForeignInfluence,4.0,True,1,False
Prostrate,4.0,False,1,False
Indignation,4.0,False,1,False
SKIP,4.0,False,1,False
SKIP,6.0,True,1,False
Fasting2,6.0,False,1,False
Prostrate,6.0,False,1,False
EmptyFist,6.0,False,1,False
SKIP,6.0,False,1,False
SKIP,8.0,True,1,False
Conclude,8.0,False,1,False
FollowUp,8.0,False,1,False
Evaluate,8.0,False,1,False
SKIP,8.0,False,1,False
Adaptation,10.0,True,1,False
Worship,10.0,False,1,False
CrushJoints,10.0,False,1,False
SKIP,10.0,False,1,False
SKIP,11.0,True,1,False
DeceiveReality,11.0,False,1,False
BowlingBash,11.0,False,1,False
SashWhip,11.0,False,1,False
SKIP,11.0,False,1,False
SKIP,12.0,True,1,False
Wallop,12.0,False,1,False
ThirdEye,12.0,False,1,False
EmptyBody,12.0,False,1,False
SKIP,12.0,False,1,False
Meditate,13.0,True,1,False
SashWhip,13.0,False,1,False
Wireheading,13.0,False,1,False
SKIP,13.0,False,1,False
Scrawl,16.0,True,1,True
Blasphemy,16.0,False,1,True
Wish,16.0,False,1,True
SKIP,16.0,False,1,True
Prostrate,18.0,True,2,False
JustLucky,18.0,False,2,False
WaveOfTheHand,18.0,False,2,False
SKIP,18.0,False,2,False
SKIP,19.0,True,2,False
Halt,19.0,False,2,False
FollowUp,19.0,False,2,False
Consecrate,19.0,False,2,False
SKIP,19.0,False,2,False
FearNoEvil,20.0,True,2,False
EmptyBody,20.0,False,2,False
BowlingBash,20.0,False,2,False
SKIP,20.0,False,2,False
Prostrate,23.0,True,2,False
BattleHymn,23.0,False,2,False
EmptyBody,23.0,False,2,False
SKIP,23.0,False,2,False
Scrawl,25.0,True,2,False
Conclude,25.0,False,2,False
BowlingBash,25.0,False,2,False
SKIP,25.0,False,2,False
SKIP,28.0,True,2,False
ThirdEye,28.0,False,2,False
Halt,28.0,False,2,False
BattleHymn,28.0,False,2,False
SKIP,28.0,False,2,False
InnerPeace,29.0,True,2,False
Meditate,29.0,False,2,False
Vengeance,29.0,False,2,False
SKIP,29.0,False,2,False
SKIP,30.0,True,2,False
ForeignInfluence,30.0,False,2,False
SashWhip,30.0,False,2,False
PathToVictory,30.0,False,2,False
SKIP,30.0,False,2,False
SKIP,31.0,True,2,False
FollowUp,31.0,False,2,False
Consecrate,31.0,False,2,False
Halt,31.0,False,2,False
SKIP,31.0,False,2,False
Establishment,33.0,True,2,True
MasterReality,33.0,False,2,True
Ragnarok,33.0,False,2,True
SKIP,33.0,False,2,True
SKIP,35.0,True,3,False
Halt,35.0,False,3,False
FlurryOfBlows,35.0,False,3,False
LikeWater,35.0,False,3,False
SKIP,35.0,False,3,False
SKIP,36.0,True,3,False
Protect,36.0,False,3,False
PathToVictory,36.0,False,3,False
EmptyBody,36.0,False,3,False
SKIP,36.0,False,3,False
Adaptation,40.0,True,3,False
Nirvana,40.0,False,3,False
Wish,40.0,False,3,False
SKIP,40.0,False,3,False
Tantrum,42.0,True,3,False
SignatureMove,42.0,False,3,False
