Card,Count
Defend_P,67
Strike_R,64
Strike_P,49
Strike_G,40
Strike_B,36
Defend_B,27
Regret,11
Defend_G,10
Zap,9
Pain,6
Doubt,6
Bash,5
Normality,5
Decay,4
Writhe,4
Dagger Spray,3
Deadly Poison,3
Shame,3
Anger,3
CrushJoints,3
Consecrate,3
FearNoEvil,2
Injury,2
EmptyBody,2
FTL,2
BowlingBash,2
Eruption,2
Rainbow,2
WreathOfFlame,2
Undo,1
Footwork,1
BootSequence,1
Expertise,1
Conserve Battery,1
Noxious Fumes,1
Unload,1
Dramatic Entrance,1
Bouncing Flask,1
Scrape,1
All Out Attack,1
Hello World,1
Tempest,1
Dagger Throw,1
Steam,1
Reprogram,1
Cold Snap,1
Dualcast,1
Bite,1
Leg Sweep,1
Evaluate,1
Prostrate,1
PathToVictory,1
EmptyFist,1
Vigilance,1
BattleHymn,1
FlyingSleeves,1
CutThroughFate,1
Judgement,1
Establishment,1
CarveReality,1
LikeWater,1
Pray,1
Dash,1
ThirdEye,1
FlurryOfBlows,1
Defend_R,1
Bludgeon,1
Wild Strike,1
Headbutt,1
Cleave,1
Twin Strike,1
Bane,1
Glass Knife,1
Riddle With Holes,1
Ball Lightning,1
