Card,Win
SandsOfTime,True
MentalFortress,True
EmptyMind,True
DevaForm,True
Vigilance,True
Strike_P,True
Defend_P,True
Tantrum,True
CutThroughFate,True
Eruption,True
Meditate,True
Swivel,True
HandOfGreed,True
Worship,True
Omniscience,True
FearNoEvil,True
CrushJoints,True
ReachHeaven,True
Ragnarok,True
WheelKick,True
RitualDagger,True
Wallop,True
Vault,True
Prostrate,True
Establishment,True
Apparition,True
FearNoEvil,True
Tantrum,True
CutThroughFate,True
Eruption,True
Adaptation,True
TalkToTheHand,True
Meditate,True
InnerPeace,True
ConjureBlade,True
Scrawl,True
Vigilance,True
Halt,True
Tantrum,True
Wallop,True
Adaptation,True
InnerPeace,True
MentalFortress,True
EmptyMind,True
Scrawl,True
Vigilance,True
WheelKick,True
Prostrate,False
EmptyFist,False
Defend_P,False
CutThroughFate,False
Eruption,False
Wallop,False
InnerPeace,False
MentalFortress,False
EmptyMind,False
Vigilance,False
Strike_P,False
SashWhip,True
Apparition,True
FearNoEvil,True
CutThroughFate,True
Eruption,True
TalkToTheHand,True
MentalFortress,True
EmptyMind,True
Scrawl,True
Vigilance,True
Prostrate,False
Pray,False
EmptyFist,False
Crescendo,False
Collect,False
Eruption,False
Brilliance,False
Adaptation,False
ClearTheMind,False
MentalFortress,False
InnerPeace,False
Vigilance,False
Strike_P,False
EmptyBody,True
FearNoEvil,True
Defend_P,True
Eruption,True
Adaptation,True
Meditate,True
Consecrate,True
Vault,True
Scrawl,True
Vigilance,True
Crescendo,True
LessonLearned,True
Apparition,True
Tantrum,True
FlurryOfBlows,True
Adaptation,True
InnerPeace,True
MentalFortress,True
Blasphemy,True
Vigilance,True
EmptyFist,True
FearNoEvil,True
CutThroughFate,True
Eruption,True
Adaptation,True
InnerPeace,True
MentalFortress,True
Vigilance,True
Halt,True
Tantrum,False
FlurryOfBlows,False
Dark Shackles,False
Eruption,False
ReachHeaven,False
MentalFortress,False
Meditate,False
InnerPeace,False
Vigilance,False
Secret Technique,False
Halt,False
EmptyFist,True
Defend_P,True
Eruption,True
Adaptation,True
Consecrate,True
Vault,True
Scrawl,True
Vigilance,True
Strike_P,True
EmptyFist,False
Defend_P,False
Tantrum,False
FlurryOfBlows,False
Eruption,False
DevaForm,False
Vigilance,False
Strike_P,False
FearNoEvil,True
CutThroughFate,True
Eruption,True
Wallop,True
Adaptation,True
TalkToTheHand,True
InnerPeace,True
MentalFortress,True
Vault,True
Vigilance,True
Crescendo,True
Prostrate,True
Devotion,True
FearNoEvil,True
FlurryOfBlows,True
CrushJoints,True
Eruption,True
Flash of Steel,True
TalkToTheHand,True
ReachHeaven,True
MentalFortress,True
Consecrate,True
Scrawl,True
Vigilance,True
Strike_P,True
Halt,True
Prostrate,True
Pray,True
Establishment,True
Devotion,True
Apparition,True
EmptyFist,True
FearNoEvil,True
Tantrum,True
CutThroughFate,True
Eruption,True
