Enemy,Damage Taken
The Heart,159.0
The Heart,133.0
The Heart,123.0
2 Orb Walkers,122.0
Awakened One,117.0
The Heart,114.0
The Heart,111.0
Time Eater,109.0
The Heart,108.0
Time Eater,108.0
Champ,107.0
Time Eater,105.0
Champ,97.0
The Heart,97.0
The Heart,94.0
The Heart,91.0
The Heart,91.0
2 Orb Walkers,91.0
Time Eater,90.0
Collector,88.0
Slavers,88.0
Gremlin Nob,86.0
Giant Head,86.0
Time Eater,85.0
2 Orb Walkers,84.0
Reptomancer,83.0
Book of Stabbing,83.0
The Heart,82.0
The Heart,82.0
The Heart,81.0
The Heart,80.0
Nemesis,79.0
Automaton,79.0
Awakened One,78.0
The Heart,78.0
Champ,76.0
Giant Head,76.0
Champ,75.0
The Heart,75.0
The Heart,74.0
The Heart,74.0
Donu and Deca,73.0
The Heart,73.0
Reptomancer,73.0
Time Eater,73.0
Automaton,72.0
The Heart,72.0
Shield and Spear,72.0
Shield and Spear,71.0
Automaton,71.0
2 Orb Walkers,71.0
Nemesis,70.0
The Heart,70.0
Gremlin Nob,70.0
The Heart,70.0
The Heart,69.0
Reptomancer,69.0
Nemesis,68.0
Giant Head,68.0
The Heart,67.0
Giant Head,67.0
Champ,67.0
Donu and Deca,67.0
Champ,66.0
2 Orb Walkers,66.0
Shield and Spear,66.0
The Heart,66.0
The Heart,65.0
Reptomancer,65.0
The Heart,63.0
Time Eater,63.0
Awakened One,63.0
Awakened One,62.0
Book of Stabbing,61.0
Masked Bandits,61.0
Donu and Deca,61.0
Time Eater,61.0
Shield and Spear,60.0
Gremlin Nob,59.0
Collector,58.0
The Heart,58.0
Book of Stabbing,58.0
Nemesis,58.0
Lagavulin,58.0
The Heart,58.0
Jaw Worm Horde,58.0
The Heart,57.0
The Heart,57.0
Slime Boss,56.0
Gremlin Nob,56.0
The Heart,55.0
Collector,55.0
Shield and Spear,55.0
Hexaghost,55.0
Donu and Deca,55.0
The Heart,55.0
Gremlin Leader,55.0
The Guardian,55.0
Time Eater,54.0
The Heart,54.0
Time Eater,54.0
Giant Head,54.0
Donu and Deca,54.0
The Heart,54.0
Maw,54.0
The Heart,54.0
The Heart,54.0
Lagavulin,54.0
Automaton,54.0
3 Sentries,54.0
The Heart,53.0
Automaton,53.0
Gremlin Nob,52.0
The Guardian,52.0
Hexaghost,52.0
Shield and Spear,52.0
Reptomancer,51.0
Time Eater,51.0
The Heart,51.0
Shelled Parasite and Fungi,51.0
Shield and Spear,50.0
Automaton,50.0
3 Shapes,50.0
The Heart,50.0
Reptomancer,50.0
Gremlin Gang,50.0
Time Eater,50.0
Gremlin Nob,49.0
Champ,49.0
Shelled Parasite and Fungi,49.0
Slime Boss,49.0
Nemesis,49.0
Donu and Deca,49.0
Book of Stabbing,49.0
The Heart,49.0
Gremlin Nob,49.0
Automaton,49.0
Donu and Deca,49.0
Shield and Spear,49.0
Time Eater,48.0
Donu and Deca,48.0
Nemesis,48.0
Time Eater,48.0
Time Eater,48.0
The Heart,48.0
The Heart,48.0
3 Darklings,48.0
Slime Boss,48.0
The Heart,48.0
Snake Plant,48.0
Champ,48.0
Lagavulin,47.0
The Heart,47.0
Maw,47.0
Lagavulin,47.0
Time Eater,47.0
Shield and Spear,47.0
Slavers,47.0
Gremlin Leader,46.0
The Heart,46.0
The Heart,46.0
3 Sentries,46.0
Shield and Spear,46.0
4 Shapes,46.0
Slavers,46.0
The Guardian,46.0
Gremlin Leader,46.0
3 Sentries,45.0
Book of Stabbing,44.0
Slavers,44.0
Lagavulin,44.0
Lagavulin,44.0
Gremlin Gang,44.0
3 Sentries,44.0
Collector,44.0
Awakened One,44.0
3 Sentries,43.0
3 Sentries,43.0
Champ,43.0
Awakened One,43.0
Champ,42.0
3 Byrds,42.0
Hexaghost,42.0
Writhing Mass,42.0
The Heart,42.0
The Heart,42.0
Hexaghost,42.0
Donu and Deca,42.0
Shell Parasite,42.0
Transient,42.0
Donu and Deca,42.0
Shelled Parasite and Fungi,41.0
Slavers,41.0
Slavers,41.0
Hexaghost,41.0
Slavers,41.0
The Heart,41.0
Hexaghost,41.0
The Heart,41.0
Donu and Deca,41.0
Donu and Deca,41.0
Book of Stabbing,41.0
Gremlin Nob,40.0
The Heart,40.0
Slavers,40.0
3 Sentries,40.0
Hexaghost,40.0
3 Sentries,40.0
Gremlin Nob,40.0
Chosen,40.0
Lagavulin,40.0
Snake Plant,40.0
Gremlin Leader,40.0
Book of Stabbing,40.0
Slime Boss,39.0
3 Byrds,39.0
Donu and Deca,39.0
Snake Plant,39.0
Donu and Deca,39.0
3 Darklings,39.0
Hexaghost,39.0
Champ,39.0
Collector,39.0
Transient,39.0
Automaton,38.0
Time Eater,38.0
Automaton,38.0
The Heart,38.0
The Heart,38.0
The Heart,38.0
Spheric Guardian,38.0
Shelled Parasite and Fungi,38.0
Awakened One,38.0
The Heart,38.0
Awakened One,38.0
The Heart,37.0
Gremlin Nob,37.0
Slime Boss,37.0
3 Sentries,37.0
Gremlin Gang,37.0
Writhing Mass,37.0
Automaton,37.0
Reptomancer,37.0
Slime Boss,37.0
Time Eater,37.0
Reptomancer,37.0
Shield and Spear,37.0
Slavers,36.0
Gremlin Nob,36.0
Donu and Deca,36.0
The Guardian,36.0
3 Sentries,36.0
Nemesis,36.0
Book of Stabbing,36.0
Collector,36.0
Gremlin Leader,36.0
2 Orb Walkers,36.0
Giant Head,36.0
Chosen and Byrds,36.0
Gremlin Nob,36.0
Shelled Parasite and Fungi,36.0
3 Byrds,36.0
Gremlin Nob,36.0
Gremlin Nob,36.0
Nemesis,35.0
Book of Stabbing,35.0
3 Sentries,35.0
Donu and Deca,35.0
3 Sentries,35.0
Book of Stabbing,35.0
Shield and Spear,35.0
Awakened One,35.0
Chosen and Byrds,35.0
Automaton,35.0
Shield and Spear,35.0
Collector,35.0
Automaton,35.0
Slavers,35.0
Cultist and Chosen,35.0
Shelled Parasite and Fungi,34.0
Book of Stabbing,34.0
Book of Stabbing,34.0
3 Darklings,34.0
The Guardian,34.0
Champ,34.0
Gremlin Nob,34.0
Lagavulin,34.0
Time Eater,34.0
2 Orb Walkers,34.0
Collector,34.0
3 Cultists,34.0
Gremlin Leader,34.0
3 Sentries,34.0
Donu and Deca,34.0
The Guardian,34.0
Awakened One,34.0
Spheric Guardian,33.0
Lagavulin,33.0
Book of Stabbing,33.0
Orb Walker,33.0
Lagavulin,33.0
Book of Stabbing,33.0
Collector,33.0
The Guardian,33.0
Book of Stabbing,33.0
Hexaghost,33.0
Exordium Thugs,33.0
Hexaghost,33.0
3 Sentries,33.0
The Heart,33.0
3 Sentries,33.0
Gremlin Gang,33.0
Shelled Parasite and Fungi,33.0
Snecko,33.0
Maw,33.0
3 Sentries,33.0
Reptomancer,33.0
Slime Boss,33.0
Shield and Spear,33.0
Spire Growth,33.0
Sphere and 2 Shapes,33.0
Time Eater,33.0
3 Darklings,33.0
Book of Stabbing,33.0
Lagavulin,32.0
