Card,Win
Defend_B,False
Hyperbeam,False
Zap,False
Dualcast,False
Streamline,False
Reboot,False
Self Repair,False
Hologram,False
Strike_B,False
Cold Snap,False
Defend_B,False
Zap,False
Genetic Algorithm,False
Dualcast,False
Ball Lightning,False
Go for the Eyes,False
Coolheaded,False
Self Repair,False
Strike_B,False
CurseOfTheBell,False
Mayhem,True
Core Surge,True
Apparition,True
Acrobatics,True
Fasting2,True
Meteor Strike,True
Spot Weakness,True
PiercingWail,True
Shrug It Off,True
Glacier,True
Apotheosis,True
Buffer,True
Echo Form,True
Compile Driver,True
Tools of the Trade,True
TalkToTheHand,True
Outmaneuver,True
Streamline,True
Coolheaded,True
Hologram,True
Clothesline,True
Go for the Eyes,True
Force Field,True
Iron Wave,True
Electrodynamics,True
Well Laid Plans,True
Genetic Algorithm,True
Dualcast,True
Dual Wield,True
JustLucky,True
Deep Breath,True
Core Surge,True
Apparition,True
Hello World,True
Zap,True
Sweeping Beam,True
Ball Lightning,True
Biased Cognition,True
Compile Driver,True
White Noise,True
Consume,True
Coolheaded,True
Reinforced Body,True
Hologram,True
Fusion,True
BootSequence,True
Tempest,True
Capacitor,True
Machine Learning,True
Rainbow,True
Electrodynamics,True
Turbo,True
Heatsinks,True
Dualcast,True
All For One,True
Seek,True
Recycle,False
Fission,False
Zap,False
Meteor Strike,False
Glacier,False
Apotheosis,False
Double Energy,False
Defend_B,False
Compile Driver,False
Defragment,False
Coolheaded,False
Hologram,False
Reinforced Body,False
Doom and Gloom,False
Redo,False
Darkness,False
BootSequence,False
Tempest,False
Go for the Eyes,False
Leap,False
Self Repair,False
Dualcast,False
Steam,False
Strike_B,False
Recycle,True
Fission,True
Meteor Strike,True
Storm,True
Buffer,True
Cold Snap,True
Echo Form,True
Chill,True
Compile Driver,True
Defragment,True
Secret Technique,True
White Noise,True
Coolheaded,True
Hologram,True
Doom and Gloom,True
Fusion,True
Amplify,True
Stack,True
Go for the Eyes,True
Beam Cell,True
Leap,True
Lockon,True
Capacitor,True
Barrage,True
Self Repair,True
Turbo,True
Genetic Algorithm,True
Loop,True
Dualcast,True
Steam Power,True
Seek,True
Core Surge,False
Zap,False
Meteor Strike,False
Ball Lightning,False
Sunder,False
Defend_B,False
Echo Form,False
Compile Driver,False
Undo,False
Redo,False
Coolheaded,False
Reinforced Body,False
Stack,False
Beam Cell,False
Skim,False
Electrodynamics,False
Conserve Battery,False
Turbo,False
Dualcast,False
Aggregate,False
Steam,False
Strike_B,False
Buffer,False
Defend_B,False
Zap,False
Dualcast,False
Writhe,False
Coolheaded,False
Hologram,False
Doom and Gloom,False
Strike_B,False
Stack,False
Defend_B,False
Coolheaded,False
Echo Form,False
Zap,False
Defragment,False
Dualcast,False
Biased Cognition,False
Glacier,False
Hologram,False
Self Repair,False
Doom and Gloom,False
Strike_B,False
Rebound,False
Reinforced Body,False
BootSequence,False
Melter,False
Recycle,False
Skim,False
Cold Snap,False
Defend_B,False
Coolheaded,False
Fission,False
Zap,False
Undo,False
Dualcast,False
Ball Lightning,False
White Noise,False
Redo,False
Hologram,False
Self Repair,False
Biased Cognition,False
Rebound,False
Go for the Eyes,False
Static Discharge,False
Recycle,False
Core Surge,False
Zap,False
Sweeping Beam,False
Glacier,False
Buffer,False
Sunder,False
Double Energy,False
Chaos,False
Cold Snap,False
Defend_B,False
Echo Form,False
Compile Driver,False
Streamline,False
Coolheaded,False
Reinforced Body,False
Hologram,False
Doom and Gloom,False
Reboot,False
Redo,False
BootSequence,False
Beam Cell,False
Skim,False
Lockon,False
Machine Learning,False
Self Repair,False
Turbo,False
Genetic Algorithm,False
Dualcast,False
Hello World,False
Fission,False
Zap,False
Ball Lightning,False
Auto Shields,False
Defend_B,False
Compile Driver,False
Undo,False
Defragment,False
Blind,False
Redo,False
Coolheaded,False
Creative AI,False
Doom and Gloom,False
Amplify,False
Tempest,False
Self Repair,False
Dualcast,False
Strike_B,False
FTL,False
Recycle,False
Zap,False
Sweeping Beam,False
Ball Lightning,False
Glacier,False
Rebound,False
Defend_B,False
Echo Form,False
Compile Driver,False
Defragment,False
Coolheaded,False
Reinforced Body,False
Darkness,False
BootSequence,False
Beam Cell,False
Skim,False
Machine Learning,False
Barrage,False
Self Repair,False
Turbo,False
Dualcast,False
Aggregate,False
Strike_B,False
FTL,False
Apparition,False
Hyperbeam,False
Fission,False
Meteor Strike,False
Glacier,False
Necronomicurse,False
Cold Snap,False
Defend_B,False
Compile Driver,False
Undo,False
Coolheaded,False
Hologram,False
Reinforced Body,False
Go for the Eyes,False
Stack,False
Beam Cell,False
Skim,False
Loop,False
Dualcast,False
Strike_B,False
FTL,False
Sunder,False
Defend_B,False
Force Field,False
Zap,False
Parasite,False
Dualcast,False
Ball Lightning,False
Fusion,False
Streamline,False
Consume,False
Strike_B,False
Rebound,False
Recycle,True
Apparition,True
Fission,True
Zap,True
Ball Lightning,True
Auto Shields,True
Buffer,True
Double Energy,True
Cold Snap,True
Defend_B,True
Echo Form,True
Compile Driver,True
Streamline,True
Consume,True
Coolheaded,True
Hologram,True
Fusion,True
Go for the Eyes,True
Self Repair,True
RitualDagger,True
Genetic Algorithm,True
Loop,True
Dualcast,True
Strike_B,True
Recycle,True
Core Surge,True
Apparition,True
Zap,True
Glacier,True
Biased Cognition,True
Defend_B,True
Compile Driver,True
Defragment,True
Secret Technique,True
Blind,True
Coolheaded,True
Redo,True
Reinforced Body,True
