Enemy,Damage Taken
The Heart,123.0
Time Eater,109.0
The Heart,91.0
2 Orb Walkers,91.0
Slavers,88.0
Collector,88.0
Gremlin Nob,86.0
Book of Stabbing,83.0
The Heart,82.0
The Heart,74.0
The Heart,73.0
Automaton,72.0
Shield and Spear,72.0
The Heart,70.0
Nemesis,70.0
Giant Head,68.0
The Heart,67.0
Donu and Deca,67.0
Time Eater,63.0
Awakened One,62.0
The Heart,58.0
The Heart,57.0
Gremlin Leader,55.0
Maw,54.0
Gremlin Nob,52.0
Shelled Parasite and Fungi,51.0
The Heart,50.0
Automaton,50.0
Gremlin Gang,50.0
Reptomancer,50.0
Gremlin Nob,49.0
Shield and Spear,49.0
Shelled Parasite and Fungi,49.0
Slime Boss,49.0
The Heart,48.0
Nemesis,48.0
Champ,48.0
Slavers,46.0
4 Shapes,46.0
Collector,44.0
Champ,43.0
Donu and Deca,42.0
Shell Parasite,42.0
The Heart,42.0
Hexaghost,41.0
Book of Stabbing,41.0
Gremlin Nob,40.0
Chosen,40.0
Slavers,40.0
Snake Plant,40.0
Champ,39.0
Snake Plant,39.0
3 Byrds,39.0
3 Darklings,39.0
Awakened One,38.0
Shelled Parasite and Fungi,38.0
Gremlin Gang,37.0
The Heart,37.0
Shield and Spear,37.0
Time Eater,37.0
Gremlin Nob,36.0
Book of Stabbing,36.0
2 Orb Walkers,36.0
Shelled Parasite and Fungi,36.0
Slavers,36.0
Chosen and Byrds,35.0
Book of Stabbing,35.0
Book of Stabbing,35.0
Shield and Spear,35.0
3 Sentries,35.0
The Guardian,34.0
Collector,34.0
Gremlin Nob,34.0
3 Darklings,34.0
3 Darklings,33.0
Lagavulin,33.0
Snecko,33.0
The Guardian,33.0
Spire Growth,33.0
Book of Stabbing,33.0
Book of Stabbing,32.0
Book of Stabbing,32.0
Slime Boss,32.0
Collector,31.0
Lagavulin,31.0
The Heart,31.0
The Heart,31.0
The Heart,31.0
Shield and Spear,31.0
Slavers,31.0
3 Sentries,31.0
Snake Plant,31.0
The Guardian,30.0
The Heart,30.0
Hexaghost,30.0
2 Thieves,30.0
The Heart,30.0
3 Byrds,30.0
Gremlin Leader,29.0
Automaton,29.0
3 Sentries,29.0
Donu and Deca,29.0
Gremlin Nob,29.0
Collector,28.0
Gremlin Leader,28.0
Gremlin Leader,28.0
Shield and Spear,27.0
Transient,27.0
Reptomancer,27.0
Snecko,27.0
Gremlin Nob,27.0
Cultist and Chosen,27.0
Slavers,27.0
Collector,26.0
Slavers,26.0
2 Orb Walkers,26.0
Jaw Worm Horde,26.0
Gremlin Nob,26.0
Gremlin Nob,26.0
Centurion and Healer,26.0
Awakened One,26.0
Donu and Deca,26.0
The Guardian,26.0
2 Thieves,26.0
Writhing Mass,26.0
Sphere and 2 Shapes,25.0
3 Byrds,25.0
Donu and Deca,25.0
Giant Head,25.0
Maw,25.0
Snake Plant,25.0
Lagavulin,25.0
Slime Boss,25.0
Automaton,25.0
Awakened One,25.0
Shelled Parasite and Fungi,25.0
Collector,25.0
Hexaghost,25.0
Reptomancer,25.0
Awakened One,24.0
Hexaghost,24.0
3 Sentries,24.0
Slavers,24.0
3 Darklings,24.0
The Heart,24.0
Slavers,24.0
Nemesis,24.0
3 Darklings,24.0
Snake Plant,24.0
2 Orb Walkers,23.0
Exordium Thugs,23.0
The Heart,23.0
Chosen and Byrds,23.0
Hexaghost,23.0
Hexaghost,23.0
Lagavulin,23.0
3 Shapes,23.0
Large Slime,23.0
Hexaghost,23.0
3 Sentries,23.0
Gremlin Nob,23.0
Hexaghost,22.0
4 Shapes,22.0
3 Sentries,22.0
Lagavulin,22.0
Shell Parasite,22.0
The Mushroom Lair,22.0
Time Eater,22.0
Writhing Mass,22.0
2 Orb Walkers,22.0
3 Darklings,22.0
Book of Stabbing,22.0
Shield and Spear,22.0
The Heart,22.0
3 Sentries,21.0
Lots of Slimes,21.0
Gremlin Nob,21.0
Lagavulin,21.0
Exordium Thugs,21.0
Gremlin Leader,21.0
Lagavulin,21.0
Shell Parasite,21.0
Nemesis,20.0
Donu and Deca,20.0
Awakened One,20.0
Orb Walker,20.0
Sentry and Sphere,20.0
3 Sentries,20.0
3 Louse,20.0
3 Darklings,20.0
Slavers,20.0
Slavers,20.0
3 Sentries,20.0
Hexaghost,20.0
3 Sentries,20.0
Shelled Parasite and Fungi,20.0
Slime Boss,20.0
Mind Bloom Boss Battle,19.0
3 Sentries,19.0
Book of Stabbing,19.0
Gremlin Leader,19.0
Slavers,19.0
Snake Plant,19.0
Collector,19.0
3 Sentries,19.0
Shell Parasite,19.0
Gremlin Leader,19.0
Spheric Guardian,19.0
Chosen,19.0
Gremlin Leader,19.0
Exordium Thugs,19.0
Collector,19.0
The Guardian,18.0
Giant Head,18.0
Awakened One,18.0
Gremlin Leader,18.0
Shield and Spear,18.0
Reptomancer,18.0
Nemesis,18.0
Sphere and 2 Shapes,18.0
Exordium Wildlife,18.0
Time Eater,18.0
Shield and Spear,18.0
Lots of Slimes,18.0
3 Sentries,18.0
Spheric Guardian,18.0
Awakened One,18.0
3 Byrds,18.0
Gremlin Nob,18.0
Chosen,18.0
