Card,Floor,Picked,Act,Boss
Armaments,1,True,1,False
Wild Strike,1,False,1,False
Headbutt,1,False,1,False
SKIP,1,False,1,False
Metallicize,4,True,1,False
Iron Wave,4,False,1,False
Sentinel,4,False,1,False
SKIP,4,False,1,False
Fiend Fire,6,True,1,False
Clothesline,6,False,1,False
Sword Boomerang,6,False,1,False
SKIP,6,False,1,False
Barricade,8,True,1,False
Havoc,8,False,1,False
Sentinel,8,False,1,False
SKIP,8,False,1,False
Entrench,10,True,1,False
Reckless Charge,10,False,1,False
Perfected Strike,10,False,1,False
SKIP,10,False,1,False
Body Slam,13,True,1,False
Searing Blow,13,False,1,False
Clash,13,False,1,False
SKIP,13,False,1,False
Twin Strike,14,True,1,False
Heavy Blade,14,False,1,False
Perfected Strike,14,False,1,False
SKIP,14,False,1,False
Offering,16,True,1,True
Bludgeon,16,False,1,True
Barricade,16,False,1,True
SKIP,16,False,1,True
Shrug It Off,18,True,2,False
Warcry,18,False,2,False
Headbutt,18,False,2,False
SKIP,18,False,2,False
SKIP,19,True,2,False
Clothesline,19,False,2,False
Intimidate,19,False,2,False
Clash,19,False,2,False
SKIP,19,False,2,False
Battle Trance,20,True,2,False
Clothesline,20,False,2,False
Shrug It Off,20,False,2,False
Intimidate,20,False,2,False
Feel No Pain,20,False,2,False
Carnage,20,False,2,False
Havoc,20,False,2,False
Warcry,20,False,2,False
Barricade,20,False,2,False
Cleave,20,False,2,False
Clash,20,False,2,False
Wild Strike,20,False,2,False
Sword Boomerang,20,False,2,False
True Grit,20,False,2,False
Evolve,20,False,2,False
Armaments,20,False,2,False
Bloodletting,20,False,2,False
Flex,20,False,2,False
Twin Strike,20,False,2,False
Uppercut,20,False,2,False
SKIP,20,False,2,False
SKIP,24,True,2,False
Flex,24,False,2,False
Heavy Blade,24,False,2,False
Thunderclap,24,False,2,False
SKIP,24,False,2,False
SKIP,25,True,2,False
Rage,25,False,2,False
Twin Strike,25,False,2,False
Pummel,25,False,2,False
SKIP,25,False,2,False
SKIP,27,True,2,False
Clash,27,False,2,False
Spot Weakness,27,False,2,False
Sentinel,27,False,2,False
SKIP,27,False,2,False
Entrench,29,True,2,False
Heavy Blade,29,False,2,False
Blood for Blood,29,False,2,False
SKIP,29,False,2,False
Second Wind,31,True,2,False
Headbutt,31,False,2,False
Seeing Red,31,False,2,False
SKIP,31,False,2,False
Exhume,33,True,2,True
Fiend Fire,33,False,2,True
Barricade,33,False,2,True
SKIP,33,False,2,True
Feel No Pain,35,True,3,False
Clothesline,35,False,3,False
Havoc,35,False,3,False
SKIP,35,False,3,False
SKIP,37,True,3,False
True Grit,37,False,3,False
Wild Strike,37,False,3,False
Ghostly Armor,37,False,3,False
SKIP,37,False,3,False
SKIP,38,True,3,False
Havoc,38,False,3,False
Metallicize,38,False,3,False
Clothesline,38,False,3,False
SKIP,38,False,3,False
Shrug It Off,41,True,3,False
Wild Strike,41,False,3,False
Pummel,41,False,3,False
SKIP,41,False,3,False
SKIP,42,True,3,False
Limit Break,42,False,3,False
Immolate,42,False,3,False
Clothesline,42,False,3,False
SKIP,42,False,3,False
Shrug It Off,44,True,3,False
Fire Breathing,44,False,3,False
Uppercut,44,False,3,False
SKIP,44,False,3,False
SKIP,46,True,3,False
Metallicize,46,False,3,False
Heavy Blade,46,False,3,False
Rage,46,False,3,False
SKIP,46,False,3,False
Power Through,47,True,3,False
Pummel,47,False,3,False
Cleave,47,False,3,False
SKIP,47,False,3,False
Corruption,48,True,3,False
Wild Strike,48,False,3,False
Intimidate,48,False,3,False
SKIP,48,False,3,False
SKIP,55,True,4,False
Sever Soul,55,False,4,False
Twin Strike,55,False,4,False
Thunderclap,55,False,4,False
SKIP,55,False,4,False
Anger,1,True,1,False
Entrench,1,False,1,False
Iron Wave,1,False,1,False
SKIP,1,False,1,False
Iron Wave,2,True,1,False
True Grit,2,False,1,False
Dark Embrace,2,False,1,False
SKIP,2,False,1,False
Dark Embrace,3,True,1,False
Flex,3,False,1,False
Clash,3,False,1,False
SKIP,3,False,1,False
Shrug It Off,6,True,1,False
Metallicize,6,False,1,False
True Grit,6,False,1,False
SKIP,6,False,1,False
Carnage,7,True,1,False
Heavy Blade,7,False,1,False
Wild Strike,7,False,1,False
SKIP,7,False,1,False
Armaments,10,True,1,False
Clothesline,10,False,1,False
Rupture,10,False,1,False
SKIP,10,False,1,False
Power Through,11,True,1,False
Flex,11,False,1,False
Combust,11,False,1,False
SKIP,11,False,1,False
SKIP,12,True,1,False
Havoc,12,False,1,False
Cleave,12,False,1,False
Flame Barrier,12,False,1,False
SKIP,12,False,1,False
Shockwave,14,True,1,False
Battle Trance,14,False,1,False
Clash,14,False,1,False
SKIP,14,False,1,False
Fiend Fire,16,True,1,True
Demon Form,16,False,1,True
Reaper,16,False,1,True
SKIP,16,False,1,True
SKIP,18,True,2,False
Dark Embrace,18,False,2,False
Thunderclap,18,False,2,False
Sword Boomerang,18,False,2,False
SKIP,18,False,2,False
Power Through,20,True,2,False
Clothesline,20,False,2,False
Heavy Blade,20,False,2,False
SKIP,20,False,2,False
Rupture,22,True,2,False
Spot Weakness,22,False,2,False
True Grit,22,False,2,False
SKIP,22,False,2,False
Disarm,24,True,2,False
True Grit,24,False,2,False
Armaments,24,False,2,False
SKIP,24,False,2,False
Shockwave,25,True,2,False
Wild Strike,25,False,2,False
Burning Pact,25,False,2,False
SKIP,25,False,2,False
Corruption,27,True,2,False
Shockwave,27,False,2,False
Spot Weakness,27,False,2,False
SKIP,27,False,2,False
Shrug It Off,28,True,2,False
Heavy Blade,28,False,2,False
Rupture,28,False,2,False
SKIP,28,False,2,False
Second Wind,31,True,2,False
Body Slam,31,False,2,False
Dual Wield,31,False,2,False
SKIP,31,False,2,False
Barricade,33,True,2,True
Corruption,33,False,2,True
Demon Form,33,False,2,True
SKIP,33,False,2,True
SKIP,35,True,3,False
Flex,35,False,3,False
Combust,35,False,3,False
Thunderclap,35,False,3,False
SKIP,35,False,3,False
SKIP,39,True,3,False
Rage,39,False,3,False
Armaments,39,False,3,False
Metallicize,39,False,3,False
SKIP,39,False,3,False
SKIP,41,True,3,False
Flex,41,False,3,False
Cleave,41,False,3,False
Pommel Strike,41,False,3,False
SKIP,41,False,3,False
Corruption,42,True,3,False
Flex,42,False,3,False
Reckless Charge,42,False,3,False
SKIP,42,False,3,False
Discovery,44,True,3,False
Sadistic Nature,44,False,3,False
Jack Of All Trades,44,False,3,False
Singing Bowl,44,False,3,False
Flash of Steel,44,True,3,False
Enlightenment,44,False,3,False
Deep Breath,44,False,3,False
Singing Bowl,44,False,3,False
Singing Bowl,44,True,3,False
Blind,44,False,3,False
Purity,44,False,3,False
Mind Blast,44,False,3,False
Singing Bowl,44,False,3,False
Shrug It Off,45,True,3,False
Intimidate,45,False,3,False
Clothesline,45,False,3,False
Singing Bowl,45,False,3,False
Pommel Strike,46,True,3,False
Spot Weakness,46,False,3,False
Heavy Blade,46,False,3,False
Singing Bowl,46,False,3,False
Juggernaut,48,True,3,False
Cleave,48,False,3,False
Perfected Strike,48,False,3,False
Singing Bowl,48,False,3,False
Anger,1,True,1,False
Power Through,1,False,1,False
Rampage,1,False,1,False
SKIP,1,False,1,False
Uppercut,2,True,1,False
True Grit,2,False,1,False
Anger,2,False,1,False
SKIP,2,False,1,False
Shockwave,4,True,1,False
Battle Trance,4,False,1,False
Entrench,4,False,1,False
SKIP,4,False,1,False
Dark Embrace,5,True,1,False
Flame Barrier,5,False,1,False
Clothesline,5,False,1,False
