Card,Win
Feel No Pain,True
Fiend Fire,True
Shrug It Off,True
Barricade,True
Corruption,True
Twin Strike,True
Second Wind,True
Armaments,True
Battle Trance,True
Defend_R,True
Metallicize,True
Body Slam,True
Entrench,True
Power Through,True
Bash,True
Offering,True
Strike_R,True
Exhume,True
Iron Wave,False
Armaments,False
Flash of Steel,False
Bash,False
Pommel Strike,False
Juggernaut,False
Carnage,False
Bite,False
Discovery,False
Shockwave,False
Battle Trance,False
Defend_R,False
Rupture,False
Dark Embrace,False
Combust,False
Shrug It Off,False
Barricade,False
Second Wind,False
Rage,False
Fiend Fire,False
Disarm,False
Corruption,False
Power Through,False
Uppercut,True
Armaments,True
Bash,True
Offering,True
Anger,True
Feel No Pain,True
Shockwave,True
Battle Trance,True
Defend_R,True
Dark Embrace,True
Exhume,True
Shrug It Off,True
Warcry,True
Dark Shackles,True
Rage,True
Strike_R,True
Apparition,True
Whirlwind,True
Fiend Fire,True
Immolate,True
True Grit,True
Disarm,True
Havoc,True
Burning Pact,True
Shrug It Off,False
Dropkick,False
Double Tap,False
Hemokinesis,False
Defend_R,False
Bandage Up,False
Bash,False
Pommel Strike,False
Strike_R,False
Inflame,False
Combust,False
Clothesline,False
Madness,True
Demon Form,True
Bash,True
Pommel Strike,True
Inflame,True
Anger,True
Feel No Pain,True
Ghostly Armor,True
Shockwave,True
Battle Trance,True
Defend_R,True
Dark Embrace,True
Shrug It Off,True
Reaper,True
Sever Soul,True
Warcry,True
Seeing Red,True
Strike_R,True
Immolate,True
True Grit,True
Disarm,True
Havoc,True
Pummel,True
Headbutt,False
Armaments,False
Intimidate,False
Bash,False
Pommel Strike,False
Clothesline,False
Battle Trance,False
Defend_R,False
Flex,False
Dark Embrace,False
Bludgeon,False
Shrug It Off,False
RitualDagger,False
Evolve,False
Warcry,False
Secret Weapon,False
Strike_R,False
Immolate,False
True Grit,False
Thunderclap,False
Corruption,False
Power Through,False
Metallicize,False
Uppercut,True
Armaments,True
Bash,True
Offering,True
Pommel Strike,True
Feel No Pain,True
Feed,True
Flame Barrier,True
Shockwave,True
Battle Trance,True
Sentinel,True
Defend_R,True
Perfected Strike,True
Dark Embrace,True
Shrug It Off,True
Twin Strike,True
Seeing Red,True
Strike_R,True
True Grit,True
Disarm,True
Corruption,True
Power Through,True
Spot Weakness,True
Doubt,False
Impervious,False
Reaper,False
Armaments,False
Defend_R,False
HandOfGreed,False
Bash,False
Pommel Strike,False
Strike_R,False
Anger,False
Pummel,False
Iron Wave,True
Bash,True
Offering,True
Anger,True
Shockwave,True
Battle Trance,True
Sword Boomerang,True
Defend_R,True
Clumsy,True
Body Slam,True
Dark Embrace,True
Shrug It Off,True
Barricade,True
Twin Strike,True
Second Wind,True
Entrench,True
Strike_R,True
Whirlwind,True
Fiend Fire,True
True Grit,True
Impervious,True
Disarm,True
Bloodletting,True
Metallicize,True
Pummel,True
Whirlwind,False
Shrug It Off,False
Immolate,False
Disarm,False
Hemokinesis,False
Dual Wield,False
Burning Pact,False
Defend_R,False
Blood for Blood,False
Bash,False
Strike_R,False
Wild Strike,False
Anger,False
Exhume,False
Cleave,True
Headbutt,True
Armaments,True
Demon Form,True
Bash,True
Inflame,True
Clothesline,True
Feed,True
Sentinel,True
Battle Trance,True
Defend_R,True
Sword Boomerang,True
Dark Embrace,True
Shrug It Off,True
Evolve,True
Strike_R,True
Fiend Fire,True
Immolate,True
Impervious,True
Bloodletting,True
Burning Pact,True
Dual Wield,True
Corruption,True
Metallicize,True
Heavy Blade,True
Shrug It Off,True
Disarm,True
Hemokinesis,True
Shockwave,True
Flame Barrier,True
Second Wind,True
Corruption,True
Power Through,True
Defend_R,True
Demon Form,True
Body Slam,True
