Enemy,Damage Taken
The Heart,159
The Heart,133
Awakened One,117
The Heart,114
Time Eater,108
Champ,107
Champ,97
The Heart,97
The Heart,94
The Heart,91
Time Eater,90
Giant Head,86
Time Eater,85
Reptomancer,83
The Heart,82
The Heart,81
Automaton,79
Awakened One,78
The Heart,78
Champ,76
Giant Head,76
The Heart,74
Reptomancer,73
Donu and Deca,73
Automaton,71
Shield and Spear,71
2 Orb Walkers,71
Reptomancer,69
Giant Head,67
Champ,66
The Heart,66
Reptomancer,65
Donu and Deca,61
Masked Bandits,61
Book of Stabbing,61
Shield and Spear,60
Gremlin Nob,59
Book of Stabbing,58
Jaw Worm Horde,58
Nemesis,58
The Heart,57
The Heart,55
The Guardian,55
Collector,55
Shield and Spear,55
Hexaghost,55
Time Eater,54
Time Eater,54
Donu and Deca,54
The Heart,54
3 Sentries,54
The Heart,54
Automaton,54
Giant Head,54
Automaton,53
The Heart,53
Shield and Spear,52
Hexaghost,52
Reptomancer,51
3 Shapes,50
Shield and Spear,50
Champ,49
Donu and Deca,49
Automaton,49
The Heart,49
Nemesis,49
The Heart,48
Slime Boss,48
Time Eater,48
Time Eater,48
3 Darklings,48
Time Eater,47
Shield and Spear,47
Lagavulin,47
Slavers,47
Maw,47
Lagavulin,47
The Heart,46
Gremlin Leader,46
Gremlin Leader,46
3 Sentries,46
3 Sentries,45
Book of Stabbing,44
Awakened One,44
Lagavulin,44
Gremlin Gang,44
3 Sentries,44
Transient,42
Hexaghost,42
Writhing Mass,42
The Heart,42
Donu and Deca,42
Donu and Deca,41
Slavers,41
Shelled Parasite and Fungi,41
Slavers,41
Slavers,41
Lagavulin,40
3 Sentries,40
Gremlin Leader,40
Hexaghost,40
Donu and Deca,39
Collector,39
Transient,39
Donu and Deca,39
Spheric Guardian,38
Awakened One,38
The Heart,38
Automaton,38
The Heart,38
Slime Boss,37
Reptomancer,37
Automaton,37
Writhing Mass,37
Gremlin Nob,37
Reptomancer,37
3 Sentries,36
Donu and Deca,36
Collector,36
The Guardian,36
Giant Head,36
Cultist and Chosen,35
Nemesis,35
3 Sentries,35
Awakened One,35
Collector,35
Donu and Deca,34
3 Sentries,34
3 Cultists,34
Champ,34
Gremlin Leader,34
Shelled Parasite and Fungi,34
Time Eater,34
Book of Stabbing,34
Book of Stabbing,34
Sphere and 2 Shapes,33
Book of Stabbing,33
Maw,33
Collector,33
3 Sentries,33
Reptomancer,33
Time Eater,33
Hexaghost,33
Book of Stabbing,33
3 Sentries,33
Gremlin Gang,33
Orb Walker,33
Spheric Guardian,33
Awakened One,32
2 Orb Walkers,32
Spire Growth,32
Collector,32
Gremlin Nob,32
3 Darklings,32
Reptomancer,32
Gremlin Nob,32
3 Darklings,32
Book of Stabbing,32
Shield and Spear,32
Lagavulin,31
Reptomancer,31
Nemesis,31
Awakened One,31
Transient,31
Maw,31
Spire Growth,31
Champ,31
Cultist and Chosen,31
Gremlin Nob,31
Collector,31
Donu and Deca,31
Shelled Parasite and Fungi,31
2 Orb Walkers,31
Gremlin Nob,31
Lagavulin,30
Snake Plant,30
Shield and Spear,30
Shield and Spear,30
Transient,30
Reptomancer,30
Gremlin Nob,30
Lagavulin,30
Lagavulin,30
3 Sentries,30
The Heart,30
Book of Stabbing,30
Time Eater,30
Gremlin Leader,30
3 Darklings,29
Slime Boss,29
4 Shapes,29
Book of Stabbing,29
Donu and Deca,29
3 Sentries,29
Slavers,29
Gremlin Nob,29
Slavers,29
Exordium Wildlife,29
Lagavulin,28
3 Sentries,28
Lagavulin,28
Slavers,28
3 Sentries,28
Donu and Deca,28
Book of Stabbing,28
Giant Head,28
Chosen,28
Shield and Spear,27
Slavers,27
Slavers,27
Snake Plant,27
Shield and Spear,27
Shield and Spear,27
Book of Stabbing,27
3 Sentries,27
Sentry and Sphere,27
Time Eater,27
Book of Stabbing,27
Awakened One,27
Book of Stabbing,27
Gremlin Nob,27
Gremlin Nob,27
3 Darklings,27
The Guardian,27
Slime Boss,27
3 Darklings,26
Donu and Deca,26
Donu and Deca,26
3 Cultists,26
Gremlin Nob,26
Gremlin Nob,26
Slavers,26
Champ,26
Cultist and Chosen,26
Gremlin Nob,26
Lagavulin,26
Jaw Worm Horde,26
Lagavulin,26
Giant Head,26
4 Shapes,26
3 Byrds,26
Centurion and Healer,25
Nemesis,25
Slavers,25
3 Sentries,25
Sphere and 2 Shapes,25
Automaton,25
Book of Stabbing,25
Shelled Parasite and Fungi,25
Slime Boss,25
Snecko,25
Donu and Deca,25
Lots of Slimes,25
Lagavulin,25
Shield and Spear,25
Shell Parasite,25
Centurion and Healer,25
Slavers,25
Hexaghost,25
Lagavulin,25
