Relic,Win
Burning Blood,True
NeowsBlessing,True
War Paint,True
Regal Pillow,True
The Courier,True
Bronze Scales,True
Medical Kit,True
Red Skull,True
Lizard Tail,True
Happy Flower,True
Ectoplasm,True
Nilry's Codex,True
Strawberry,True
Art of War,True
Mummified Hand,True
Runic Dome,True
Unceasing Top,True
Oddly Smooth Stone,True
Pen Nib,True
Whetstone,True
Akabeko,True
Burning Blood,False
Centennial Puzzle,False
Art of War,False
CeramicFish,False
Omamori,False
Whetstone,False
Philosopher's Stone,False
Charon's Ashes,False
Bottled Tornado,False
Vajra,False
Blood Vial,False
Runic Pyramid,False
Bag of Marbles,False
Frozen Egg 2,False
Boot,False
Singing Bowl,False
Red Skull,False
Burning Blood,True
Bird Faced Urn,True
Paper Frog,True
Dead Branch,True
Toxic Egg 2,True
Omamori,True
DollysMirror,True
Coffee Dripper,True
Pantograph,True
Juzu Bracelet,True
Meat on the Bone,True
Lantern,True
Black Star,True
Boot,True
StoneCalendar,True
Nunchaku,True
Charon's Ashes,True
Girya,True
Art of War,True
Gambling Chip,True
Red Skull,True
Self Forming Clay,True
Burning Blood,False
The Courier,False
CaptainsWheel,False
Burning Blood,True
Blood Vial,True
Kunai,True
Red Skull,True
HornCleat,True
Art of War,True
StoneCalendar,True
Coffee Dripper,True
Oddly Smooth Stone,True
Nunchaku,True
Orichalcum,True
Lantern,True
Dream Catcher,True
Runic Pyramid,True
Toolbox,True
Ice Cream,True
FossilizedHelix,True
Bag of Preparation,True
Burning Blood,False
Paper Frog,False
PreservedInsect,False
Regal Pillow,False
Blue Candle,False
Cursed Key,False
Dream Catcher,False
Ancient Tea Set,False
Burning Blood,True
StrikeDummy,True
Paper Frog,True
MawBank,True
Gremlin Horn,True
Snecko Eye,True
Toolbox,True
HornCleat,True
War Paint,True
Champion Belt,True
InkBottle,True
Molten Egg 2,True
SacredBark,True
WarpedTongs,True
Frozen Eye,True
Meat on the Bone,True
Orichalcum,True
Letter Opener,True
Whetstone,True
Burning Blood,False
Old Coin,False
Frozen Eye,False
Turnip,False
Charon's Ashes,False
Question Card,False
Red Skull,False
Burning Blood,True
Bag of Preparation,True
Torii,True
Girya,True
PreservedInsect,True
Centennial Puzzle,True
Cursed Key,True
Matryoshka,True
Oddly Smooth Stone,True
Potion Belt,True
Mummified Hand,True
Bronze Scales,True
Molten Egg 2,True
SlaversCollar,True
StoneCalendar,True
The Courier,True
Mercury Hourglass,True
Pen Nib,True
Anchor,True
Smiling Mask,True
TheAbacus,True
HornCleat,True
Charon's Ashes,True
Burning Blood,False
Tiny Chest,False
Oddly Smooth Stone,False
MealTicket,False
Anchor,False
Cursed Key,False
Membership Card,False
Burning Blood,True
Frozen Egg 2,True
Sundial,True
Matryoshka,True
Blood Vial,True
Snecko Eye,True
White Beast Statue,True
Anchor,True
Lantern,True
Bag of Preparation,True
Self Forming Clay,True
Fusion Hammer,True
Red Skull,True
Gambling Chip,True
MealTicket,True
Orichalcum,True
Bottled Tornado,True
Toolbox,True
Pen Nib,True
Burning Blood,True
Dead Branch,True
StoneCalendar,True
Old Coin,True
Pocketwatch,True
Magic Flower,True
Snecko Eye,True
Red Mask,True
Bronze Scales,True
Bag of Marbles,True
Medical Kit,True
Charon's Ashes,True
Mark of Pain,True
Lizard Tail,True
FossilizedHelix,True
Du-Vu Doll,True
Paper Frog,True
Torii,True
Strawberry,True
Akabeko,True
Burning Blood,False
War Paint,False
InkBottle,False
Girya,False
Matryoshka,False
Burning Blood,True
Art of War,True
Bloody Idol,True
Potion Belt,True
StrikeDummy,True
Question Card,True
Runic Pyramid,True
Red Skull,True
Bag of Marbles,True
Meat on the Bone,True
Cursed Key,True
Smiling Mask,True
Gremlin Horn,True
Shuriken,True
Charon's Ashes,True
Burning Blood,True
MealTicket,True
Pen Nib,True
Bag of Marbles,True
Art of War,True
Bird Faced Urn,True
Runic Cube,True
Orrery,True
Whetstone,True
MutagenicStrength,True
Nunchaku,True
Potion Belt,True
Ancient Tea Set,True
Pandora's Box,True
Prayer Wheel,True
Dream Catcher,True
Bag of Preparation,True
Gremlin Horn,True
Burning Blood,False
Orichalcum,False
Peace Pipe,False
Burning Blood,False
Dead Branch,False
Art of War,False
HornCleat,False
MealTicket,False
Black Star,False
OrangePellets,False
Toy Ornithopter,False
InkBottle,False
Turnip,False
Bronze Scales,False
Pear,False
Burning Blood,True
Brimstone,True
Strawberry,True
Omamori,True
Self Forming Clay,True
Frozen Egg 2,True
Astrolabe,True
Whetstone,True
InkBottle,True
TungstenRod,True
The Courier,True
Frozen Eye,True
Runic Pyramid,True
Happy Flower,True
HornCleat,True
StoneCalendar,True
Gremlin Horn,True
Torii,True
Mummified Hand,True
Burning Blood,True
PreservedInsect,True
Pen Nib,True
StrikeDummy,True
MawBank,True
Black Star,True
Centennial Puzzle,True
HornCleat,True
Frozen Egg 2,True
CaptainsWheel,True
WingedGreaves,True
Bronze Scales,True
Toxic Egg 2,True
Ornamental Fan,True
Bag of Preparation,True
Runic Pyramid,True
Letter Opener,True
Kunai,True
Calipers,True
Mummified Hand,True
Self Forming Clay,True
Whetstone,True
Champion Belt,True
The Courier,True
Blood Vial,True
Chemical X,True
Bag of Marbles,True
Toy Ornithopter,True
Paper Frog,True
Burning Blood,False
Tiny Chest,False
Ancient Tea Set,False
Du-Vu Doll,False
Burning Blood,False
War Paint,False
Bag of Marbles,False
Akabeko,False
StrikeDummy,False
Coffee Dripper,False
Darkstone Periapt,False
Bag of Preparation,False
MealTicket,False
Centennial Puzzle,False
Toolbox,False
Fusion Hammer,False
Frozen Eye,False
Red Mask,False
Nunchaku,False
Toxic Egg 2,False
Gremlin Horn,False
Oddly Smooth Stone,False
Burning Blood,True
Toy Ornithopter,True
Pantograph,True
Magic Flower,True
Incense Burner,True
StrikeDummy,True
Runic Pyramid,True
Pen Nib,True
