Card,Floor,Picked,Act,Boss
Dash,1.0,True,1,False
Slice,1.0,False,1,False
Distraction,1.0,False,1,False
SKIP,1.0,False,1,False
Calculated Gamble,2.0,True,1,False
Choke,2.0,False,1,False
Slice,2.0,False,1,False
SKIP,2.0,False,1,False
Poisoned Stab,4.0,True,1,False
Distraction,4.0,False,1,False
Prepared,4.0,False,1,False
SKIP,4.0,False,1,False
Masterful Stab,5.0,True,1,False
Deadly Poison,5.0,False,1,False
Outmaneuver,5.0,False,1,False
SKIP,5.0,False,1,False
SKIP,7.0,True,1,False
Catalyst,7.0,False,1,False
Cloak And Dagger,7.0,False,1,False
Flechettes,7.0,False,1,False
SKIP,7.0,False,1,False
Leg Sweep,10.0,True,1,False
Footwork,10.0,False,1,False
Underhanded Strike,10.0,False,1,False
SKIP,10.0,False,1,False
Acrobatics,13.0,True,1,False
Crippling Poison,13.0,False,1,False
Cloak And Dagger,13.0,False,1,False
SKIP,13.0,False,1,False
Reflex,14.0,True,1,False
Blade Dance,14.0,False,1,False
Slice,14.0,False,1,False
SKIP,14.0,False,1,False
Phantasmal Killer,16.0,True,1,True
After Image,16.0,False,1,True
Tools of the Trade,16.0,False,1,True
SKIP,16.0,False,1,True
SKIP,18.0,True,2,False
Distraction,18.0,False,2,False
Infinite Blades,18.0,False,2,False
Poisoned Stab,18.0,False,2,False
SKIP,18.0,False,2,False
SKIP,18.0,True,2,False
Distraction,18.0,False,2,False
Infinite Blades,18.0,False,2,False
Poisoned Stab,18.0,False,2,False
SKIP,18.0,False,2,False
SKIP,21.0,True,2,False
Escape Plan,21.0,False,2,False
Dodge and Roll,21.0,False,2,False
Deflect,21.0,False,2,False
SKIP,21.0,False,2,False
Blur,22.0,True,2,False
Infinite Blades,22.0,False,2,False
Dagger Throw,22.0,False,2,False
SKIP,22.0,False,2,False
SKIP,24.0,True,2,False
Deflect,24.0,False,2,False
Envenom,24.0,False,2,False
Prepared,24.0,False,2,False
SKIP,24.0,False,2,False
SKIP,27.0,True,2,False
Outmaneuver,27.0,False,2,False
Quick Slash,27.0,False,2,False
Underhanded Strike,27.0,False,2,False
SKIP,27.0,False,2,False
SKIP,27.0,True,2,False
Outmaneuver,27.0,False,2,False
Quick Slash,27.0,False,2,False
Underhanded Strike,27.0,False,2,False
SKIP,27.0,False,2,False
SKIP,28.0,True,2,False
Skewer,28.0,False,2,False
Cloak And Dagger,28.0,False,2,False
Underhanded Strike,28.0,False,2,False
SKIP,28.0,False,2,False
Well Laid Plans,29.0,True,2,False
Cloak And Dagger,29.0,False,2,False
Noxious Fumes,29.0,False,2,False
SKIP,29.0,False,2,False
Acrobatics,31.0,True,2,False
Cloak And Dagger,31.0,False,2,False
Infinite Blades,31.0,False,2,False
SKIP,31.0,False,2,False
Malaise,33.0,True,2,True
Storm of Steel,33.0,False,2,True
Unload,33.0,False,2,True
SKIP,33.0,False,2,True
Backflip,35.0,True,3,False
Accuracy,35.0,False,3,False
Predator,35.0,False,3,False
SKIP,35.0,False,3,False
Acrobatics,36.0,True,3,False
Distraction,36.0,False,3,False
Outmaneuver,36.0,False,3,False
SKIP,36.0,False,3,False
SKIP,41.0,True,3,False
Deadly Poison,41.0,False,3,False
Bane,41.0,False,3,False
Prepared,41.0,False,3,False
SKIP,41.0,False,3,False
SKIP,42.0,True,3,False
Accuracy,42.0,False,3,False
Cloak And Dagger,42.0,False,3,False
Terror,42.0,False,3,False
SKIP,42.0,False,3,False
After Image,44.0,True,3,False
Slice,44.0,False,3,False
Deflect,44.0,False,3,False
SKIP,44.0,False,3,False
SKIP,45.0,True,3,False
Quick Slash,45.0,False,3,False
Dagger Spray,45.0,False,3,False
Prepared,45.0,False,3,False
SKIP,45.0,False,3,False
SKIP,55.0,True,4,False
Slice,55.0,False,4,False
Bane,55.0,False,4,False
Noxious Fumes,55.0,False,4,False
SKIP,55.0,False,4,False
Flying Knee,1.0,True,1,False
Outmaneuver,1.0,False,1,False
Prepared,1.0,False,1,False
SKIP,1.0,False,1,False
Acrobatics,2.0,True,1,False
Leg Sweep,2.0,False,1,False
All Out Attack,2.0,False,1,False
SKIP,2.0,False,1,False
Dagger Throw,4.0,True,1,False
Blur,4.0,False,1,False
Well Laid Plans,4.0,False,1,False
SKIP,4.0,False,1,False
Crippling Poison,8.0,True,1,False
Dodge and Roll,8.0,False,1,False
Dagger Spray,8.0,False,1,False
SKIP,8.0,False,1,False
Dagger Spray,13.0,True,1,False
Escape Plan,13.0,False,1,False
Bouncing Flask,13.0,False,1,False
SKIP,13.0,False,1,False
Backflip,14.0,True,1,False
Choke,14.0,False,1,False
Accuracy,14.0,False,1,False
SKIP,14.0,False,1,False
Quick Slash,1.0,True,1,False
Dodge and Roll,1.0,False,1,False
Finisher,1.0,False,1,False
SKIP,1.0,False,1,False
Poisoned Stab,2.0,True,1,False
Slice,2.0,False,1,False
Bane,2.0,False,1,False
SKIP,2.0,False,1,False
