Card,Win
Calculated Gamble,True
After Image,True
Neutralize,True
Blur,True
Adrenaline,True
Underhanded Strike,True
Prepared,True
Tactician,True
Reflex,True
Escape Plan,True
Malaise,True
Terror,True
Backflip,True
Survivor,True
Well Laid Plans,True
Phantasmal Killer,True
Backstab,True
Acrobatics,True
Calculated Gamble,False
Neutralize,False
Crippling Poison,False
Dagger Throw,False
Backflip,False
Strike_G,False
Flying Knee,False
Survivor,False
Dagger Spray,False
Defend_G,False
Acrobatics,False
Neutralize,False
Underhanded Strike,False
Poisoned Stab,False
Backflip,False
Die Die Die,False
Strike_G,False
Terror,False
Survivor,False
Quick Slash,False
PiercingWail,False
Defend_G,False
Acrobatics,False
Blade Dance,True
Leg Sweep,True
Tools of the Trade,True
Predator,True
Adrenaline,True
Alchemize,True
Acrobatics,True
Deflect,True
Blur,True
Survivor,True
The Bomb,True
PiercingWail,True
Defend_G,True
Outmaneuver,True
Backflip,True
Escape Plan,True
Strike_G,True
Terror,True
Accuracy,True
Neutralize,True
A Thousand Cuts,True
Calculated Gamble,True
Blade Dance,True
Tools of the Trade,True
Adrenaline,True
Tactician,True
Well Laid Plans,True
Acrobatics,True
Blur,True
Malaise,True
Doppelganger,True
Survivor,True
Finisher,True
PiercingWail,True
Defend_G,True
Outmaneuver,True
Backflip,True
Prepared,True
Strike_G,True
Terror,True
Accuracy,True
Dagger Spray,True
Footwork,True
Neutralize,True
Wraith Form,True
Burst,True
Backstab,True
Night Terror,True
Sucker Punch,False
Adrenaline,False
Flying Knee,False
Well Laid Plans,False
Alchemize,False
Acrobatics,False
Blur,False
Survivor,False
Choke,False
Phantasmal Killer,False
PiercingWail,False
Defend_G,False
Poisoned Stab,False
Dagger Throw,False
Backflip,False
Prepared,False
Escape Plan,False
Strike_G,False
Terror,False
Dagger Spray,False
Concentrate,False
Footwork,False
After Image,False
Neutralize,False
A Thousand Cuts,False
Riddle With Holes,False
Cloak And Dagger,False
Reflex,False
Backstab,False
Night Terror,False
Calculated Gamble,False
Tools of the Trade,False
Blade Dance,False
Underhanded Strike,False
Leg Sweep,False
Tactician,False
Well Laid Plans,False
All Out Attack,False
Acrobatics,False
Blur,False
Crippling Poison,False
Doppelganger,False
Survivor,False
PiercingWail,False
Defend_G,False
Outmaneuver,False
Masterful Stab,False
Infinite Blades,False
Grand Finale,False
Backflip,False
Prepared,False
Terror,False
Eviscerate,False
Bullet Time,False
After Image,False
Neutralize,False
A Thousand Cuts,False
Reflex,False
Backstab,False
Blade Dance,False
Leg Sweep,False
Predator,False
Flying Knee,False
Well Laid Plans,False
Crippling Poison,False
Malaise,False
Survivor,False
PiercingWail,False
Defend_G,False
Poisoned Stab,False
Infinite Blades,False
Backflip,False
Escape Plan,False
Strike_G,False
Accuracy,False
Neutralize,False
Wraith Form,False
Cloak And Dagger,False
Calculated Gamble,True
Leg Sweep,True
Endless Agony,True
Deadly Poison,True
Caltrops,True
Flying Knee,True
Well Laid Plans,True
Alchemize,True
Acrobatics,True
Crippling Poison,True
Doppelganger,True
Survivor,True
Quick Slash,True
PiercingWail,True
Expertise,True
Outmaneuver,True
Noxious Fumes,True
Backflip,True
Escape Plan,True
Dagger Spray,True
Bullet Time,True
Neutralize,True
Wraith Form,True
Burst,True
Backstab,True
Night Terror,True
Neutralize,False
Predator,False
Noxious Fumes,False
Strike_G,False
Slice,False
Survivor,False
Dagger Spray,False
Defend_G,False
Footwork,True
Neutralize,True
Predator,True
Underhanded Strike,True
Prepared,True
Tactician,True
Reflex,True
Strike_G,True
Terror,True
Survivor,True
Alchemize,True
Eviscerate,True
Defend_G,True
Concentrate,True
Acrobatics,True
Calculated Gamble,False
Blade Dance,False
Endless Agony,False
Neutralize,False
A Thousand Cuts,False
Leg Sweep,False
Apparition,False
Eviscerate,False
Prepared,False
