Enemy,Damage Taken
The Heart,108.0
2 Orb Walkers,84.0
The Heart,75.0
Champ,75.0
Time Eater,73.0
The Heart,72.0
The Heart,70.0
The Heart,69.0
Champ,67.0
2 Orb Walkers,66.0
The Heart,65.0
Collector,58.0
Slime Boss,56.0
Donu and Deca,55.0
The Heart,55.0
Lagavulin,54.0
The Heart,54.0
The Guardian,52.0
Time Eater,50.0
Gremlin Nob,49.0
Donu and Deca,49.0
Book of Stabbing,49.0
Time Eater,48.0
The Heart,47.0
The Heart,46.0
The Guardian,46.0
Lagavulin,44.0
Awakened One,43.0
3 Sentries,43.0
Champ,42.0
Donu and Deca,41.0
Hexaghost,41.0
The Heart,41.0
The Heart,41.0
3 Sentries,40.0
The Heart,40.0
Gremlin Nob,40.0
Hexaghost,39.0
Slime Boss,39.0
Automaton,38.0
The Heart,38.0
The Heart,38.0
Gremlin Nob,36.0
Gremlin Nob,36.0
Gremlin Nob,36.0
Shield and Spear,35.0
Slavers,35.0
Automaton,35.0
Donu and Deca,35.0
2 Orb Walkers,34.0
Lagavulin,34.0
Awakened One,34.0
Hexaghost,33.0
Book of Stabbing,33.0
Lagavulin,33.0
Exordium Thugs,33.0
Shelled Parasite and Fungi,33.0
3 Sentries,33.0
Gremlin Nob,32.0
Slavers,32.0
Lagavulin,32.0
Champ,32.0
2 Thieves,32.0
Shelled Parasite and Fungi,32.0
Donu and Deca,31.0
Time Eater,31.0
Gremlin Gang,31.0
Hexaghost,31.0
Large Slime,31.0
Book of Stabbing,31.0
2 Orb Walkers,31.0
3 Sentries,30.0
3 Sentries,30.0
The Guardian,30.0
Time Eater,29.0
Colosseum Nobs,29.0
Shield and Spear,29.0
Hexaghost,29.0
Slime Boss,28.0
Lagavulin,28.0
Shell Parasite,28.0
The Heart,28.0
Snake Plant,28.0
Shell Parasite,28.0
The Guardian,27.0
3 Sentries,27.0
Reptomancer,27.0
Reptomancer,26.0
Book of Stabbing,26.0
Gremlin Nob,25.0
3 Sentries,25.0
Lagavulin,25.0
Automaton,25.0
3 Sentries,25.0
3 Sentries,25.0
Lagavulin,25.0
Time Eater,25.0
Gremlin Nob,24.0
Giant Head,24.0
Jaw Worm,24.0
Book of Stabbing,24.0
Lots of Slimes,24.0
3 Sentries,24.0
3 Sentries,24.0
Shell Parasite,24.0
The Guardian,24.0
Awakened One,24.0
Hexaghost,23.0
Shell Parasite,23.0
Hexaghost,23.0
Reptomancer,23.0
Lagavulin,23.0
Slavers,23.0
Reptomancer,23.0
Collector,23.0
3 Darklings,23.0
Automaton,22.0
The Heart,22.0
Masked Bandits,22.0
Time Eater,22.0
Snake Plant,22.0
Hexaghost,22.0
3 Sentries,22.0
Shelled Parasite and Fungi,21.0
The Guardian,21.0
Awakened One,21.0
3 Sentries,21.0
Lagavulin,21.0
Time Eater,21.0
Jaw Worm,20.0
Lagavulin,20.0
Book of Stabbing,20.0
Centurion and Healer,20.0
Gremlin Nob,20.0
Slavers,20.0
Shield and Spear,20.0
Automaton,20.0
3 Sentries,20.0
Shelled Parasite and Fungi,19.0
Sphere and 2 Shapes,19.0
3 Sentries,19.0
3 Byrds,19.0
Slavers,18.0
Snake Plant,18.0
3 Shapes,18.0
Spheric Guardian,18.0
3 Sentries,18.0
Nemesis,18.0
Spheric Guardian,18.0
Gremlin Nob,18.0
Hexaghost,18.0
Awakened One,18.0
Reptomancer,18.0
3 Darklings,17.0
Lagavulin,17.0
Centurion and Healer,17.0
Gremlin Nob,17.0
The Heart,17.0
3 Sentries,17.0
Lagavulin,17.0
Slavers,17.0
Slavers,17.0
3 Sentries,17.0
Lagavulin,17.0
3 Sentries,17.0
3 Sentries,17.0
3 Sentries,17.0
3 Sentries,17.0
Nemesis,16.0
Snake Plant,16.0
Hexaghost,16.0
Champ,16.0
Time Eater,16.0
Slavers,16.0
Shelled Parasite and Fungi,16.0
Shield and Spear,16.0
Gremlin Leader,16.0
2 Orb Walkers,16.0
Shell Parasite,16.0
Gremlin Nob,16.0
Centurion and Healer,16.0
Awakened One,15.0
Donu and Deca,15.0
Slavers,15.0
Slavers,15.0
Gremlin Nob,15.0
Reptomancer,15.0
The Guardian,15.0
Slavers,15.0
Reptomancer,15.0
Shield and Spear,15.0
Shelled Parasite and Fungi,15.0
Awakened One,15.0
Snecko,15.0
Slavers,15.0
3 Darklings,15.0
3 Sentries,15.0
3 Sentries,15.0
Lagavulin,15.0
2 Thieves,15.0
Nemesis,14.0
3 Sentries,14.0
2 Thieves,14.0
Lagavulin,14.0
3 Louse,14.0
Lagavulin,14.0
Book of Stabbing,14.0
Giant Head,14.0
Lots of Slimes,14.0
Slime Boss,14.0
3 Darklings,14.0
Time Eater,14.0
Snecko,14.0
Hexaghost,14.0
Large Slime,14.0
Nemesis,14.0
Shell Parasite,14.0
3 Darklings,13.0
Gremlin Leader,13.0
Gremlin Leader,13.0
Book of Stabbing,13.0
Awakened One,13.0
4 Shapes,13.0
The Guardian,13.0
Hexaghost,13.0
The Guardian,13.0
Slavers,13.0
Lagavulin,13.0
Writhing Mass,13.0
Nemesis,13.0
3 Darklings,13.0
Snake Plant,12.0
3 Darklings,12.0
Spheric Guardian,12.0
Lagavulin,12.0
Shell Parasite,12.0
Lagavulin,12.0
Transient,12.0
Lagavulin,12.0
Maw,12.0
Lagavulin,12.0
3 Byrds,12.0
Gremlin Leader,12.0
Spheric Guardian,12.0
Exordium Thugs,12.0
2 Thieves,12.0
Large Slime,12.0
Slavers,12.0
Giant Head,12.0
Lagavulin,12.0
Hexaghost,12.0
Hexaghost,12.0
Shell Parasite,11.0
Centurion and Healer,11.0
Awakened One,11.0
The Heart,11.0
Champ,11.0
Sentry and Sphere,11.0
Shelled Parasite and Fungi,11.0
Slavers,11.0
Time Eater,11.0
Book of Stabbing,11.0
Colosseum Nobs,11.0
3 Cultists,11.0
Lagavulin,11.0
Sentry and Sphere,11.0
Gremlin Nob,11.0
Sentry and Sphere,11.0
Shelled Parasite and Fungi,11.0
Hexaghost,11.0
Lagavulin,11.0
Spheric Guardian,11.0
Spire Growth,10.0
Book of Stabbing,10.0
Red Slaver,10.0
Slavers,10.0
Small Slimes,10.0
Champ,10.0
Book of Stabbing,10.0
Champ,10.0
Chosen and Byrds,10.0
Red Slaver,10.0
Large Slime,10.0
Champ,10.0
Lagavulin,10.0
Snecko,10.0
Centurion and Healer,10.0
Gremlin Leader,10.0
Lagavulin,10.0
3 Sentries,10.0
Snecko,10.0
Book of Stabbing,10.0
3 Darklings,10.0
Lagavulin,10.0
Gremlin Nob,10.0
3 Darklings,10.0
Masked Bandits,10.0
3 Cultists,10.0
Hexaghost,10.0
Snake Plant,9.0
Blue Slaver,9.0
Hexaghost,9.0
Awakened One,9.0
Donu and Deca,9.0
Book of Stabbing,9.0
Gremlin Leader,9.0
Hexaghost,9.0
Shell Parasite,9.0
Cultist,9.0
Giant Head,9.0
3 Darklings,9.0
Slavers,9.0
Blue Slaver,9.0
Transient,8.0
2 Louse,8.0
Gremlin Nob,8.0
Spheric Guardian,8.0
Gremlin Nob,8.0
Jaw Worm,8.0
Shelled Parasite and Fungi,8.0
Gremlin Nob,8.0
Shell Parasite,8.0
2 Thieves,8.0
Masked Bandits,8.0
3 Byrds,8.0
3 Shapes,8.0
Exordium Wildlife,8.0
Blue Slaver,8.0
3 Louse,8.0
Masked Bandits,8.0
Small Slimes,8.0
2 Thieves,8.0
Automaton,8.0
Centurion and Healer,8.0
Centurion and Healer,8.0
Hexaghost,8.0
Shelled Parasite and Fungi,8.0
Champ,8.0
Jaw Worm,8.0
Chosen,7.0
Small Slimes,7.0
Gremlin Nob,7.0
Jaw Worm,7.0
3 Byrds,7.0
Small Slimes,7.0
Gremlin Leader,7.0
Exordium Thugs,7.0
Gremlin Gang,7.0
Red Slaver,7.0
3 Darklings,7.0
Jaw Worm,7.0
Small Slimes,7.0
Gremlin Nob,7.0
Slavers,7.0
The Mushroom Lair,7.0
Centurion and Healer,7.0
Shield and Spear,7.0
Small Slimes,7.0
Donu and Deca,7.0
Colosseum Nobs,7.0
Snecko,7.0
2 Thieves,6.0
Hexaghost,6.0
2 Fungi Beasts,6.0
Nemesis,6.0
Cultist,6.0
Snake Plant,6.0
Exordium Thugs,6.0
Shell Parasite,6.0
3 Cultists,6.0
Cultist,6.0
Jaw Worm,6.0
Blue Slaver,6.0
Large Slime,6.0
Lagavulin,6.0
Looter,6.0
Masked Bandits,6.0
2 Thieves,6.0
2 Thieves,6.0
Orb Walker,6.0
Transient,6.0
Snake Plant,6.0
3 Darklings,6.0
Book of Stabbing,6.0
Lagavulin,6.0
Gremlin Nob,6.0
Cultist,6.0
Colosseum Slavers,6.0
Shell Parasite,6.0
3 Louse,6.0
Jaw Worm,6.0
Donu and Deca,6.0
Jaw Worm,6.0
The Guardian,6.0
Gremlin Leader,5.0
Lagavulin,5.0
3 Darklings,5.0
Jaw Worm,5.0
Gremlin Leader,5.0
3 Sentries,5.0
Shell Parasite,5.0
Spire Growth,5.0
Exordium Thugs,5.0
Automaton,5.0
Red Slaver,5.0
Shield and Spear,5.0
Gremlin Nob,5.0
Centurion and Healer,5.0
Cultist and Chosen,5.0
Gremlin Leader,5.0
Jaw Worm Horde,5.0
The Guardian,5.0
Snecko,5.0
2 Thieves,5.0
Gremlin Gang,5.0
Reptomancer,5.0
Writhing Mass,5.0
Donu and Deca,5.0
Slavers,4.0
Gremlin Leader,4.0
Donu and Deca,4.0
Jaw Worm,4.0
Blue Slaver,4.0
2 Thieves,4.0
Blue Slaver,4.0
Chosen,4.0
Book of Stabbing,4.0
