Relic,Win
Ring of the Snake,True
Gremlin Horn,True
Boot,True
Gambling Chip,True
Pandora's Box,True
White Beast Statue,True
Bottled Flame,True
CeramicFish,True
Runic Dome,True
Peace Pipe,True
Mark of the Bloom,True
Kunai,True
Whetstone,True
Juzu Bracelet,True
Membership Card,True
Centennial Puzzle,True
Ring of the Snake,False
PreservedInsect,False
Boot,False
Question Card,False
Ectoplasm,False
Nunchaku,False
Bottled Flame,False
Potion Belt,False
Ancient Tea Set,False
Darkstone Periapt,False
Ring of the Snake,True
Sundial,True
Kunai,True
Nunchaku,True
HoveringKite,True
Pear,True
Oddly Smooth Stone,True
Meat on the Bone,True
Unceasing Top,True
Fusion Hammer,True
Bag of Marbles,True
InkBottle,True
Happy Flower,True
Akabeko,True
Ring of the Snake,True
Vajra,True
WarpedTongs,True
Turnip,True
Ninja Scroll,True
Old Coin,True
Golden Idol,True
Centennial Puzzle,True
OrangePellets,True
Black Star,True
MealTicket,True
StrikeDummy,True
Orichalcum,True
Bottled Lightning,True
PreservedInsect,True
Question Card,True
Sundial,True
Letter Opener,True
Bag of Preparation,True
Fusion Hammer,True
Singing Bowl,True
Happy Flower,True
Juzu Bracelet,True
Meat on the Bone,True
Oddly Smooth Stone,True
HornCleat,True
Blue Candle,True
Pen Nib,True
Eternal Feather,True
Pear,True
Chemical X,True
Blood Vial,True
Mango,True
Ring of the Snake,False
Mummified Hand,False
Ice Cream,False
Sling,False
StrikeDummy,False
Coffee Dripper,False
Red Mask,False
InkBottle,False
Peace Pipe,False
Ornamental Fan,False
Bag of Marbles,False
Oddly Smooth Stone,False
HoveringKite,False
CeramicFish,False
Ginger,False
ClockworkSouvenir,False
Vajra,False
Ring of the Snake,False
PreservedInsect,False
Prayer Wheel,False
Peace Pipe,False
Bottled Tornado,False
Ice Cream,False
HoveringKite,False
Oddly Smooth Stone,False
Orichalcum,False
Cursed Key,False
Lee's Waffle,False
Darkstone Periapt,False
Nunchaku,False
Toxic Egg 2,False
Old Coin,False
Ring of the Snake,False
Snake Skull,False
Mango,False
CaptainsWheel,False
Shovel,False
Coffee Dripper,False
Toy Ornithopter,False
WingedGreaves,False
StoneCalendar,False
The Courier,False
SlaversCollar,False
Gambling Chip,False
Ring of the Serpent,True
NeowsBlessing,True
Bag of Marbles,True
Frozen Egg 2,True
Ice Cream,True
Akabeko,True
Lizard Tail,True
TungstenRod,True
Pandora's Box,True
Art of War,True
Bag of Preparation,True
Nilry's Codex,True
Mummified Hand,True
Gremlin Horn,True
Dream Catcher,True
Omamori,True
Peace Pipe,True
Eternal Feather,True
Happy Flower,True
Prayer Wheel,True
Toolbox,True
Vajra,True
Ring of the Snake,False
Membership Card,False
Juzu Bracelet,False
Ice Cream,False
Ring of the Serpent,True
Frozen Eye,True
Bag of Preparation,True
Meat on the Bone,True
StoneCalendar,True
SacredBark,True
Bronze Scales,True
Akabeko,True
War Paint,True
Omamori,True
Thread and Needle,True
FossilizedHelix,True
Boot,True
Ring of the Snake,False
NeowsBlessing,False
Golden Idol,False
Darkstone Periapt,False
Bottled Lightning,False
Boot,False
Pantograph,False
Potion Belt,False
CeramicFish,False
Philosopher's Stone,False
Red Mask,False
HornCleat,False
Nilry's Codex,False
War Paint,False
Ring of the Snake,True
Art of War,True
Toy Ornithopter,True
Juzu Bracelet,True
Bottled Tornado,True
Bag of Marbles,True
Fusion Hammer,True
Omamori,True
Mummified Hand,True
Turnip,True
PreservedInsect,True
HoveringKite,True
White Beast Statue,True
Bag of Preparation,True
Pen Nib,True
Potion Belt,True
Lantern,True
Whetstone,True
Oddly Smooth Stone,True
Akabeko,True
Ring of the Snake,True
Unceasing Top,True
Ornamental Fan,True
Pear,True
Snecko Eye,True
Nunchaku,True
Thread and Needle,True
StoneCalendar,True
Mummified Hand,True
Meat on the Bone,True
HoveringKite,True
StrikeDummy,True
Red Mask,True
Mercury Hourglass,True
Ancient Tea Set,True
Orichalcum,True
Ring of the Snake,False
NeowsBlessing,False
Bag of Marbles,False
Letter Opener,False
FossilizedHelix,False
Membership Card,False
Philosopher's Stone,False
Akabeko,False
Regal Pillow,False
HornCleat,False
Dream Catcher,False
CaptainsWheel,False
Ring of the Snake,True
Du-Vu Doll,True
Orichalcum,True
Vajra,True
WristBlade,True
Potion Belt,True
Enchiridion,True
Pen Nib,True
Shuriken,True
MawBank,True
Whetstone,True
Blood Vial,True
SlaversCollar,True
Ginger,True
Blue Candle,True
The Courier,True
Bronze Scales,True
Tingsha,True
Membership Card,True
Bird Faced Urn,True
Ring of the Serpent,True
Unceasing Top,True
Mercury Hourglass,True
Lee's Waffle,True
MawBank,True
WarpedTongs,True
Sundial,True
Shuriken,True
Pantograph,True
Omamori,True
Runic Pyramid,True
Thread and Needle,True
TungstenRod,True
Chemical X,True
Strawberry,True
Ring of the Snake,True
Bag of Marbles,True
Mummified Hand,True
Bronze Scales,True
PreservedInsect,True
Pandora's Box,True
Enchiridion,True
Girya,True
Bag of Preparation,True
MawBank,True
Old Coin,True
Fusion Hammer,True
ClockworkSouvenir,True
FossilizedHelix,True
TungstenRod,True
Toy Ornithopter,True
Meat on the Bone,True
Strawberry,True
Ring of the Snake,False
Oddly Smooth Stone,False
Bronze Scales,False
Pear,False
Happy Flower,False
Fusion Hammer,False
Potion Belt,False
Cauldron,False
Art of War,False
Akabeko,False
StrikeDummy,False
Toy Ornithopter,False
Philosopher's Stone,False
Bag of Preparation,False
Vajra,False
Bag of Marbles,False
Nunchaku,False
Gremlin Horn,False
Ring of the Snake,False
Bird Faced Urn,False
Omamori,False
Blood Vial,False
Singing Bowl,False
Ring of the Snake,True
Paper Crane,True
HornCleat,True
Anchor,True
Bag of Preparation,True
Shovel,True
Pandora's Box,True
Singing Bowl,True
Turnip,True
Gambling Chip,True
Pocketwatch,True
Coffee Dripper,True
Red Mask,True
Centennial Puzzle,True
Whetstone,True
The Courier,True
Pen Nib,True
Ring of the Serpent,True
Blue Candle,True
Ginger,True
Thread and Needle,True
Smiling Mask,True
Meat on the Bone,True
Fusion Hammer,True
Lantern,True
Pantograph,True
Tiny Chest,True
Question Card,True
Darkstone Periapt,True
Enchiridion,True
Lee's Waffle,True
Mummified Hand,True
Membership Card,True
Vajra,True
Incense Burner,True
TheAbacus,True
Nunchaku,True
OrangePellets,True
Mercury Hourglass,True
Boot,True
StoneCalendar,True
Ring of the Snake,False
NeowsBlessing,False
Strawberry,False
Bag of Preparation,False
Blood Vial,False
Regal Pillow,False
Velvet Choker,False
Happy Flower,False
Incense Burner,False
Ice Cream,False
MawBank,False
Astrolabe,False
Ring of the Snake,False
NeowsBlessing,False
Vajra,False
Strawberry,False
Pantograph,False
MawBank,False
Pandora's Box,False
DollysMirror,False
Nunchaku,False
Calipers,False
Oddly Smooth Stone,False
Bottled Lightning,False
Cursed Key,False
Girya,False
ClockworkSouvenir,False
Art of War,False
Potion Belt,False
Darkstone Periapt,False
StrikeDummy,False
Ring of the Snake,True
Thread and Needle,True
Sundial,True
Nunchaku,True
Bottled Flame,True
Pen Nib,True
Runic Pyramid,True
WingedGreaves,True
Blue Candle,True
Toy Ornithopter,True
Oddly Smooth Stone,True
SlaversCollar,True
DollysMirror,True
Happy Flower,True
MealTicket,True
Bag of Marbles,True
Juzu Bracelet,True
Pantograph,True
Ice Cream,True
Orichalcum,True
Ring of the Snake,True
Snake Skull,True
Nunchaku,True
Matryoshka,True
Bag of Preparation,True
Whetstone,True
Runic Pyramid,True
Frozen Eye,True
Paper Crane,True
Art of War,True
MealTicket,True
StoneCalendar,True
WristBlade,True
TwistedFunnel,True
Unceasing Top,True
Tough Bandages,True
Smiling Mask,True
Toy Ornithopter,True
Ancient Tea Set,True
Torii,True
Ring of the Snake,True
The Courier,True
ClockworkSouvenir,True
TungstenRod,True
Sundial,True
Ninja Scroll,True
Cursed Key,True
Juzu Bracelet,True
PreservedInsect,True
TheAbacus,True
White Beast Statue,True
Matryoshka,True
HoveringKite,True
StoneCalendar,True
Mark of the Bloom,True
Bronze Scales,True
Shovel,True
Nunchaku,True
Whetstone,True
StrikeDummy,True
Centennial Puzzle,True
Snake Skull,True
Ring of the Snake,False
Paper Crane,False
White Beast Statue,False
Ring of the Snake,False
Bloody Idol,False
Matryoshka,False
Bag of Marbles,False
Letter Opener,False
Peace Pipe,False
Pandora's Box,False
War Paint,False
Potion Belt,False
Art of War,False
Strawberry,False
Ring of the Snake,False
Golden Idol,False
Singing Bowl,False
Meat on the Bone,False
StrikeDummy,False
SlaversCollar,False
Orrery,False
Orichalcum,False
White Beast Statue,False
Question Card,False
Ring of the Snake,False
Vajra,False
Snake Skull,False
Singing Bowl,False
Omamori,False
Whetstone,False
Coffee Dripper,False
Centennial Puzzle,False
Paper Crane,False
Question Card,False
Peace Pipe,False
Sozu,False
Dream Catcher,False
Orichalcum,False
Boot,False
Gremlin Horn,False
Ring of the Snake,False
NeowsBlessing,False
Happy Flower,False
Regal Pillow,False
Potion Belt,False
Orichalcum,False
Oddly Smooth Stone,False
Bottled Flame,False
Coffee Dripper,False
Art of War,False
Gremlin Horn,False
Bottled Lightning,False
Ring of the Snake,False
GremlinMask,False
Bottled Tornado,False
Oddly Smooth Stone,False
Philosopher's Stone,False
Gremlin Horn,False
Anchor,False
Lantern,False
Ring of the Snake,False
Peace Pipe,False
Golden Idol,False
Bag of Marbles,False
White Beast Statue,False
Ninja Scroll,False
Empty Cage,False
Cauldron,False
Frozen Egg 2,False
Art of War,False
TungstenRod,False
Runic Dome,False
Turnip,False
Thread and Needle,False
Ring of the Snake,False
Ring of the Snake,False
Pantograph,False
Shuriken,False
Philosopher's Stone,False
Ring of the Snake,False
Golden Idol,False
War Paint,False
Snake Skull,False
Art of War,False
Blood Vial,False
Ring of the Snake,False
Question Card,False
Smiling Mask,False
Bag of Marbles,False
SlaversCollar,False
Frozen Eye,False
Ice Cream,False
Ring of the Snake,False
Juzu Bracelet,False
Strawberry,False
Nunchaku,False
Boot,False
Coffee Dripper,False
Red Mask,False
Happy Flower,False
Toxic Egg 2,False
Lizard Tail,False
Calipers,False
Ornamental Fan,False
Orrery,False
Mercury Hourglass,False
Ring of the Snake,False
Toxic Egg 2,False
Boot,False
Oddly Smooth Stone,False
White Beast Statue,False
Bag of Preparation,False
Ring of the Snake,False
Ring of the Snake,True
Bronze Scales,True
Regal Pillow,True
Singing Bowl,True
Juzu Bracelet,True
Runic Pyramid,True
Medical Kit,True
Boot,True
Bag of Preparation,True
Cursed Key,True
Gambling Chip,True
Ancient Tea Set,True
CeramicFish,True
War Paint,True
Ring of the Snake,False
Sundial,False
Matryoshka,False
Happy Flower,False
Odd Mushroom,False
Runic Pyramid,False
Orrery,False
Potion Belt,False
Orichalcum,False
Toxic Egg 2,False
Cursed Key,True
Matryoshka,True
Letter Opener,True
Bottled Tornado,True
The Specimen,True
Coffee Dripper,True
Red Mask,True
Shuriken,True
MealTicket,True
White Beast Statue,True
Astrolabe,True
Turnip,True
TwistedFunnel,True
Vajra,True
Orichalcum,True
Ring of the Snake,False
Gambling Chip,False
Turnip,False
Girya,False
Ring of the Snake,False
NeowsBlessing,False
Golden Idol,False
Paper Crane,False
CeramicFish,False
Astrolabe,False
Enchiridion,False
Red Mask,False
Akabeko,False
Ring of the Snake,True
TungstenRod,True
Omamori,True
Ninja Scroll,True
FossilizedHelix,True
Dream Catcher,True
SacredBark,True
Red Mask,True
Snake Skull,True
Frozen Egg 2,True
InkBottle,True
Incense Burner,True
Matryoshka,True
Shovel,True
White Beast Statue,True
TheAbacus,True
Busted Crown,True
Mummified Hand,True
Art of War,True
PreservedInsect,True
Singing Bowl,True
Gremlin Horn,True
Bottled Lightning,True
Anchor,True
Cauldron,True
Pear,True
Ring of the Snake,True
Gambling Chip,True
Molten Egg 2,True
White Beast Statue,True
Pandora's Box,True
Red Mask,True
