Card,Win
Meditate,True
HandOfGreed,True
MentalFortress,True
SandsOfTime,True
Vault,True
DevaForm,True
Eruption,True
WheelKick,True
Defend_P,True
Tantrum,True
RitualDagger,True
EmptyMind,True
ReachHeaven,True
Worship,True
Strike_P,True
Ragnarok,True
CrushJoints,True
CutThroughFate,True
FearNoEvil,True
Omniscience,True
Swivel,True
Wallop,True
Vigilance,True
Halt,True
ConjureBlade,True
Eruption,True
Meditate,True
Vigilance,True
CutThroughFate,True
FearNoEvil,True
InnerPeace,True
Prostrate,True
Tantrum,True
Scrawl,True
Apparition,True
Establishment,True
TalkToTheHand,True
Adaptation,True
Wallop,True
Vigilance,True
WheelKick,True
InnerPeace,True
Tantrum,True
Scrawl,True
Adaptation,True
MentalFortress,True
EmptyMind,True
Eruption,False
Strike_P,False
Wallop,False
Vigilance,False
EmptyFist,False
CutThroughFate,False
Defend_P,False
InnerPeace,False
Prostrate,False
MentalFortress,False
EmptyMind,False
Eruption,True
Vigilance,True
CutThroughFate,True
FearNoEvil,True
SashWhip,True
Scrawl,True
TalkToTheHand,True
Apparition,True
MentalFortress,True
EmptyMind,True
ClearTheMind,False
Eruption,False
Strike_P,False
Vigilance,False
EmptyFist,False
InnerPeace,False
Pray,False
Prostrate,False
Collect,False
Brilliance,False
Crescendo,False
MentalFortress,False
Adaptation,False
EmptyBody,True
LessonLearned,True
Eruption,True
Meditate,True
Vigilance,True
FearNoEvil,True
Defend_P,True
Scrawl,True
Crescendo,True
Consecrate,True
Adaptation,True
Vault,True
Blasphemy,True
Vigilance,True
FlurryOfBlows,True
InnerPeace,True
Tantrum,True
Apparition,True
MentalFortress,True
Adaptation,True
Halt,True
Eruption,True
Vigilance,True
EmptyFist,True
CutThroughFate,True
FearNoEvil,True
InnerPeace,True
MentalFortress,True
Adaptation,True
Halt,False
Eruption,False
Meditate,False
Secret Technique,False
Vigilance,False
FlurryOfBlows,False
InnerPeace,False
Tantrum,False
Dark Shackles,False
MentalFortress,False
ReachHeaven,False
Eruption,True
Strike_P,True
Vigilance,True
EmptyFist,True
Defend_P,True
Scrawl,True
Consecrate,True
Adaptation,True
Vault,True
DevaForm,False
Eruption,False
Strike_P,False
Vigilance,False
EmptyFist,False
FlurryOfBlows,False
