Enemy,Damage Taken
2 Orb Walkers,122.0
The Heart,111.0
Time Eater,105.0
The Heart,80.0
Nemesis,79.0
Gremlin Nob,70.0
Nemesis,68.0
Shield and Spear,66.0
Awakened One,63.0
The Heart,63.0
Time Eater,61.0
Lagavulin,58.0
The Heart,58.0
Gremlin Nob,56.0
The Heart,54.0
The Heart,51.0
Time Eater,51.0
Snake Plant,48.0
Donu and Deca,48.0
The Heart,48.0
Shield and Spear,46.0
Slavers,44.0
3 Sentries,43.0
Hexaghost,42.0
3 Byrds,42.0
Book of Stabbing,40.0
Time Eater,38.0
3 Sentries,37.0
Slime Boss,37.0
3 Byrds,36.0
Nemesis,36.0
Chosen and Byrds,36.0
Gremlin Leader,36.0
Automaton,35.0
The Guardian,34.0
The Heart,33.0
Shield and Spear,33.0
Slime Boss,33.0
Lagavulin,32.0
Gremlin Leader,32.0
The Heart,32.0
Hexaghost,31.0
Shelled Parasite and Fungi,31.0
Gremlin Nob,31.0
Snecko,30.0
Champ,29.0
Gremlin Nob,28.0
Gremlin Leader,28.0
Slavers,28.0
Slavers,28.0
Lagavulin,27.0
3 Sentries,27.0
Donu and Deca,27.0
Time Eater,27.0
Slavers,26.0
Shell Parasite,26.0
Time Eater,26.0
Reptomancer,26.0
The Guardian,25.0
Gremlin Nob,25.0
Centurion and Healer,25.0
3 Sentries,25.0
The Heart,25.0
Snake Plant,25.0
3 Sentries,24.0
Snake Plant,24.0
Automaton,24.0
Centurion and Healer,23.0
The Guardian,23.0
The Heart,23.0
Jaw Worm Horde,22.0
Lagavulin,22.0
Hexaghost,22.0
Lagavulin,22.0
3 Sentries,22.0
Lagavulin,22.0
3 Sentries,22.0
3 Sentries,22.0
3 Sentries,22.0
Slavers,21.0
Time Eater,21.0
The Heart,21.0
Slavers,21.0
2 Thieves,21.0
The Heart,21.0
Donu and Deca,20.0
2 Thieves,20.0
3 Darklings,20.0
Slime Boss,20.0
3 Sentries,20.0
The Heart,20.0
Shield and Spear,20.0
Time Eater,19.0
Exordium Wildlife,19.0
Nemesis,19.0
Nemesis,19.0
Slavers,19.0
Slavers,19.0
The Heart,19.0
Champ,19.0
Hexaghost,19.0
Time Eater,19.0
Shell Parasite,18.0
3 Byrds,18.0
3 Byrds,18.0
The Mushroom Lair,18.0
Sphere and 2 Shapes,18.0
Gremlin Leader,18.0
Shell Parasite,18.0
Cultist and Chosen,18.0
Time Eater,18.0
Snake Plant,18.0
Donu and Deca,18.0
Large Slime,18.0
4 Shapes,17.0
Centurion and Healer,17.0
Awakened One,17.0
Nemesis,17.0
Jaw Worm Horde,17.0
3 Sentries,17.0
Exordium Thugs,17.0
Champ,17.0
