Relic,Win
Snecko Eye,True
Question Card,True
Frozen Egg 2,True
Molten Egg 2,True
Fusion Hammer,True
Enchiridion,True
Mummified Hand,True
Sundial,True
Ornamental Fan,True
MealTicket,True
Coffee Dripper,True
CaptainsWheel,True
Anchor,True
Pear,True
Omamori,True
Singing Bowl,True
Strawberry,True
PureWater,True
Vajra,True
Tiny Chest,True
Bag of Preparation,True
Philosopher's Stone,True
Orichalcum,True
Meat on the Bone,True
The Courier,True
War Paint,True
Blue Candle,True
Empty Cage,True
InkBottle,True
Dream Catcher,True
Question Card,True
Ornamental Fan,True
Bird Faced Urn,True
Oddly Smooth Stone,True
PureWater,True
Eternal Feather,True
HornCleat,True
Matryoshka,True
VioletLotus,True
Membership Card,True
Bottled Lightning,True
MealTicket,True
Question Card,True
Empty Cage,True
Medical Kit,True
Bag of Marbles,True
Juzu Bracelet,True
TheAbacus,True
Oddly Smooth Stone,True
PureWater,False
Ancient Tea Set,False
White Beast Statue,False
Sundial,False
PureWater,True
Lantern,True
Centennial Puzzle,True
Strawberry,True
Sundial,True
Empty Cage,True
StrikeDummy,True
Calipers,True
Molten Egg 2,True
Happy Flower,True
VioletLotus,True
MawBank,True
Akabeko,True
Shuriken,True
PureWater,False
Damaru,False
Ornamental Fan,False
CeramicFish,False
Sundial,False
Gremlin Horn,False
Astrolabe,False
Question Card,False
Matryoshka,False
Nunchaku,False
Kunai,False
PureWater,True
Akabeko,True
Oddly Smooth Stone,True
Pear,True
PreservedInsect,True
Yang,True
VioletLotus,True
Lantern,True
Astrolabe,True
Boot,True
Dream Catcher,True
Pen Nib,True
Vajra,True
PureWater,True
Regal Pillow,True
Torii,True
White Beast Statue,True
Du-Vu Doll,True
Blue Candle,True
Pear,True
Peace Pipe,True
VioletLotus,True
Red Mask,True
CeramicFish,True
Eternal Feather,True
TeardropLocket,True
SacredBark,True
Mark of the Bloom,True
Mercury Hourglass,True
Kunai,True
PureWater,True
FossilizedHelix,True
White Beast Statue,True
HornCleat,True
MawBank,True
Astrolabe,True
Darkstone Periapt,True
Bag of Preparation,True
Bird Faced Urn,True
Calipers,True
Vajra,True
Busted Crown,True
Boot,True
Bronze Scales,True
Kunai,True
PureWater,False
Toy Ornithopter,False
Akabeko,False
Empty Cage,False
Happy Flower,False
Strawberry,False
Bag of Marbles,False
Coffee Dripper,False
Oddly Smooth Stone,False
GoldenEye,False
Dream Catcher,False
PureWater,True
FossilizedHelix,True
Mummified Hand,True
