Card,Floor,Picked,Act,Boss
Sucker Punch,1.0,True,1,False
Underhanded Strike,1.0,False,1,False
Bane,1.0,False,1,False
SKIP,1.0,False,1,False
Blade Dance,2.0,True,1,False
Skewer,2.0,False,1,False
Underhanded Strike,2.0,False,1,False
SKIP,2.0,False,1,False
Slice,5.0,True,1,False
Bane,5.0,False,1,False
Flechettes,5.0,False,1,False
SKIP,5.0,False,1,False
Doppelganger,6.0,True,1,False
Dagger Spray,6.0,False,1,False
Prepared,6.0,False,1,False
SKIP,6.0,False,1,False
Terror,8.0,True,1,False
Deflect,8.0,False,1,False
Leg Sweep,8.0,False,1,False
SKIP,8.0,False,1,False
Dash,10.0,True,1,False
Deflect,10.0,False,1,False
Quick Slash,10.0,False,1,False
SKIP,10.0,False,1,False
SKIP,13.0,True,1,False
Heel Hook,13.0,False,1,False
Prepared,13.0,False,1,False
Distraction,13.0,False,1,False
SKIP,13.0,False,1,False
Calculated Gamble,14.0,True,1,False
Footwork,14.0,False,1,False
Blur,14.0,False,1,False
SKIP,14.0,False,1,False
Die Die Die,16.0,True,1,True
Burst,16.0,False,1,True
Bullet Time,16.0,False,1,True
SKIP,16.0,False,1,True
Backstab,18.0,True,2,False
Deflect,18.0,False,2,False
Bane,18.0,False,2,False
SKIP,18.0,False,2,False
Dagger Spray,21.0,True,2,False
Acrobatics,21.0,False,2,False
Riddle With Holes,21.0,False,2,False
SKIP,21.0,False,2,False
SKIP,24.0,True,2,False
Deadly Poison,24.0,False,2,False
Sucker Punch,24.0,False,2,False
Skewer,24.0,False,2,False
SKIP,24.0,False,2,False
Glass Knife,25.0,True,2,False
Skewer,25.0,False,2,False
Flying Knee,25.0,False,2,False
Singing Bowl,25.0,False,2,False
Outmaneuver,27.0,True,2,False
Terror,27.0,False,2,False
Dagger Throw,27.0,False,2,False
Singing Bowl,27.0,False,2,False
Well Laid Plans,29.0,True,2,False
Underhanded Strike,29.0,False,2,False
Accuracy,29.0,False,2,False
Singing Bowl,29.0,False,2,False
Calculated Gamble,30.0,True,2,False
Dagger Spray,30.0,False,2,False
Acrobatics,30.0,False,2,False
Singing Bowl,30.0,False,2,False
Prepared,31.0,True,2,False
Dagger Throw,31.0,False,2,False
Expertise,31.0,False,2,False
Singing Bowl,31.0,False,2,False
Alchemize,33.0,True,2,True
Tools of the Trade,33.0,False,2,True
Corpse Explosion,33.0,False,2,True
Singing Bowl,33.0,False,2,True
Tactician,35.0,True,3,False
Deadly Poison,35.0,False,3,False
Crippling Poison,35.0,False,3,False
Singing Bowl,35.0,False,3,False
Singing Bowl,37.0,True,3,False
Cloak And Dagger,37.0,False,3,False
Bane,37.0,False,3,False
Well Laid Plans,37.0,False,3,False
Singing Bowl,37.0,False,3,False
Singing Bowl,38.0,True,3,False
Deflect,38.0,False,3,False
Deadly Poison,38.0,False,3,False
Bane,38.0,False,3,False
Singing Bowl,38.0,False,3,False
Acrobatics,39.0,True,3,False
Cloak And Dagger,39.0,False,3,False
Deflect,39.0,False,3,False
Singing Bowl,39.0,False,3,False
Singing Bowl,40.0,True,3,False
Bouncing Flask,40.0,False,3,False
Quick Slash,40.0,False,3,False
Storm of Steel,40.0,False,3,False
Singing Bowl,40.0,False,3,False
Singing Bowl,41.0,True,3,False
Finesse,41.0,False,3,False
Swift Strike,41.0,False,3,False
Bandage Up,41.0,False,3,False
Singing Bowl,41.0,False,3,False
Singing Bowl,41.0,True,3,False
Swift Strike,41.0,False,3,False
Panache,41.0,False,3,False
Mayhem,41.0,False,3,False
Singing Bowl,41.0,False,3,False
Panacea,41.0,True,3,False
Purity,41.0,False,3,False
The Bomb,41.0,False,3,False
Singing Bowl,41.0,False,3,False
PiercingWail,44.0,True,3,False
Quick Slash,44.0,False,3,False
Deflect,44.0,False,3,False
Singing Bowl,44.0,False,3,False
Reflex,46.0,True,3,False
Choke,46.0,False,3,False
Deflect,46.0,False,3,False
Singing Bowl,46.0,False,3,False
Singing Bowl,47.0,True,3,False
Bouncing Flask,47.0,False,3,False
Underhanded Strike,47.0,False,3,False
Bane,47.0,False,3,False
Singing Bowl,47.0,False,3,False
Acrobatics,48.0,True,3,False
Dagger Throw,48.0,False,3,False
Night Terror,48.0,False,3,False
Singing Bowl,48.0,False,3,False
Malaise,54.0,True,4,False
Prepared,54.0,False,4,False
Blade Dance,54.0,False,4,False
Singing Bowl,54.0,False,4,False
Acrobatics,54.0,True,4,False
Reflex,54.0,False,4,False
Calculated Gamble,54.0,False,4,False
Singing Bowl,54.0,False,4,False
Burst,54.0,True,4,False
Concentrate,54.0,False,4,False
Slice,54.0,False,4,False
Singing Bowl,54.0,False,4,False
Singing Bowl,54.0,True,4,False
Quick Slash,54.0,False,4,False
Blade Dance,54.0,False,4,False
Expertise,54.0,False,4,False
Singing Bowl,54.0,False,4,False
Footwork,54.0,True,4,False
Outmaneuver,54.0,False,4,False
Dagger Spray,54.0,False,4,False
Singing Bowl,54.0,False,4,False
Catalyst,55.0,True,4,False
Backflip,55.0,False,4,False
Leg Sweep,55.0,False,4,False
Singing Bowl,55.0,False,4,False
Acrobatics,1.0,True,1,False
Deadly Poison,1.0,False,1,False
Cloak And Dagger,1.0,False,1,False
SKIP,1.0,False,1,False
Dagger Throw,2.0,True,1,False
Acrobatics,2.0,False,1,False
Cloak And Dagger,2.0,False,1,False
SKIP,2.0,False,1,False
Terror,3.0,True,1,False
Backstab,3.0,False,1,False
Deflect,3.0,False,1,False
SKIP,3.0,False,1,False
SKIP,5.0,True,1,False
Outmaneuver,5.0,False,1,False
Cloak And Dagger,5.0,False,1,False
Dodge and Roll,5.0,False,1,False
SKIP,5.0,False,1,False
All Out Attack,7.0,True,1,False
Choke,7.0,False,1,False
Concentrate,7.0,False,1,False
SKIP,7.0,False,1,False
Acrobatics,11.0,True,1,False
Expertise,11.0,False,1,False
Masterful Stab,11.0,False,1,False
SKIP,11.0,False,1,False
Underhanded Strike,13.0,True,1,False
Expertise,13.0,False,1,False
Dagger Spray,13.0,False,1,False
SKIP,13.0,False,1,False
Backflip,14.0,True,1,False
Infinite Blades,14.0,False,1,False
Escape Plan,14.0,False,1,False
SKIP,14.0,False,1,False
Adrenaline,16.0,True,1,True
Unload,16.0,False,1,True
Glass Knife,16.0,False,1,True
SKIP,16.0,False,1,True
Eviscerate,18.0,True,2,False
Expertise,18.0,False,2,False
Heel Hook,18.0,False,2,False
SKIP,18.0,False,2,False
