Card,Win
Doppelganger,True
Backstab,True
Die Die Die,True
Tactician,True
Malaise,True
Outmaneuver,True
Catalyst,True
Footwork,True
Well Laid Plans,True
Sucker Punch,True
PiercingWail,True
Blade Dance,True
Calculated Gamble,True
Dagger Spray,True
Defend_G,True
Caltrops,True
Survivor,True
Strike_G,True
Neutralize,True
Panacea,True
Burst,True
Slice,True
Glass Knife,True
Prepared,True
Terror,True
Acrobatics,True
Alchemize,True
Dash,True
Reflex,True
Doppelganger,True
Backflip,True
Dark Shackles,True
Tactician,True
Malaise,True
Adrenaline,True
Concentrate,True
Blur,True
Underhanded Strike,True
Bouncing Flask,True
PiercingWail,True
Calculated Gamble,True
Bullet Time,True
Survivor,True
Storm of Steel,True
Neutralize,True
Burst,True
Prepared,True
Acrobatics,True
Terror,True
Eviscerate,True
Grand Finale,True
Envenom,True
Dagger Throw,True
Backstab,True
Tactician,True
Footwork,True
Adrenaline,True
Crippling Poison,True
Well Laid Plans,True
Sucker Punch,True
PiercingWail,True
Blade Dance,True
Finisher,True
After Image,True
Calculated Gamble,True
Poisoned Stab,True
Defend_G,True
Caltrops,True
Survivor,True
Accuracy,True
Deflect,True
Strike_G,True
Neutralize,True
Blind,True
Slice,True
Night Terror,True
Terror,True
Acrobatics,True
Backflip,True
Quick Slash,True
Outmaneuver,True
Catalyst,True
Footwork,True
Flying Knee,True
Secret Technique,True
Cloak And Dagger,True
Adrenaline,True
Well Laid Plans,True
Bouncing Flask,True
Blade Dance,True
After Image,True
Calculated Gamble,True
Defend_G,True
Escape Plan,True
Survivor,True
Discovery,True
Deflect,True
Strike_G,True
Neutralize,True
Dodge and Roll,True
Night Terror,True
Noxious Fumes,True
Terror,True
Apparition,True
Acrobatics,True
Prepared,True
Alchemize,True
Strike_G,False
Neutralize,False
Blade Dance,False
Tactician,False
Dagger Spray,False
Acrobatics,False
Defend_G,False
Eviscerate,False
Flying Knee,False
Survivor,False
Cloak And Dagger,False
Backstab,True
Backflip,True
Die Die Die,True
Malaise,True
Tactician,True
Outmaneuver,True
Catalyst,True
Footwork,True
Adrenaline,True
Sucker Punch,True
Underhanded Strike,True
PiercingWail,True
Calculated Gamble,True
Leg Sweep,True
Dagger Spray,True
Escape Plan,True
Survivor,True
Neutralize,True
RitualDagger,True
Endless Agony,True
Slice,True
Night Terror,True
Prepared,True
Acrobatics,True
Wraith Form,True
Corpse Explosion,True
Strike_G,False
Backstab,False
Neutralize,False
Blade Dance,False
Predator,False
Well Laid Plans,False
Endless Agony,False
Dagger Spray,False
Trip,False
Prepared,False
Defend_G,False
Eviscerate,False
Alchemize,False
Wraith Form,False
Survivor,False
Dagger Throw,False
Corpse Explosion,False
Deadly Poison,False
Strike_G,False
PiercingWail,False
Neutralize,False
Backflip,False
Blade Dance,False
Apotheosis,False
Terror,False
Acrobatics,False
Defend_G,False
Flying Knee,False
Survivor,False
Dash,False
Strike_G,False
PiercingWail,False
Neutralize,False
Backflip,False
Blade Dance,False
Glass Knife,False
Dagger Spray,False
Terror,False
Apparition,False
Defend_G,False
Sucker Punch,False
Alchemize,False
Wraith Form,False
Necronomicurse,False
Survivor,False
Bouncing Flask,False
Deadly Poison,False
Skewer,False
Strike_G,False
Neutralize,False
Backflip,False
Well Laid Plans,False
All Out Attack,False
Trip,False
Dagger Spray,False
Defend_G,False
Caltrops,False
Footwork,False
Phantasmal Killer,False
Survivor,False
Dagger Throw,False
Infinite Blades,False
Masterful Stab,False
Backstab,False
Backflip,False
Die Die Die,False
Malaise,False
Outmaneuver,False
Phantasmal Killer,False
Flying Knee,False
Blur,False
Sucker Punch,False
Infinite Blades,False
Bouncing Flask,False
PiercingWail,False
Blade Dance,False
Finisher,False
After Image,False
Dagger Spray,False
Defend_G,False
Caltrops,False
Survivor,False
Predator,False
Deflect,False
Strike_G,False
Neutralize,False
PanicButton,False
Slice,False
Noxious Fumes,False
Acrobatics,False
Terror,False
Dagger Throw,False
Strike_G,False
Neutralize,False
RitualDagger,False
Well Laid Plans,False
Endless Agony,False
Night Terror,False
Dagger Spray,False
Noxious Fumes,False
Defend_G,False
Bullet Time,False
Outmaneuver,False
Footwork,False
Catalyst,False
Secret Technique,False
Survivor,False
Dagger Throw,False
Deflect,False
Masterful Stab,False
Backstab,False
Doppelganger,False
Backflip,False
Tactician,False
Quick Slash,False
Outmaneuver,False
Phantasmal Killer,False
Cloak And Dagger,False
Well Laid Plans,False
Writhe,False
PiercingWail,False
Blade Dance,False
Expertise,False
Dagger Spray,False
Setup,False
Survivor,False
Deflect,False
Neutralize,False
Burst,False
Endless Agony,False
Glass Knife,False
Night Terror,False
Terror,False
Acrobatics,False
Envenom,False
Doppelganger,True
Backflip,True
Malaise,True
Quick Slash,True
Flechettes,True
Phantasmal Killer,True
Adrenaline,True
PiercingWail,True
Blade Dance,True
Finisher,True
Calculated Gamble,True
Dagger Spray,True
Defend_G,True
Escape Plan,True
Survivor,True
Predator,True
Deflect,True
Strike_G,True
Neutralize,True
Madness,True
Dodge and Roll,True
Burst,True
Endless Agony,True
Decay,True
Terror,True
Acrobatics,True
Wraith Form,True
Backflip,True
Tactician,True
Distraction,True
Outmaneuver,True
Catalyst,True
Footwork,True
Flying Knee,True
Adrenaline,True
Concentrate,True
Well Laid Plans,True
Underhanded Strike,True
PiercingWail,True
Blade Dance,True
After Image,True
Dash,True
Calculated Gamble,True
Survivor,True
Predator,True
Deflect,True
Masterful Stab,True
Neutralize,True
Burst,True
Endless Agony,True
All Out Attack,True
Night Terror,True
Prepared,True
Acrobatics,True
Wraith Form,True
Alchemize,True
Grand Finale,True
Dagger Throw,True
Corpse Explosion,True
Reflex,True
Quick Slash,False
Catalyst,False
Crippling Poison,False
Well Laid Plans,False
Blade Dance,False
After Image,False
Calculated Gamble,False
Poisoned Stab,False
Defend_G,False
Survivor,False
Predator,False
Discovery,False
Deflect,False
Tools of the Trade,False
Strike_G,False
Neutralize,False
PanicButton,False
Dodge and Roll,False
RitualDagger,False
Burst,False
Noxious Fumes,False
Acrobatics,False
Terror,False
Wraith Form,False
Alchemize,False
Corpse Explosion,False
Strike_G,False
Neutralize,False
Magnetism,False
Blade Dance,False
Slice,False
Poisoned Stab,False
Tactician,False
Acrobatics,False
Defend_G,False
Underhanded Strike,False
Bullet Time,False
Eviscerate,False
Survivor,False
Corpse Explosion,False
Reflex,False
Strike_G,False
Dagger Throw,False
Neutralize,False
Crippling Poison,False
Blade Dance,False
Doppelganger,False
After Image,False
Well Laid Plans,False
Poisoned Stab,False
Terror,False
Defend_G,False
Survivor,False
Sadistic Nature,False
Backstab,True
Malaise,True
Secret Technique,True
Flying Knee,True
Well Laid Plans,True
Sucker Punch,True
Bouncing Flask,True
PiercingWail,True
Calculated Gamble,True
Dagger Spray,True
Defend_G,True
Survivor,True
Masterful Stab,True
Neutralize,True
Burst,True
Slice,True
Acrobatics,True
Terror,True
Wraith Form,True
Bite,True
Dagger Throw,True
Corpse Explosion,True
Reflex,True
Enlightenment,False
Backflip,False
Master of Strategy,False
Malaise,False
Flash of Steel,False
Quick Slash,False
Phantasmal Killer,False
Cloak And Dagger,False
Well Laid Plans,False
Blur,False
Underhanded Strike,False
PiercingWail,False
Calculated Gamble,False
Bullet Time,False
Caltrops,False
Escape Plan,False
Survivor,False
Predator,False
Deflect,False
Deadly Poison,False
Tools of the Trade,False
CurseOfTheBell,False
Neutralize,False
Burst,False
Glass Knife,False
Prepared,False
Acrobatics,False
Eviscerate,False
Alchemize,False
Grand Finale,False
Dagger Throw,False
Dash,False
Reflex,False
Backflip,True
Dark Shackles,True
Phantasmal Killer,True
Crippling Poison,True
Well Laid Plans,True
Blur,True
Sucker Punch,True
Underhanded Strike,True
Infinite Blades,True
PiercingWail,True
Blade Dance,True
Calculated Gamble,True
Leg Sweep,True
Bullet Time,True
Survivor,True
Predator,True
Tools of the Trade,True
Dodge and Roll,True
Prepared,True
Acrobatics,True
Terror,True
Wraith Form,True
Dash,True
Backstab,True
Backflip,True
Tactician,True
Malaise,True
Footwork,True
