Enemy,Damage Taken
The Heart,113.0
The Heart,97.0
Donu and Deca,87.0
The Heart,86.0
The Heart,85.0
Awakened One,76.0
The Heart,73.0
Lagavulin,72.0
The Heart,69.0
The Heart,69.0
Time Eater,68.0
The Heart,68.0
The Heart,67.0
Slime Boss,65.0
Donu and Deca,64.0
Awakened One,64.0
The Heart,60.0
Donu and Deca,59.0
Slavers,58.0
Slavers,58.0
Champ,57.0
Gremlin Nob,54.0
Time Eater,53.0
Time Eater,53.0
The Heart,53.0
The Heart,52.0
Time Eater,51.0
Collector,51.0
The Heart,51.0
4 Shapes,49.0
Awakened One,49.0
Hexaghost,48.0
Automaton,47.0
The Heart,47.0
The Heart,47.0
Gremlin Nob,47.0
Reptomancer,46.0
The Heart,45.0
Jaw Worm Horde,45.0
Masked Bandits,45.0
Collector,45.0
Cultist and Chosen,45.0
The Heart,43.0
Automaton,43.0
Book of Stabbing,42.0
Gremlin Nob,42.0
Slime Boss,41.0
Time Eater,41.0
Book of Stabbing,41.0
The Heart,41.0
Slime Boss,40.0
Nemesis,40.0
Reptomancer,40.0
The Heart,40.0
Shield and Spear,40.0
Book of Stabbing,39.0
Gremlin Nob,39.0
Champ,38.0
Book of Stabbing,38.0
Gremlin Leader,37.0
Gremlin Nob,36.0
The Guardian,36.0
Donu and Deca,35.0
Lagavulin,35.0
Hexaghost,34.0
Slavers,34.0
3 Sentries,34.0
Slime Boss,32.0
Gremlin Nob,32.0
Lagavulin,32.0
Gremlin Nob,32.0
Reptomancer,32.0
The Heart,31.0
3 Sentries,31.0
Champ,30.0
Slavers,30.0
Snake Plant,30.0
Automaton,30.0
Time Eater,30.0
Masked Bandits,29.0
The Heart,29.0
The Heart,29.0
Gremlin Nob,29.0
Masked Bandits,29.0
Sentry and Sphere,29.0
Awakened One,29.0
Slavers,28.0
Snecko,28.0
Automaton,28.0
Hexaghost,27.0
Gremlin Nob,27.0
Lagavulin,27.0
Slavers,27.0
Slavers,27.0
Book of Stabbing,26.0
The Guardian,26.0
2 Orb Walkers,26.0
Lagavulin,26.0
Shield and Spear,26.0
Collector,26.0
Automaton,26.0
Awakened One,26.0
Automaton,26.0
3 Sentries,26.0
Snake Plant,26.0
Shell Parasite,25.0
Slime Boss,25.0
The Guardian,25.0
Nemesis,25.0
Lagavulin,24.0
Book of Stabbing,24.0
3 Sentries,24.0
Donu and Deca,24.0
Gremlin Nob,24.0
The Heart,24.0
3 Sentries,23.0
Champ,22.0
Nemesis,22.0
Shell Parasite,22.0
3 Sentries,22.0
Slavers,22.0
Automaton,22.0
Spire Growth,22.0
Book of Stabbing,22.0
Time Eater,22.0
Time Eater,22.0
Spheric Guardian,22.0
Book of Stabbing,22.0
3 Sentries,22.0
Shelled Parasite and Fungi,21.0
Reptomancer,21.0
Exordium Thugs,21.0
Slime Boss,21.0
Donu and Deca,21.0
Time Eater,21.0
2 Orb Walkers,21.0
Slavers,20.0
Hexaghost,20.0
Lagavulin,20.0
Hexaghost,20.0
The Heart,20.0
Reptomancer,20.0
Writhing Mass,20.0
Nemesis,20.0
2 Thieves,20.0
Lagavulin,20.0
Lagavulin,20.0
Awakened One,20.0
Gremlin Nob,20.0
3 Darklings,19.0
Giant Head,19.0
Lagavulin,19.0
Time Eater,19.0
Cultist and Chosen,19.0
Gremlin Nob,18.0
Shelled Parasite and Fungi,18.0
Donu and Deca,18.0
4 Shapes,18.0
Awakened One,18.0
Book of Stabbing,18.0
Shelled Parasite and Fungi,18.0
Spheric Guardian,18.0
Gremlin Nob,18.0
Shell Parasite,18.0
Exordium Thugs,17.0
2 Orb Walkers,17.0
3 Sentries,17.0
Snake Plant,17.0
Masked Bandits,17.0
Shield and Spear,17.0
The Heart,17.0
3 Sentries,17.0
Giant Head,17.0
The Guardian,17.0
3 Sentries,17.0
2 Thieves,17.0
Shell Parasite,17.0
Book of Stabbing,17.0
Hexaghost,17.0
Spheric Guardian,17.0
Lagavulin,17.0
Cultist and Chosen,17.0
Champ,16.0
Slime Boss,16.0
3 Sentries,16.0
3 Shapes,16.0
Collector,16.0
Lagavulin,16.0
Gremlin Leader,16.0
Exordium Wildlife,16.0
Sentry and Sphere,16.0
The Heart,16.0
Collector,16.0
Spire Growth,16.0
Shelled Parasite and Fungi,16.0
Slavers,16.0
2 Thieves,16.0
Gremlin Nob,16.0
Automaton,16.0
Lagavulin,15.0
Time Eater,15.0
Gremlin Leader,15.0
Slime Boss,15.0
2 Thieves,15.0
Automaton,15.0
The Heart,15.0
Shell Parasite,15.0
2 Thieves,15.0
Snake Plant,15.0
Writhing Mass,15.0
3 Sentries,15.0
Masked Bandits,15.0
Spire Growth,15.0
Time Eater,15.0
Exordium Wildlife,15.0
Hexaghost,15.0
Masked Bandits,14.0
The Guardian,14.0
Gremlin Nob,14.0
Book of Stabbing,14.0
Slavers,14.0
Snake Plant,14.0
Chosen and Byrds,14.0
Exordium Thugs,14.0
Book of Stabbing,14.0
The Heart,14.0
Book of Stabbing,14.0
Jaw Worm,14.0
Hexaghost,14.0
Spheric Guardian,14.0
Slavers,13.0
3 Byrds,13.0
Slime Boss,13.0
Champ,13.0
Shell Parasite,13.0
Nemesis,13.0
3 Sentries,13.0
Slavers,13.0
Shelled Parasite and Fungi,13.0
Slime Boss,13.0
Reptomancer,13.0
Transient,13.0
Large Slime,13.0
3 Byrds,13.0
Snecko,13.0
3 Sentries,13.0
Lagavulin,12.0
Donu and Deca,12.0
Snecko,12.0
Lagavulin,12.0
Slime Boss,12.0
2 Thieves,12.0
3 Sentries,12.0
3 Sentries,12.0
Masked Bandits,12.0
Jaw Worm Horde,12.0
Snake Plant,12.0
Maw,12.0
Lagavulin,12.0
Champ,12.0
3 Darklings,12.0
Slime Boss,12.0
Book of Stabbing,12.0
3 Sentries,12.0
Jaw Worm,12.0
3 Sentries,12.0
2 Thieves,11.0
Cultist and Chosen,11.0
Slime Boss,11.0
Slavers,11.0
Large Slime,11.0
Lagavulin,11.0
The Guardian,11.0
Reptomancer,11.0
Large Slime,11.0
Time Eater,11.0
3 Sentries,11.0
Large Slime,11.0
3 Darklings,11.0
Gremlin Leader,11.0
Book of Stabbing,11.0
The Guardian,11.0
Lagavulin,11.0
Gremlin Nob,11.0
Donu and Deca,11.0
Cultist,11.0
Spheric Guardian,11.0
3 Sentries,11.0
Gremlin Nob,11.0
3 Shapes,11.0
Gremlin Nob,11.0
Time Eater,11.0
3 Darklings,11.0
The Guardian,11.0
Collector,11.0
Chosen and Byrds,11.0
Sphere and 2 Shapes,10.0
Orb Walker,10.0
Cultist and Chosen,10.0
Shield and Spear,10.0
Lagavulin,10.0
3 Sentries,10.0
Small Slimes,10.0
3 Sentries,10.0
Reptomancer,10.0
Slavers,10.0
Snake Plant,10.0
Cultist,10.0
3 Darklings,10.0
Jaw Worm Horde,10.0
Shell Parasite,10.0
Giant Head,10.0
Shield and Spear,10.0
Spheric Guardian,10.0
Jaw Worm,10.0
Time Eater,10.0
Automaton,10.0
Exordium Thugs,9.0
4 Shapes,9.0
Writhing Mass,9.0
Red Slaver,9.0
2 Fungi Beasts,9.0
3 Sentries,9.0
Lagavulin,9.0
Gremlin Leader,9.0
Shield and Spear,9.0
Jaw Worm,9.0
Champ,9.0
Collector,9.0
Reptomancer,9.0
Gremlin Leader,9.0
Slavers,9.0
Shield and Spear,9.0
Colosseum Slavers,9.0
Centurion and Healer,9.0
Gremlin Nob,9.0
3 Louse,9.0
Small Slimes,9.0
Lagavulin,9.0
Lagavulin,9.0
Gremlin Nob,8.0
Donu and Deca,8.0
Book of Stabbing,8.0
2 Louse,8.0
Small Slimes,8.0
Lots of Slimes,8.0
Cultist and Chosen,8.0
Gremlin Nob,8.0
Shell Parasite,8.0
Donu and Deca,8.0
Hexaghost,8.0
Slavers,8.0
Gremlin Nob,8.0
Gremlin Nob,8.0
Gremlin Nob,8.0
Large Slime,8.0
Jaw Worm,8.0
Book of Stabbing,8.0
Book of Stabbing,8.0
Masked Bandits,8.0
Centurion and Healer,8.0
Maw,8.0
Lots of Slimes,8.0
Automaton,8.0
Automaton,8.0
Gremlin Nob,8.0
Gremlin Nob,8.0
Gremlin Nob,8.0
Nemesis,8.0
Gremlin Leader,8.0
Slavers,8.0
3 Byrds,8.0
4 Shapes,8.0
Gremlin Gang,8.0
Spheric Guardian,8.0
2 Louse,8.0
Jaw Worm,8.0
2 Louse,8.0
Writhing Mass,8.0
Time Eater,8.0
Gremlin Leader,8.0
Gremlin Nob,8.0
Maw,7.0
Snake Plant,7.0
3 Sentries,7.0
Colosseum Nobs,7.0
Gremlin Leader,7.0
Shelled Parasite and Fungi,7.0
Slavers,7.0
Small Slimes,7.0
Cultist,7.0
3 Byrds,7.0
3 Sentries,7.0
3 Sentries,7.0
Small Slimes,7.0
The Guardian,7.0
Looter,7.0
Jaw Worm,7.0
Snake Plant,7.0
Cultist,7.0
3 Shapes,7.0
Centurion and Healer,7.0
3 Darklings,7.0
2 Thieves,7.0
Awakened One,7.0
Awakened One,7.0
Shield and Spear,7.0
Slavers,7.0
2 Louse,7.0
Jaw Worm,7.0
Transient,7.0
Shield and Spear,7.0
Automaton,7.0
3 Sentries,7.0
Sphere and 2 Shapes,6.0
Gremlin Leader,6.0
Masked Bandits,6.0
Donu and Deca,6.0
Shield and Spear,6.0
Automaton,6.0
Snake Plant,6.0
3 Sentries,6.0
Spheric Guardian,6.0
Book of Stabbing,6.0
Time Eater,6.0
Snecko,6.0
Book of Stabbing,6.0
Gremlin Nob,6.0
3 Louse,6.0
Blue Slaver,6.0
Time Eater,6.0
Nemesis,6.0
Slavers,6.0
Jaw Worm,6.0
3 Cultists,6.0
Gremlin Gang,6.0
Small Slimes,6.0
Shield and Spear,6.0
2 Fungi Beasts,6.0
Looter,6.0
Lots of Slimes,6.0
Cultist,6.0
Exordium Thugs,5.0
Shell Parasite,5.0
Cultist and Chosen,5.0
Orb Walker,5.0
Hexaghost,5.0
Jaw Worm,5.0
3 Sentries,5.0
Gremlin Nob,5.0
Hexaghost,5.0
4 Shapes,5.0
4 Shapes,5.0
Exordium Wildlife,5.0
3 Darklings,5.0
Jaw Worm,5.0
Giant Head,5.0
Blue Slaver,5.0
2 Louse,5.0
3 Darklings,5.0
Collector,5.0
3 Sentries,5.0
Exordium Thugs,5.0
3 Shapes,5.0
The Guardian,5.0
Book of Stabbing,5.0
3 Sentries,5.0
Looter,5.0
Awakened One,5.0
Snake Plant,5.0
Sentry and Sphere,5.0
Exordium Thugs,5.0
Large Slime,5.0
Chosen,5.0
Sentry and Sphere,5.0
3 Byrds,4.0
Blue Slaver,4.0
Shell Parasite,4.0
Book of Stabbing,4.0
Time Eater,4.0
Transient,4.0
Automaton,4.0
Centurion and Healer,4.0
Jaw Worm,4.0
Looter,4.0
2 Louse,4.0
Jaw Worm Horde,4.0
Large Slime,4.0
3 Sentries,4.0
4 Shapes,4.0
Blue Slaver,4.0
3 Darklings,4.0
Nemesis,4.0
Jaw Worm,4.0
Small Slimes,4.0
3 Sentries,4.0
Jaw Worm,4.0
