Relic,Win
Ring of the Snake,True
ClockworkSouvenir,True
Anchor,True
StoneCalendar,True
Pantograph,True
WarpedTongs,True
Bag of Marbles,True
Black Star,True
MutagenicStrength,True
Omamori,True
CeramicFish,True
Singing Bowl,True
Orichalcum,True
Ice Cream,True
Tough Bandages,True
StrikeDummy,True
Pen Nib,True
SacredBark,True
Mango,True
HornCleat,True
MealTicket,True
Ancient Tea Set,True
Juzu Bracelet,True
Tingsha,True
Bird Faced Urn,True
Orrery,True
Strawberry,True
White Beast Statue,True
Ginger,True
Ring of the Snake,True
Tough Bandages,True
Gremlin Horn,True
Lantern,True
Mercury Hourglass,True
Ninja Scroll,True
Pandora's Box,True
Centennial Puzzle,True
Tiny Chest,True
Molten Egg 2,True
Orichalcum,True
Pen Nib,True
Kunai,True
Astrolabe,True
Mark of the Bloom,True
Question Card,True
Pear,True
Medical Kit,True
Toy Ornithopter,True
Snake Skull,True
Ring of the Serpent,True
Lizard Tail,True
Eternal Feather,True
Toy Ornithopter,True
Bronze Scales,True
Mummified Hand,True
Black Star,True
Centennial Puzzle,True
Darkstone Periapt,True
Molten Egg 2,True
Gremlin Horn,True
Snake Skull,True
MawBank,True
Nunchaku,True
Bottled Lightning,True
Toolbox,True
Ancient Tea Set,True
White Beast Statue,True
Turnip,True
Omamori,True
Smiling Mask,True
Gambling Chip,True
Happy Flower,True
Mercury Hourglass,True
Ring of the Snake,True
Frozen Egg 2,True
Happy Flower,True
Coffee Dripper,True
Orrery,True
Bag of Marbles,True
MealTicket,True
Omamori,True
PreservedInsect,True
Potion Belt,True
SlaversCollar,True
Toolbox,True
Bottled Tornado,True
Anchor,True
FossilizedHelix,True
Ring of the Snake,False
PreservedInsect,False
Du-Vu Doll,False
Old Coin,False
Calipers,False
Incense Burner,False
Ring of the Snake,True
Peace Pipe,True
Ninja Scroll,True
ClockworkSouvenir,True
Vajra,True
Pandora's Box,True
HornCleat,True
Prayer Wheel,True
Runic Pyramid,True
TwistedFunnel,True
Red Mask,True
Lizard Tail,True
Akabeko,True
Molten Egg 2,True
Lantern,True
Ornamental Fan,True
Ring of the Snake,False
NeowsBlessing,False
Lantern,False
Blood Vial,False
Paper Crane,False
Omamori,False
SlaversCollar,False
StrikeDummy,False
Red Mask,False
Bottled Lightning,False
Ring of the Snake,False
Calipers,False
Meat on the Bone,False
Ring of the Snake,False
MawBank,False
Nunchaku,False
Snake Skull,False
Paper Crane,False
Fusion Hammer,False
Necronomicon,False
Akabeko,False
Art of War,False
War Paint,False
Toxic Egg 2,False
Ring of the Snake,False
OrangePellets,False
InkBottle,False
Omamori,False
Matryoshka,False
Girya,False
Ectoplasm,False
Red Mask,False
Ring of the Snake,False
Bag of Marbles,False
Happy Flower,False
MealTicket,False
Centennial Puzzle,False
Black Star,False
PreservedInsect,False
MutagenicStrength,False
Orichalcum,False
Oddly Smooth Stone,False
Sundial,False
Regal Pillow,False
Question Card,False
Anchor,False
Paper Crane,False
Snake Skull,False
Runic Pyramid,False
Strawberry,False
War Paint,False
Eternal Feather,False
Molten Egg 2,False
Blue Candle,False
Whetstone,False
HornCleat,False
Letter Opener,False
Membership Card,False
Bronze Scales,False
Akabeko,False
Art of War,False
Ring of the Snake,False
Orichalcum,False
Pear,False
Frozen Egg 2,False
Singing Bowl,False
Runic Pyramid,False
Happy Flower,False
Ring of the Snake,False
Golden Idol,False
Shuriken,False
Bag of Preparation,False
Pandora's Box,False
Bottled Flame,False
Lantern,False
WingedGreaves,False
Toy Ornithopter,False
Happy Flower,False
Cursed Key,False
Bronze Scales,False
Ring of the Snake,True
Du-Vu Doll,True
Blood Vial,True
War Paint,True
Sundial,True
Runic Pyramid,True
Kunai,True
Pocketwatch,True
Boot,True
MealTicket,True
