Card,Count
Defend_P,48
Strike_P,44
Strike_R,37
Strike_B,30
Strike_G,28
Zap,14
Defend_B,9
Normality,8
Defend_G,7
Pain,7
Regret,7
Writhe,6
Doubt,6
Bite,4
Decay,4
ReachHeaven,4
Bash,4
Reprogram,2
CarveReality,2
ThirdEye,2
Glass Knife,2
PathToVictory,2
Anger,2
Shame,2
FollowUp,2
Claw,1
Whirlwind,1
Clash,1
EmptyFist,1
WheelKick,1
Worship,1
Dash,1
Masterful Stab,1
Dagger Spray,1
All Out Attack,1
Blade Dance,1
Infinite Blades,1
Conclude,1
FlyingSleeves,1
Rampage,1
Skewer,1
ConjureBlade,1
Brilliance,1
Defend_R,1
Pray,1
Perseverance,1
Protect,1
Injury,1
Alpha,1
Barrage,1
