Card,Win
Ghostly Armor,False
Pommel Strike,False
Strike_R,False
Defend_R,False
Shrug It Off,False
Madness,False
Bash,False
Anger,False
Power Through,False
Offering,False
Uppercut,False
Pommel Strike,False
Strike_R,False
Defend_R,False
Blood for Blood,False
Evolve,False
Burning Pact,False
Anger,False
Shrug It Off,False
True Grit,False
Bash,False
Inflame,False
Power Through,False
Seeing Red,False
Wireheading,False
LessonLearned,False
Establishment,False
Strike_P,False
Adaptation,False
Meditate,False
WaveOfTheHand,False
Tantrum,False
Eruption,False
Vault,False
CutThroughFate,False
Defend_P,False
FearNoEvil,False
InnerPeace,False
EmptyMind,False
Wallop,False
Scrawl,False
TalkToTheHand,False
Vigilance,False
Defend_G,False
Dodge and Roll,False
Sucker Punch,False
Trip,False
Calculated Gamble,False
Well Laid Plans,False
Noxious Fumes,False
Survivor,False
Dagger Throw,False
Neutralize,False
Strike_G,False
Terror,True
Prepared,True
Sucker Punch,True
Wraith Form,True
Survivor,True
Alchemize,True
Defend_G,True
Phantasmal Killer,True
After Image,True
Dagger Throw,True
Blade Dance,True
Acrobatics,True
Accuracy,True
Backflip,True
Underhanded Strike,True
Leg Sweep,True
Well Laid Plans,True
Dash,True
Adrenaline,True
PiercingWail,True
Corpse Explosion,True
Neutralize,True
Strike_G,True
Dagger Spray,False
Noxious Fumes,False
Survivor,False
Alchemize,False
Defend_G,False
Footwork,False
Neutralize,False
Tools of the Trade,False
Blade Dance,False
Quick Slash,False
Acrobatics,False
Tactician,False
Dodge and Roll,False
Backflip,False
Accuracy,False
Catalyst,False
Well Laid Plans,False
PiercingWail,False
Outmaneuver,False
Strike_G,False
Doom and Gloom,True
Conserve Battery,True
Fission,True
Fusion,True
Defend_B,True
Defragment,True
Recycle,True
Dark Shackles,True
Dualcast,True
Seek,True
Compile Driver,True
Redo,True
Hologram,True
Coolheaded,True
Fasting2,False
Tantrum,False
DeceiveReality,False
Meditate,False
Wallop,False
Protect,False
Eruption,False
LessonLearned,False
DeusExMachina,False
Study,False
Adaptation,False
EmptyFist,False
JustLucky,False
Vigilance,False
Defend_G,False
Acrobatics,False
Bullet Time,False
Bite,False
Backflip,False
Underhanded Strike,False
Sucker Punch,False
Backstab,False
Corpse Explosion,False
Crippling Poison,False
Well Laid Plans,False
Survivor,False
Slice,False
Deadly Poison,False
Poisoned Stab,False
Neutralize,False
Blade Dance,False
CutThroughFate,True
EmptyMind,True
Eruption,True
Study,True
Adaptation,True
Fasting2,True
ClearTheMind,True
MentalFortress,True
FearNoEvil,True
Vigilance,True
Terror,True
Wraith Form,True
Dagger Spray,True
Blur,True
Skewer,True
Noxious Fumes,True
Survivor,True
Alchemize,True
Concentrate,True
Defend_G,True
Predator,True
Footwork,True
Crippling Poison,True
Apotheosis,True
Blade Dance,True
Acrobatics,True
Backflip,True
Leg Sweep,True
Well Laid Plans,True
Night Terror,True
Deflect,True
Flash of Steel,True
PiercingWail,True
Master of Strategy,True
Neutralize,True
Strike_G,True
Conserve Battery,True
Fission,True
Cold Snap,True
Capacitor,True
Dualcast,True
Steam,True
Skim,True
Self Repair,True
Redo,True
Hologram,True
Blind,True
Static Discharge,True
Meteor Strike,True
Sweeping Beam,True
Aggregate,True
Hello World,True
Apotheosis,True
Coolheaded,True
Defend_B,True
Echo Form,True
PanicButton,True
