Enemy,Damage Taken
The Heart,151.0
The Heart,143.0
The Heart,137.0
Transient,127.0
The Heart,126.0
The Heart,117.0
The Heart,112.0
The Heart,112.0
The Heart,110.0
The Heart,109.0
The Heart,106.0
The Heart,97.0
Time Eater,96.0
Masked Bandits,95.0
The Heart,95.0
The Heart,93.0
Champ,92.0
Awakened One,91.0
Awakened One,90.0
Gremlin Leader,90.0
Automaton,90.0
Donu and Deca,89.0
The Heart,87.0
Collector,86.0
The Heart,84.0
The Heart,83.0
The Heart,80.0
Shield and Spear,78.0
Book of Stabbing,78.0
Time Eater,77.0
Time Eater,77.0
The Heart,75.0
The Heart,75.0
The Heart,75.0
Champ,74.0
Reptomancer,73.0
The Guardian,73.0
Champ,73.0
The Heart,72.0
Time Eater,72.0
Giant Head,71.0
Automaton,71.0
The Heart,70.0
3 Shapes,69.0
The Heart,68.0
The Heart,67.0
Shield and Spear,66.0
Reptomancer,66.0
Time Eater,65.0
Time Eater,64.0
Book of Stabbing,64.0
The Heart,63.0
Awakened One,63.0
The Heart,63.0
The Guardian,63.0
Giant Head,63.0
Gremlin Leader,63.0
Donu and Deca,62.0
Awakened One,62.0
Gremlin Leader,62.0
Shield and Spear,62.0
Collector,62.0
The Heart,61.0
Collector,61.0
The Heart,61.0
3 Sentries,61.0
The Heart,61.0
Automaton,61.0
Shield and Spear,60.0
The Heart,60.0
Reptomancer,59.0
Hexaghost,59.0
2 Orb Walkers,59.0
2 Orb Walkers,59.0
Slavers,58.0
Collector,58.0
Reptomancer,58.0
Awakened One,58.0
Time Eater,58.0
Time Eater,57.0
Shield and Spear,57.0
3 Shapes,57.0
Gremlin Leader,57.0
Book of Stabbing,57.0
Collector,57.0
3 Darklings,56.0
Time Eater,56.0
The Heart,56.0
Nemesis,56.0
Champ,55.0
The Heart,55.0
Lagavulin,55.0
Reptomancer,55.0
Giant Head,55.0
The Heart,55.0
Giant Head,54.0
Shield and Spear,54.0
3 Sentries,54.0
The Heart,54.0
Book of Stabbing,54.0
Gremlin Leader,54.0
Shield and Spear,53.0
The Guardian,53.0
Hexaghost,53.0
The Heart,53.0
Hexaghost,53.0
Reptomancer,52.0
Gremlin Leader,52.0
Spire Growth,51.0
Time Eater,51.0
Reptomancer,51.0
The Heart,51.0
Time Eater,50.0
The Heart,50.0
Reptomancer,50.0
Book of Stabbing,50.0
Gremlin Gang,50.0
Book of Stabbing,50.0
Automaton,50.0
Slavers,50.0
Writhing Mass,49.0
Donu and Deca,49.0
Donu and Deca,49.0
Champ,49.0
Donu and Deca,49.0
Reptomancer,48.0
Time Eater,48.0
Slavers,48.0
Shield and Spear,48.0
Gremlin Nob,48.0
Slavers,48.0
Spire Growth,48.0
Donu and Deca,48.0
Nemesis,48.0
Champ,48.0
Champ,47.0
Slavers,47.0
Book of Stabbing,47.0
Gremlin Nob,47.0
Time Eater,47.0
Slavers,46.0
4 Shapes,46.0
Gremlin Nob,46.0
Time Eater,46.0
Snecko,46.0
