Relic,Win
Burning Blood,False
Kunai,False
MawBank,False
Oddly Smooth Stone,False
Burning Blood,False
ClockworkSouvenir,False
Anchor,False
Blue Candle,False
Singing Bowl,False
War Paint,False
Cursed Key,False
CaptainsWheel,False
PureWater,False
Golden Idol,False
Art of War,False
StrikeDummy,False
Potion Belt,False
Fusion Hammer,False
Prayer Wheel,False
Medical Kit,False
FossilizedHelix,False
Anchor,False
Molten Egg 2,False
SlaversCollar,False
Boot,False
Gambling Chip,False
Membership Card,False
Smiling Mask,False
Busted Crown,False
Golden Idol,False
Bronze Scales,False
Bottled Flame,False
Dream Catcher,False
Fusion Hammer,False
Frozen Eye,False
Coffee Dripper,True
Potion Belt,True
Lizard Tail,True
CeramicFish,True
Black Star,True
ClockworkSouvenir,True
Ancient Tea Set,True
Art of War,True
Oddly Smooth Stone,True
Pen Nib,True
MealTicket,True
Ornamental Fan,True
Toxic Egg 2,True
Fusion Hammer,True
Dream Catcher,True
Question Card,True
Calipers,True
Happy Flower,True
Unceasing Top,True
Toy Ornithopter,True
Vajra,True
The Courier,True
Paper Crane,True
Anchor,True
White Beast Statue,True
Mummified Hand,True
Ring of the Snake,False
Dream Catcher,False
Nunchaku,False
Art of War,False
Lee's Waffle,False
Pen Nib,False
Akabeko,False
SacredBark,False
Mercury Hourglass,False
Smiling Mask,False
Bag of Preparation,False
Membership Card,False
Singing Bowl,False
Coffee Dripper,False
Cracked Core,True
Frozen Eye,True
Happy Flower,True
Sundial,True
Lantern,True
Gambling Chip,True
Empty Cage,True
Regal Pillow,True
Enchiridion,True
Ornamental Fan,True
Runic Pyramid,True
Eternal Feather,True
MealTicket,True
Boot,True
Strawberry,True
PureWater,False
Happy Flower,False
Pear,False
Pantograph,False
MawBank,False
Pandora's Box,False
Orrery,False
Ring of the Snake,False
Tiny Chest,False
ClockworkSouvenir,False
Bag of Marbles,False
Boot,False
Fusion Hammer,False
Frozen Eye,False
Dream Catcher,False
Vajra,False
Regal Pillow,False
Bag of Preparation,False
Anchor,False
Strawberry,False
PureWater,True
Juzu Bracelet,True
Peace Pipe,True
Gremlin Horn,True
Shovel,True
Golden Idol,True
Yang,True
Whetstone,True
SlaversCollar,True
HornCleat,True
TeardropLocket,True
Red Mask,True
Pear,True
VioletLotus,True
Thread and Needle,True
Omamori,True
Potion Belt,True
ClockworkSouvenir,True
Anchor,True
Ring of the Snake,True
Akabeko,True
Du-Vu Doll,True
Centennial Puzzle,True
StrikeDummy,True
Nunchaku,True
Philosopher's Stone,True
Bag of Preparation,True
Lantern,True
Dead Branch,True
OrangePellets,True
Happy Flower,True
War Paint,True
SlaversCollar,True
Oddly Smooth Stone,True
Omamori,True
Whetstone,True
Cracked Core,True
Unceasing Top,True
MawBank,True
Toy Ornithopter,True
Akabeko,True
Bag of Preparation,True
Nuclear Battery,True
Nilry's Codex,True
Membership Card,True
Juzu Bracelet,True
Gambling Chip,True
CeramicFish,True
Turnip,True
Fusion Hammer,True
Art of War,True
Potion Belt,True
Frozen Egg 2,True
Pocketwatch,True
Centennial Puzzle,True
Toolbox,True
Dead Branch,True
Tiny House,True
Vajra,True
Mango,True
PreservedInsect,True
Nuclear Battery,True
Art of War,True
Turnip,True
Pear,True
CaptainsWheel,True
SacredBark,True
Orrery,True
Whetstone,True
Ancient Tea Set,True
Bag of Preparation,True
Frozen Eye,True
War Paint,True
PureWater,False
Golden Idol,False
Shovel,False
Letter Opener,False
Burning Blood,False
Membership Card,False
CeramicFish,False
Molten Egg 2,False
Shuriken,False
Bottled Lightning,False
Cracked Core,True
Dead Branch,True
Toy Ornithopter,True
Lizard Tail,True
Toxic Egg 2,True
Nuclear Battery,True
Red Mask,True
TungstenRod,True
Gremlin Horn,True
CeramicFish,True
Coffee Dripper,True
Old Coin,True
DollysMirror,True
Oddly Smooth Stone,True
Blue Candle,True
Happy Flower,True
Shuriken,True
Burning Blood,True
Calipers,True
Vajra,True
Nunchaku,True
Toxic Egg 2,True
Letter Opener,True
Coffee Dripper,True
MealTicket,True
PreservedInsect,True
InkBottle,True
Fusion Hammer,True
DollysMirror,True
Happy Flower,True
Potion Belt,True
Omamori,True
The Courier,True
Lizard Tail,True
Pen Nib,True
Orrery,True
Unceasing Top,True
Cracked Core,True
HornCleat,True
MawBank,True
SlaversCollar,True
Lizard Tail,True
CeramicFish,True
Ornamental Fan,True
Bird Faced Urn,True
The Courier,True
Sundial,True
Nuclear Battery,True
Toolbox,True
Art of War,True
Membership Card,True
Centennial Puzzle,True
DataDisk,True
FossilizedHelix,True
Dead Branch,True
Medical Kit,True
Gambling Chip,True
War Paint,True
Bag of Preparation,True
Mummified Hand,True
Orrery,True
Kunai,True
HolyWater,False
Odd Mushroom,False
StrikeDummy,False
Pantograph,False
Membership Card,False
Lizard Tail,False
VioletLotus,False
Strawberry,False
The Courier,False
Ancient Tea Set,False
Prayer Wheel,False
CaptainsWheel,False
Vajra,False
Cracked Core,True
ClockworkSouvenir,True
Mercury Hourglass,True
Matryoshka,True
InkBottle,True
Nuclear Battery,True
Mummified Hand,True
Eternal Feather,True
Bag of Preparation,True
Bottled Flame,True
Molten Egg 2,True
Astrolabe,True
Pantograph,True
Happy Flower,True
Darkstone Periapt,True
Peace Pipe,True
Kunai,True
Bottled Lightning,True
Bag of Marbles,True
Ring of the Snake,False
Smiling Mask,False
Cracked Core,False
Golden Idol,False
Bag of Marbles,False
Velvet Choker,False
Toxic Egg 2,False
Orichalcum,False
HornCleat,False
Nuclear Battery,False
DollysMirror,False
Astrolabe,True
Akabeko,True
Omamori,True
Boot,True
Runic Pyramid,True
Bag of Preparation,True
Nilry's Codex,True
Meat on the Bone,True
Dream Catcher,True
Whetstone,True
White Beast Statue,True
Juzu Bracelet,True
Anchor,True
SlaversCollar,True
Lantern,True
Blood Vial,True
Incense Burner,True
Cracked Core,True
Pen Nib,True
Toy Ornithopter,True
Oddly Smooth Stone,True
Potion Belt,True
Juzu Bracelet,True
Anchor,True
Astrolabe,True
OrangePellets,True
Blood Vial,True
