Card,Floor,Picked,Act,Boss
Hello World,1,True,1,False
Genetic Algorithm,1,False,1,False
Tempest,1,False,1,False
SKIP,1,False,1,False
Ball Lightning,4,True,1,False
Sweeping Beam,4,False,1,False
Turbo,4,False,1,False
SKIP,4,False,1,False
Fission,6,True,1,False
Heatsinks,6,False,1,False
Rebound,6,False,1,False
SKIP,6,False,1,False
Coolheaded,8,True,1,False
Stack,8,False,1,False
Fusion,8,False,1,False
SKIP,8,False,1,False
Redo,14,True,1,False
Hello World,14,False,1,False
Beam Cell,14,False,1,False
SKIP,14,False,1,False
Seek,16,True,1,True
Fission,16,False,1,True
Rainbow,16,False,1,True
SKIP,16,False,1,True
Fusion,21,True,2,False
Coolheaded,21,False,2,False
Tempest,21,False,2,False
SKIP,21,False,2,False
SKIP,29,True,2,False
Steam,29,False,2,False
Conserve Battery,29,False,2,False
Scrape,29,False,2,False
SKIP,29,False,2,False
Defragment,31,True,2,False
Hologram,31,False,2,False
Loop,31,False,2,False
SKIP,31,False,2,False
Seek,33,True,2,True
Hyperbeam,33,False,2,True
Thunder Strike,33,False,2,True
SKIP,33,False,2,True
Hologram,35,True,3,False
Streamline,35,False,3,False
Doom and Gloom,35,False,3,False
SKIP,35,False,3,False
SKIP,36,True,3,False
Rebound,36,False,3,False
Fusion,36,False,3,False
Conserve Battery,36,False,3,False
SKIP,36,False,3,False
Hologram,38,True,3,False
Leap,38,False,3,False
Chaos,38,False,3,False
SKIP,38,False,3,False
SKIP,39,True,3,False
Stack,39,False,3,False
Turbo,39,False,3,False
Fission,39,False,3,False
SKIP,39,False,3,False
SKIP,42,True,3,False
Conserve Battery,42,False,3,False
Chaos,42,False,3,False
Stack,42,False,3,False
SKIP,42,False,3,False
Recycle,45,True,3,False
Compile Driver,45,False,3,False
Scrape,45,False,3,False
SKIP,45,False,3,False
SKIP,47,True,3,False
Stack,47,False,3,False
Ball Lightning,47,False,3,False
Fusion,47,False,3,False
SKIP,47,False,3,False
Compile Driver,48,True,3,False
Conserve Battery,48,False,3,False
Blizzard,48,False,3,False
SKIP,48,False,3,False
SKIP,55,True,4,False
Darkness,55,False,4,False
Heatsinks,55,False,4,False
Chaos,55,False,4,False
SKIP,55,False,4,False
Apotheosis,0,True,1,False
Master of Strategy,0,False,1,False
Panache,0,False,1,False
SKIP,0,False,1,False
Coolheaded,1,True,1,False
Turbo,1,False,1,False
FTL,1,False,1,False
SKIP,1,False,1,False
Steam,2,True,1,False
Loop,2,False,1,False
Recycle,2,False,1,False
SKIP,2,False,1,False
Darkness,3,True,1,False
Hello World,3,False,1,False
Compile Driver,3,False,1,False
SKIP,3,False,1,False
Buffer,5,True,1,False
Go for the Eyes,5,False,1,False
Sweeping Beam,5,False,1,False
SKIP,5,False,1,False
Cold Snap,6,True,1,False
