Card,Win
Defend_B,True
Defragment,True
Seek,True
Fusion,True
Hologram,True
Compile Driver,True
Fission,True
Dualcast,True
Recycle,True
Redo,True
Coolheaded,True
Dark Shackles,True
Conserve Battery,True
Doom and Gloom,True
Defragment,True
Buffer,True
Rainbow,True
Blind,True
Coolheaded,True
Darkness,True
Self Repair,True
Sweeping Beam,True
Aggregate,True
Capacitor,True
Fission,True
Go for the Eyes,True
Dark Shackles,True
Skim,True
Conserve Battery,True
Defend_B,True
Master of Strategy,True
Meteor Strike,True
Dualcast,True
Redo,True
Cold Snap,True
Static Discharge,True
Hello World,True
Apotheosis,True
Hologram,True
Steam,True
Echo Form,True
PanicButton,True
Defragment,True
Rainbow,True
Consume,True
Coolheaded,True
Zap,True
Darkness,True
Self Repair,True
Amplify,True
FTL,True
Turbo,True
BootSequence,True
Capacitor,True
Chill,True
Glacier,True
Strike_B,True
Conserve Battery,True
Multi-Cast,True
Ball Lightning,True
Defend_B,True
Sunder,True
Compile Driver,True
Dualcast,True
Redo,True
Cold Snap,True
Machine Learning,True
RitualDagger,True
Hologram,True
Echo Form,True
Seek,True
Beam Cell,True
Defragment,True
Undo,True
Double Energy,True
Reboot,True
Genetic Algorithm,True
Recycle,True
Coolheaded,True
Zap,True
Self Repair,True
Amplify,True
FTL,True
Doom and Gloom,True
Aggregate,True
Capacitor,True
Madness,True
Glacier,True
Strike_B,True
Skim,True
Conserve Battery,True
Multi-Cast,True
Defend_B,True
Compile Driver,True
Discovery,True
Dualcast,True
Redo,True
Cold Snap,True
Heatsinks,True
Hologram,True
Panacea,True
Steam,True
Flash of Steel,True
Seek,True
PanicButton,True
Defragment,True
Undo,True
Steam Power,True
Double Energy,True
Buffer,True
Genetic Algorithm,True
Coolheaded,True
Zap,True
Doom and Gloom,True
Aggregate,True
Capacitor,True
BootSequence,True
Go for the Eyes,True
Glacier,True
Bite,True
Dark Shackles,True
Skim,True
Conserve Battery,True
Defend_B,True
Compile Driver,True
Dualcast,True
Lockon,True
Redo,True
Cold Snap,True
Electrodynamics,True
Loop,True
Echo Form,True
Seek,True
Undo,True
Consume,True
Blind,True
Zap,True
Darkness,True
Self Repair,True
Sweeping Beam,True
FTL,True
Aggregate,True
Biased Cognition,True
Capacitor,True
Chill,True
Go for the Eyes,True
Strike_B,True
Skim,True
Defend_B,True
Compile Driver,True
Dualcast,True
Lockon,True
Redo,True
Cold Snap,True
Machine Learning,True
Static Discharge,True
Heatsinks,True
