Enemy,Damage Taken
The Heart,117
The Heart,95
Masked Bandits,95
Champ,92
The Heart,87
Book of Stabbing,78
Reptomancer,73
Time Eater,72
Giant Head,71
Shield and Spear,66
Reptomancer,66
Giant Head,63
Gremlin Leader,62
The Heart,61
Shield and Spear,60
The Heart,60
Reptomancer,58
Shield and Spear,57
Time Eater,57
Book of Stabbing,57
The Heart,55
Gremlin Leader,54
The Heart,54
Shield and Spear,53
The Heart,53
The Heart,51
Slavers,50
The Heart,50
Donu and Deca,49
Champ,49
Shield and Spear,48
Slavers,48
Nemesis,48
Book of Stabbing,47
Book of Stabbing,45
Hexaghost,44
Awakened One,43
Shield and Spear,43
Nemesis,43
Time Eater,42
Nemesis,42
The Heart,42
Awakened One,42
Shield and Spear,41
Donu and Deca,41
Slime Boss,41
Book of Stabbing,41
Slavers,41
Slavers,41
Nemesis,41
Automaton,40
Hexaghost,40
The Heart,40
Gremlin Nob,40
Shelled Parasite and Fungi,39
Giant Head,39
Cultist and Chosen,38
Book of Stabbing,38
Gremlin Nob,38
Shell Parasite,38
Slime Boss,38
3 Darklings,38
Cultist and Chosen,37
2 Thieves,37
Slavers,37
Slavers,37
Gremlin Nob,37
Shield and Spear,37
Time Eater,37
3 Cultists,36
Centurion and Healer,36
Gremlin Nob,36
Giant Head,36
Automaton,36
Gremlin Nob,36
Book of Stabbing,36
3 Darklings,35
Donu and Deca,35
Reptomancer,35
Gremlin Nob,35
Slime Boss,34
Slime Boss,34
The Heart,34
Time Eater,33
Shield and Spear,33
Gremlin Nob,33
Book of Stabbing,33
3 Sentries,33
Gremlin Leader,33
3 Sentries,33
Gremlin Nob,33
Gremlin Nob,32
Book of Stabbing,32
Time Eater,32
The Heart,32
Shield and Spear,32
Gremlin Nob,32
The Heart,32
Gremlin Nob,32
Collector,32
Cultist and Chosen,32
Gremlin Leader,31
Gremlin Nob,31
Book of Stabbing,31
Giant Head,31
Centurion and Healer,31
The Heart,31
Hexaghost,30
Time Eater,30
Lagavulin,30
Gremlin Nob,30
Gremlin Leader,30
Hexaghost,30
3 Sentries,30
The Heart,30
Colosseum Slavers,29
Gremlin Nob,29
Awakened One,28
Nemesis,28
3 Sentries,28
Time Eater,28
Slime Boss,28
Slime Boss,28
Collector,28
3 Sentries,27
Snake Plant,27
2 Thieves,27
Collector,27
Gremlin Leader,26
Transient,26
Reptomancer,26
The Guardian,26
Gremlin Nob,26
Slavers,26
Transient,26
Slime Boss,26
The Guardian,26
Exordium Thugs,26
Gremlin Nob,26
Awakened One,25
Collector,25
Shield and Spear,25
Cultist and Chosen,25
2 Orb Walkers,25
Lagavulin,25
Shell Parasite,25
Jaw Worm Horde,25
The Heart,24
Donu and Deca,24
Gremlin Nob,24
Lots of Slimes,24
Gremlin Leader,24
Slime Boss,24
3 Sentries,24
Nemesis,24
Gremlin Nob,24
Snake Plant,24
3 Sentries,24
Hexaghost,23
Gremlin Nob,23
Book of Stabbing,23
Awakened One,23
Hexaghost,23
Slime Boss,23
Gremlin Nob,23
Shell Parasite,23
3 Sentries,23
Lagavulin,23
Writhing Mass,23
Gremlin Leader,23
Slavers,23
Book of Stabbing,23
Champ,22
Gremlin Leader,22
Chosen,22
Donu and Deca,22
Time Eater,22
Shell Parasite,21
Reptomancer,21
Transient,21
Hexaghost,21
2 Thieves,20
Slavers,20
Hexaghost,20
3 Byrds,20
3 Sentries,20
3 Sentries,20
Donu and Deca,20
Lagavulin,20
Shield and Spear,20
3 Sentries,20
Exordium Wildlife,20
Automaton,20
Spheric Guardian,19
2 Thieves,19
Gremlin Gang,19
Gremlin Nob,19
Reptomancer,19
Book of Stabbing,19
Time Eater,19
Shell Parasite,19
Transient,19
Masked Bandits,19
Time Eater,19
Shell Parasite,18
3 Byrds,18
2 Thieves,18
The Guardian,18
3 Shapes,18
Chosen and Byrds,18
3 Darklings,18
Shield and Spear,18
Reptomancer,18
The Heart,18
Hexaghost,18
Awakened One,18
Exordium Thugs,18
3 Sentries,18
Shield and Spear,18
Slavers,18
Lagavulin,18
Reptomancer,18
Centurion and Healer,18
Lagavulin Event,18
3 Byrds,18
The Guardian,18
Champ,18
Writhing Mass,18
Time Eater,18
The Heart,18
Awakened One,18
Transient,18
Slavers,18
Snecko,17
2 Thieves,17
Centurion and Healer,17
Lagavulin,17
Writhing Mass,17
Gremlin Nob,17
3 Darklings,17
Shelled Parasite and Fungi,17
Jaw Worm Horde,17
Shelled Parasite and Fungi,17
Shell Parasite,17
3 Sentries,17
Reptomancer,16
Gremlin Nob,16
Hexaghost,16
Exordium Thugs,16
The Heart,16
Slavers,16
Blue Slaver,16
Nemesis,16
The Guardian,16
Masked Bandits,16
Gremlin Nob,16
2 Thieves,16
Gremlin Nob,16
3 Sentries,16
Slime Boss,15
Giant Head,15
Slime Boss,15
Collector,15
Mind Bloom Boss Battle,15
Lagavulin,15
Sentry and Sphere,15
Collector,15
4 Shapes,15
Gremlin Leader,15
Lagavulin,15
Shell Parasite,15
3 Louse,14
Centurion and Healer,14
Gremlin Gang,14
Slavers,14
Gremlin Leader,14
Donu and Deca,14
3 Byrds,14
2 Thieves,14
3 Sentries,14
Snake Plant,14
Centurion and Healer,14
Gremlin Nob,14
Automaton,14
Slavers,14
3 Byrds,14
Snake Plant,14
Exordium Wildlife,14
Book of Stabbing,14
2 Thieves,13
Blue Slaver,13
Lagavulin,13
Maw,13
3 Cultists,13
Gremlin Leader,13
Donu and Deca,13
Exordium Thugs,13
Slime Boss,13
Time Eater,13
3 Sentries,13
Giant Head,13
Small Slimes,13
3 Darklings,13
Slavers,13
2 Thieves,13
4 Shapes,13
