Relic,Win
Cracked Core,True
Frozen Eye,True
Happy Flower,True
Sundial,True
Lantern,True
Gambling Chip,True
Empty Cage,True
Regal Pillow,True
Enchiridion,True
Ornamental Fan,True
Runic Pyramid,True
Eternal Feather,True
MealTicket,True
Boot,True
Strawberry,True
Cracked Core,True
Unceasing Top,True
MawBank,True
Toy Ornithopter,True
Akabeko,True
Bag of Preparation,True
Nuclear Battery,True
Nilry's Codex,True
Membership Card,True
Juzu Bracelet,True
Gambling Chip,True
CeramicFish,True
Turnip,True
Fusion Hammer,True
Art of War,True
Potion Belt,True
Frozen Egg 2,True
Pocketwatch,True
Centennial Puzzle,True
Toolbox,True
Dead Branch,True
Tiny House,True
Vajra,True
Mango,True
PreservedInsect,True
Nuclear Battery,True
Art of War,True
Turnip,True
Pear,True
CaptainsWheel,True
SacredBark,True
Orrery,True
Whetstone,True
Ancient Tea Set,True
Bag of Preparation,True
Frozen Eye,True
War Paint,True
Cracked Core,True
Dead Branch,True
Toy Ornithopter,True
Lizard Tail,True
Toxic Egg 2,True
Nuclear Battery,True
Red Mask,True
TungstenRod,True
Gremlin Horn,True
CeramicFish,True
Coffee Dripper,True
Old Coin,True
DollysMirror,True
Oddly Smooth Stone,True
Blue Candle,True
Happy Flower,True
Shuriken,True
Cracked Core,True
HornCleat,True
MawBank,True
SlaversCollar,True
Lizard Tail,True
CeramicFish,True
Ornamental Fan,True
Bird Faced Urn,True
The Courier,True
Sundial,True
Nuclear Battery,True
Toolbox,True
Art of War,True
Membership Card,True
Centennial Puzzle,True
DataDisk,True
FossilizedHelix,True
Dead Branch,True
Medical Kit,True
Gambling Chip,True
War Paint,True
Bag of Preparation,True
Mummified Hand,True
Orrery,True
Kunai,True
Cracked Core,True
ClockworkSouvenir,True
Mercury Hourglass,True
Matryoshka,True
InkBottle,True
Nuclear Battery,True
Mummified Hand,True
Eternal Feather,True
Bag of Preparation,True
Bottled Flame,True
Molten Egg 2,True
Astrolabe,True
Pantograph,True
Happy Flower,True
Darkstone Periapt,True
Peace Pipe,True
Kunai,True
Bottled Lightning,True
Bag of Marbles,True
Cracked Core,False
