Card,Win
Strike_R,False
Defend_R,False
Pommel Strike,False
Anger,False
Power Through,False
Ghostly Armor,False
Bash,False
Shrug It Off,False
Madness,False
Uppercut,False
Strike_R,False
Offering,False
Defend_R,False
Pommel Strike,False
Evolve,False
Anger,False
Seeing Red,False
Burning Pact,False
Power Through,False
Bash,False
True Grit,False
Shrug It Off,False
Blood for Blood,False
Inflame,False
Hemokinesis,False
Strike_R,False
Perfected Strike,False
Feed,False
Defend_R,False
Armaments,False
Clash,False
Iron Wave,False
Impervious,False
Bash,False
Shrug It Off,False
Exhume,False
Bloodletting,False
Flame Barrier,True
Corruption,True
Whirlwind,True
Bite,True
Defend_R,True
Burning Pact,True
Disarm,True
Shrug It Off,True
Exhume,True
Offering,True
Havoc,True
Discovery,True
Bash,True
Body Slam,True
Headbutt,True
Shockwave,True
Bloodletting,True
Carnage,True
Metallicize,True
Reaper,True
Pommel Strike,True
Entrench,True
Barricade,True
Iron Wave,True
True Grit,True
Dark Embrace,True
Dropkick,True
Feed,True
Defend_R,True
Burning Pact,True
Shrug It Off,True
Fire Breathing,True
Second Wind,True
Bash,True
Sentinel,True
Shockwave,True
Dual Wield,True
Bloodletting,True
Spot Weakness,True
Anger,True
Armaments,True
Power Through,True
Reaper,True
Entrench,True
Immolate,True
Intimidate,True
Finesse,True
Feel No Pain,True
Whirlwind,False
Warcry,False
Demon Form,False
Defend_R,False
Burning Pact,False
Disarm,False
Shrug It Off,False
Second Wind,False
Havoc,False
Impervious,False
PanicButton,False
Bash,False
Battle Trance,False
Shockwave,False
Headbutt,False
Bloodletting,False
Strike_R,False
Metallicize,False
Evolve,False
Anger,False
Power Through,False
Writhe,False
Pommel Strike,False
Intimidate,False
CurseOfTheBell,False
Feel No Pain,False
Iron Wave,False
Fiend Fire,False
Corruption,True
Dark Embrace,True
Feed,True
Defend_R,True
Apotheosis,True
Burning Pact,True
Shrug It Off,True
Exhume,True
Perfected Strike,True
Impervious,True
Bash,True
Headbutt,True
Shockwave,True
Brutality,True
Strike_R,True
Pummel,True
Spot Weakness,True
Anger,True
Evolve,True
Armaments,True
Cleave,True
Power Through,True
Reaper,True
Clothesline,True
Pommel Strike,True
Double Tap,True
Fiend Fire,True
Trip,False
Dark Embrace,False
Strike_R,False
Whirlwind,False
Offering,False
Shockwave,False
Defend_R,False
Feel No Pain,False
Anger,False
Blood for Blood,False
Bash,False
True Grit,False
Headbutt,False
Exhume,False
Inflame,False
Corruption,True
Warcry,True
Defend_R,True
Seeing Red,True
Burning Pact,True
Disarm,True
Shrug It Off,True
Second Wind,True
Offering,True
Havoc,True
Bash,True
Sentinel,True
Shockwave,True
Dual Wield,True
Bloodletting,True
Pummel,True
Flash of Steel,True
Reaper,True
Double Tap,True
Limit Break,True
Feel No Pain,True
Fiend Fire,True
True Grit,True
Dark Embrace,True
Defend_R,True
Apotheosis,True
Seeing Red,True
Burning Pact,True
Disarm,True
