Enemy,Damage Taken
The Heart,151.0
The Heart,143.0
The Heart,137.0
Transient,127.0
The Heart,126.0
The Heart,112.0
The Heart,106.0
The Heart,97.0
Time Eater,96.0
Awakened One,91.0
Awakened One,90.0
Gremlin Leader,90.0
Automaton,90.0
Donu and Deca,89.0
Collector,86.0
The Heart,84.0
The Heart,83.0
Shield and Spear,78.0
Time Eater,77.0
The Heart,75.0
Champ,74.0
The Guardian,73.0
The Heart,72.0
Automaton,71.0
The Heart,70.0
Time Eater,65.0
The Guardian,63.0
Awakened One,63.0
Gremlin Leader,63.0
Awakened One,62.0
Collector,62.0
Shield and Spear,62.0
Collector,61.0
3 Sentries,61.0
Automaton,61.0
The Heart,61.0
2 Orb Walkers,59.0
Reptomancer,59.0
2 Orb Walkers,59.0
Slavers,58.0
Collector,58.0
Time Eater,58.0
Gremlin Leader,57.0
3 Shapes,57.0
The Heart,56.0
Nemesis,56.0
Giant Head,55.0
Lagavulin,55.0
Book of Stabbing,54.0
Shield and Spear,54.0
The Guardian,53.0
Gremlin Leader,52.0
Reptomancer,52.0
Spire Growth,51.0
Reptomancer,51.0
Time Eater,51.0
Time Eater,50.0
Gremlin Gang,50.0
Donu and Deca,49.0
Writhing Mass,49.0
Donu and Deca,49.0
Donu and Deca,48.0
Spire Growth,48.0
Reptomancer,48.0
Time Eater,48.0
Champ,47.0
Gremlin Nob,47.0
Time Eater,46.0
Awakened One,46.0
Slavers,46.0
4 Shapes,46.0
Gremlin Nob,46.0
Shield and Spear,45.0
Shield and Spear,45.0
The Heart,45.0
Giant Head,45.0
Book of Stabbing,45.0
Time Eater,44.0
The Guardian,44.0
Transient,44.0
Hexaghost,44.0
3 Darklings,44.0
Giant Head,43.0
Book of Stabbing,42.0
Lagavulin,42.0
The Heart,42.0
Gremlin Nob,42.0
Spire Growth,42.0
Hexaghost,41.0
Large Slime,41.0
Champ,41.0
Cultist and Chosen,41.0
3 Cultists,40.0
Shield and Spear,40.0
The Heart,40.0
Writhing Mass,40.0
Slavers,40.0
Lagavulin,40.0
Lagavulin,40.0
Lagavulin,39.0
Jaw Worm Horde,39.0
Donu and Deca,39.0
Gremlin Nob,39.0
Book of Stabbing,39.0
Jaw Worm Horde,38.0
Time Eater,38.0
Slime Boss,38.0
Awakened One,38.0
Lagavulin,38.0
Book of Stabbing,38.0
Shell Parasite,37.0
Hexaghost,37.0
Slavers,37.0
Time Eater,37.0
Hexaghost,37.0
Transient,37.0
Shell Parasite,36.0
Hexaghost,36.0
3 Sentries,36.0
Slavers,36.0
Lagavulin,36.0
Donu and Deca,36.0
Reptomancer,36.0
The Heart,36.0
Slavers,36.0
3 Sentries,35.0
Lagavulin,35.0
Awakened One,35.0
Hexaghost,35.0
Reptomancer,35.0
2 Thieves,35.0
Hexaghost,35.0
Awakened One,35.0
Gremlin Nob,35.0
3 Darklings,35.0
3 Darklings,34.0
Gremlin Leader,34.0
Gremlin Nob,34.0
Slime Boss,34.0
Gremlin Leader,34.0
