Relic,Win
Burning Blood,False
Kunai,False
MawBank,False
Oddly Smooth Stone,False
Burning Blood,False
ClockworkSouvenir,False
Anchor,False
Blue Candle,False
Singing Bowl,False
War Paint,False
Cursed Key,False
CaptainsWheel,False
Burning Blood,False
Membership Card,False
CeramicFish,False
Molten Egg 2,False
Shuriken,False
Bottled Lightning,False
Burning Blood,True
Calipers,True
Vajra,True
Nunchaku,True
Toxic Egg 2,True
Letter Opener,True
Coffee Dripper,True
MealTicket,True
PreservedInsect,True
InkBottle,True
Fusion Hammer,True
DollysMirror,True
Happy Flower,True
Potion Belt,True
Omamori,True
The Courier,True
Lizard Tail,True
Pen Nib,True
Orrery,True
Unceasing Top,True
Astrolabe,True
Akabeko,True
Omamori,True
Boot,True
Runic Pyramid,True
Bag of Preparation,True
Nilry's Codex,True
Meat on the Bone,True
Dream Catcher,True
Whetstone,True
White Beast Statue,True
Juzu Bracelet,True
Anchor,True
SlaversCollar,True
Lantern,True
Blood Vial,True
Incense Burner,True
Burning Blood,False
Question Card,False
Gremlin Horn,False
Blue Candle,False
Darkstone Periapt,False
Calling Bell,False
Strawberry,False
Shuriken,False
Du-Vu Doll,False
The Courier,False
Sundial,False
Mummified Hand,False
Potion Belt,False
Incense Burner,False
Coffee Dripper,False
Orrery,False
Toy Ornithopter,False
Centennial Puzzle,False
Omamori,False
Red Skull,False
TungstenRod,False
Lee's Waffle,False
Unceasing Top,False
Burning Blood,True
Anchor,True
Paper Frog,True
FossilizedHelix,True
Fusion Hammer,True
Dream Catcher,True
SlaversCollar,True
Mercury Hourglass,True
DollysMirror,True
InkBottle,True
Pear,True
TungstenRod,True
Burning Blood,False
Pocketwatch,False
Bag of Marbles,False
Oddly Smooth Stone,False
Black Star,False
Potion Belt,False
Orichalcum,False
Art of War,False
Burning Blood,True
HornCleat,True
Red Skull,True
Art of War,True
Whetstone,True
Empty Cage,True
Charon's Ashes,True
Frozen Eye,True
Oddly Smooth Stone,True
Toy Ornithopter,True
Bird Faced Urn,True
Dead Branch,True
SlaversCollar,True
Dream Catcher,True
Ice Cream,True
StoneCalendar,True
Lee's Waffle,True
Happy Flower,True
Burning Blood,True
FossilizedHelix,True
WarpedTongs,True
Question Card,True
Blue Candle,True
Shovel,True
Mummified Hand,True
Unceasing Top,True
Singing Bowl,True
Cursed Key,True
Pen Nib,True
MawBank,True
Bag of Preparation,True
Happy Flower,True
CeramicFish,True
War Paint,True
Coffee Dripper,True
Torii,True
Medical Kit,True
StrikeDummy,True
Turnip,True
Bottled Tornado,True
ClockworkSouvenir,True
Pantograph,True
Burning Blood,False
Bag of Preparation,False
Orichalcum,False
Gremlin Horn,False
Mummified Hand,False
Runic Pyramid,False
Unceasing Top,False
Happy Flower,False
Singing Bowl,False
Strawberry,False
Calling Bell,False
Ancient Tea Set,False
The Courier,False
Thread and Needle,False
Vajra,False
Bag of Marbles,False
Pantograph,False
Busted Crown,False
Orichalcum,False
Mercury Hourglass,False
TungstenRod,False
Pantograph,False
Coffee Dripper,False
Necronomicon,False
StoneCalendar,False
Eternal Feather,False
Self Forming Clay,False
Incense Burner,False
Frozen Egg 2,False
SacredBark,False
FossilizedHelix,False
Anchor,False
Letter Opener,False
Burning Blood,True
The Courier,True
Bird Faced Urn,True
White Beast Statue,True
Ancient Tea Set,True
Snecko Eye,True
Mercury Hourglass,True
Boot,True
Lantern,True
SlaversCollar,True
StoneCalendar,True
Membership Card,True
Toy Ornithopter,True
Bottled Lightning,True
Anchor,True
Strawberry,True
Nunchaku,True
Charon's Ashes,True
Bag of Marbles,True
Bag of Preparation,True
Mummified Hand,True
War Paint,True
Burning Blood,False
Dream Catcher,False
Strawberry,False
Ornamental Fan,False
Nunchaku,False
Mark of Pain,False
Bag of Preparation,False
Mango,False
Anchor,False
Burning Blood,True
Nunchaku,True
Pen Nib,True
Cursed Key,True
Toolbox,True
Blood Vial,True
Pantograph,True
Lantern,True
Fusion Hammer,True
Bottled Flame,True
StoneCalendar,True
Frozen Egg 2,True
ClockworkSouvenir,True
CeramicFish,True
Oddly Smooth Stone,True
Burning Blood,False
WarpedTongs,False
PreservedInsect,False
Oddly Smooth Stone,False
Burning Blood,False
Anchor,False
Molten Egg 2,False
Blue Candle,False
Snecko Eye,False
Gremlin Horn,False
Red Skull,False
Frozen Egg 2,False
Old Coin,False
Pear,False
SacredBark,False
HornCleat,False
Medical Kit,False
Burning Blood,True
Brimstone,True
Happy Flower,True
Ornamental Fan,True
Champion Belt,True
Golden Idol,True
Dead Branch,True
Velvet Choker,True
WingedGreaves,True
MawBank,True
Pantograph,True
Pen Nib,True
Cursed Key,True
Shuriken,True
InkBottle,True
Bottled Lightning,True
Orichalcum,True
Frozen Eye,True
Akabeko,True
Snecko Eye,True
Ice Cream,True
MawBank,True
Letter Opener,True
Mark of Pain,True
Toxic Egg 2,True
Sundial,True
Paper Frog,True
Meat on the Bone,True
Red Mask,True
Calipers,True
Coffee Dripper,True
Eternal Feather,True
Pen Nib,True
Omamori,True
MealTicket,True
Medical Kit,True
Lantern,True
Akabeko,True
Burning Blood,False
Meat on the Bone,False
Blood Vial,False
Golden Idol,False
Toy Ornithopter,False
Bag of Preparation,False
Eternal Feather,False
Burning Blood,False
Nunchaku,False
Happy Flower,False
Calipers,False
Pandora's Box,False
MutagenicStrength,False
Burning Blood,False
Singing Bowl,False
Lantern,False
Girya,False
Bag of Preparation,False
Turnip,False
Coffee Dripper,False
Toy Ornithopter,False
Omamori,False
Toolbox,False
CeramicFish,False
Champion Belt,False
Burning Blood,True
Regal Pillow,True
Membership Card,True
Happy Flower,True
Paper Frog,True
Centennial Puzzle,True
Snecko Eye,True
Toolbox,True
Oddly Smooth Stone,True
Bottled Lightning,True
Sundial,True
Enchiridion,True
Bird Faced Urn,True
Empty Cage,True
Bronze Scales,True
Molten Egg 2,True
Du-Vu Doll,True
Burning Blood,True
Smiling Mask,True
Self Forming Clay,True
CeramicFish,True
Mercury Hourglass,True
HornCleat,True
Runic Pyramid,True
Orrery,True
