Enemy,Damage Taken
The Heart,112.0
The Heart,109.0
Time Eater,77.0
The Heart,75.0
Champ,73.0
Book of Stabbing,64.0
The Heart,63.0
Donu and Deca,62.0
Awakened One,58.0
Collector,57.0
Giant Head,54.0
Hexaghost,53.0
Book of Stabbing,50.0
Reptomancer,50.0
Gremlin Nob,48.0
Champ,48.0
Slavers,48.0
2 Orb Walkers,46.0
The Heart,45.0
Spire Growth,45.0
Awakened One,44.0
Lagavulin,44.0
Snecko,44.0
The Heart,43.0
Reptomancer,42.0
Giant Head,42.0
Gremlin Leader,42.0
Automaton,42.0
Hexaghost,42.0
Gremlin Nob,41.0
Time Eater,41.0
The Heart,41.0
Lagavulin Event,40.0
The Guardian,39.0
Slime Boss,39.0
Slime Boss,38.0
3 Sentries,38.0
Giant Head,38.0
3 Sentries,38.0
Slime Boss,37.0
Slavers,36.0
Gremlin Leader,36.0
The Heart,36.0
Gremlin Gang,35.0
Slavers,35.0
Gremlin Leader,35.0
Shield and Spear,35.0
3 Sentries,35.0
3 Sentries,35.0
Giant Head,34.0
Slavers,34.0
Book of Stabbing,34.0
Gremlin Gang,34.0
Lagavulin,33.0
Time Eater,33.0
Collector,33.0
Champ,33.0
Slime Boss,33.0
Slime Boss,32.0
Shield and Spear,32.0
The Heart,32.0
Gremlin Nob,32.0
The Heart,32.0
Automaton,31.0
The Guardian,31.0
Gremlin Nob,31.0
Reptomancer,31.0
Nemesis,30.0
Hexaghost,30.0
Hexaghost,30.0
Gremlin Nob,30.0
The Guardian,30.0
Shield and Spear,30.0
Collector,29.0
Awakened One,29.0
Hexaghost,29.0
The Heart,29.0
Collector,28.0
Donu and Deca,28.0
Exordium Thugs,28.0
Reptomancer,28.0
Hexaghost,28.0
Writhing Mass,28.0
Slavers,28.0
3 Sentries,28.0
Champ,27.0
Awakened One,27.0
The Heart,27.0
3 Sentries,27.0
Chosen and Byrds,26.0
Slavers,26.0
3 Sentries,26.0
Donu and Deca,26.0
Gremlin Nob,26.0
Hexaghost,26.0
The Heart,25.0
Nemesis,25.0
Transient,25.0
Slime Boss,25.0
Lagavulin,24.0
Snake Plant,24.0
Gremlin Nob,24.0
Shell Parasite,24.0
Donu and Deca,24.0
Snake Plant,24.0
Shield and Spear,24.0
Reptomancer,24.0
Lagavulin,23.0
Cultist and Chosen,23.0
Transient,23.0
Chosen,23.0
3 Sentries,22.0
Shell Parasite,22.0
The Heart,22.0
Lagavulin,22.0
Cultist and Chosen,22.0
Lagavulin,22.0
Hexaghost,22.0
Large Slime,22.0
3 Sentries,22.0
3 Sentries,22.0
Snecko,22.0
Slavers,22.0
Lagavulin,22.0
Giant Head,21.0
Time Eater,21.0
Lagavulin,21.0
Slavers,21.0
3 Sentries,21.0
Slavers,21.0
Book of Stabbing,21.0
Maw,21.0
Nemesis,21.0
Lagavulin,21.0
The Heart,21.0
Reptomancer,21.0
Lagavulin,20.0
Champ,20.0
Exordium Thugs,20.0
Donu and Deca,20.0
The Guardian,20.0
3 Darklings,20.0
3 Sentries,20.0
2 Thieves,20.0
Slime Boss,20.0
Hexaghost,20.0
Slime Boss,20.0
Masked Bandits,20.0
3 Darklings,20.0
Lagavulin,19.0
Automaton,19.0
Shell Parasite,19.0
Cultist and Chosen,19.0
Book of Stabbing,19.0
Sphere and 2 Shapes,19.0
3 Sentries,19.0
2 Thieves,19.0
Time Eater,19.0
Hexaghost,19.0
3 Sentries,19.0
Exordium Thugs,18.0
Exordium Wildlife,18.0
Shelled Parasite and Fungi,18.0
3 Shapes,18.0
Slavers,18.0
Snecko,18.0
Exordium Thugs,18.0
Maw,18.0
Transient,18.0
Slavers,18.0
Time Eater,18.0
Sphere and 2 Shapes,18.0
Lagavulin,17.0
Lagavulin,17.0
Red Slaver,17.0
Gremlin Leader,17.0
Lagavulin,17.0
Gremlin Leader,17.0
Collector,17.0
Shield and Spear,17.0
3 Sentries,17.0
Sentry and Sphere,17.0
Shell Parasite,17.0
Lagavulin,17.0
The Guardian,17.0
2 Thieves,17.0
The Guardian,17.0
Chosen and Byrds,17.0
Slavers,17.0
Lagavulin,17.0
Time Eater,17.0
Collector,16.0
Gremlin Nob,16.0
Gremlin Nob,16.0
Lagavulin,16.0
3 Darklings,16.0
Gremlin Nob,16.0
3 Darklings,16.0
Shield and Spear,16.0
Shelled Parasite and Fungi,16.0
Nemesis,16.0
Slavers,16.0
Gremlin Nob,16.0
Chosen,16.0
Gremlin Nob,16.0
Jaw Worm Horde,15.0
Slavers,15.0
Lagavulin,15.0
Automaton,15.0
Snake Plant,15.0
Lagavulin,15.0
3 Sentries,15.0
4 Shapes,15.0
Book of Stabbing,15.0
Shell Parasite,15.0
3 Sentries,15.0
Awakened One,15.0
Gremlin Leader,15.0
Lagavulin,15.0
Large Slime,15.0
Awakened One,15.0
Hexaghost,15.0
Shell Parasite,14.0
The Guardian,14.0
Lagavulin,14.0
Writhing Mass,14.0
2 Orb Walkers,14.0
Gremlin Leader,14.0
Nemesis,14.0
Centurion and Healer,14.0
Donu and Deca,14.0
2 Thieves,14.0
Book of Stabbing,14.0
Reptomancer,14.0
The Guardian,13.0
Reptomancer,13.0
Giant Head,13.0
Cultist and Chosen,13.0
Nemesis,13.0
Shield and Spear,13.0
Book of Stabbing,13.0
Snake Plant,13.0
3 Sentries,13.0
Cultist,13.0
Reptomancer,12.0
Book of Stabbing,12.0
Writhing Mass,12.0
3 Sentries,12.0
Snecko,12.0
Slavers,12.0
Spheric Guardian,12.0
Giant Head,12.0
The Heart,12.0
Jaw Worm,12.0
Nemesis,12.0
Lagavulin,12.0
Snake Plant,12.0
Shell Parasite,12.0
Writhing Mass,12.0
3 Sentries,12.0
Awakened One,12.0
The Heart,12.0
Lagavulin,12.0
Gremlin Nob,12.0
Jaw Worm Horde,12.0
Small Slimes,12.0
Book of Stabbing,12.0
Reptomancer,11.0
Cultist and Chosen,11.0
Jaw Worm,11.0
Awakened One,11.0
Slavers,11.0
Donu and Deca,11.0
Reptomancer,11.0
Snecko,11.0
Large Slime,11.0
Maw,11.0
3 Cultists,11.0
Spheric Guardian,11.0
Slavers,11.0
Gremlin Nob,11.0
Masked Bandits,11.0
Lagavulin,11.0
Hexaghost,11.0
Shield and Spear,11.0
The Heart,11.0
Small Slimes,11.0
Looter,10.0
Gremlin Leader,10.0
Slavers,10.0
2 Thieves,10.0
Large Slime,10.0
Slavers,10.0
3 Darklings,10.0
Small Slimes,10.0
3 Sentries,10.0
Giant Head,10.0
Centurion and Healer,10.0
3 Sentries,10.0
Time Eater,10.0
2 Thieves,10.0
2 Thieves,10.0
Book of Stabbing,10.0
Lagavulin,10.0
3 Sentries,10.0
3 Sentries,10.0
3 Sentries,10.0
Transient,10.0
Shell Parasite,10.0
2 Thieves,9.0
Automaton,9.0
Snecko,9.0
2 Fungi Beasts,9.0
2 Thieves,9.0
Reptomancer,9.0
3 Sentries,9.0
Reptomancer,9.0
Lagavulin,9.0
Lagavulin,9.0
Giant Head,9.0
3 Darklings,9.0
2 Thieves,9.0
Hexaghost,9.0
Lots of Slimes,9.0
The Mushroom Lair,9.0
Blue Slaver,9.0
Snecko,9.0
Chosen and Byrds,9.0
Exordium Thugs,9.0
Gremlin Nob,9.0
Slavers,9.0
Small Slimes,9.0
Gremlin Leader,9.0
Exordium Wildlife,9.0
3 Shapes,9.0
Spheric Guardian,9.0
Collector,9.0
Chosen,9.0
Red Slaver,8.0
4 Shapes,8.0
Time Eater,8.0
Small Slimes,8.0
Snake Plant,8.0
Lagavulin,8.0
Awakened One,8.0
3 Cultists,8.0
Large Slime,8.0
The Heart,8.0
Book of Stabbing,8.0
Lagavulin,8.0
Jaw Worm Horde,8.0
Slime Boss,8.0
Shelled Parasite and Fungi,8.0
Blue Slaver,8.0
Lagavulin,7.0
3 Byrds,7.0
Lots of Slimes,7.0
Exordium Wildlife,7.0
Lagavulin,7.0
Small Slimes,7.0
Automaton,7.0
Gremlin Nob,7.0
Spire Growth,7.0
Chosen,7.0
3 Louse,7.0
2 Fungi Beasts,7.0
Sphere and 2 Shapes,7.0
3 Louse,7.0
Small Slimes,7.0
Jaw Worm,7.0
Small Slimes,7.0
Hexaghost,7.0
3 Sentries,7.0
Small Slimes,7.0
Small Slimes,7.0
The Guardian,7.0
Nemesis,7.0
Time Eater,7.0
Gremlin Leader,7.0
3 Byrds,7.0
Exordium Wildlife,7.0
Small Slimes,7.0
Lagavulin,7.0
Jaw Worm,7.0
2 Thieves,6.0
Slavers,6.0
Small Slimes,6.0
Shelled Parasite and Fungi,6.0
Shield and Spear,6.0
Slavers,6.0
Donu and Deca,6.0
Small Slimes,6.0
Chosen,6.0
Gremlin Nob,6.0
Lots of Slimes,6.0
Gremlin Nob,6.0
Looter,6.0
Blue Slaver,6.0
Lagavulin,6.0
Jaw Worm,6.0
Orb Walker,6.0
Gremlin Nob,6.0
Maw,6.0
Snake Plant,6.0
Looter,6.0
2 Thieves,6.0
Red Slaver,6.0
Spire Growth,6.0
Book of Stabbing,6.0
Large Slime,6.0
3 Byrds,6.0
Exordium Thugs,6.0
Looter,6.0
2 Louse,6.0
Reptomancer,6.0
Large Slime,6.0
Time Eater,6.0
Slavers,6.0
Book of Stabbing,6.0
Large Slime,6.0
Cultist,6.0
2 Thieves,6.0
Sentry and Sphere,5.0
Gremlin Leader,5.0
3 Louse,5.0
Snake Plant,5.0
Awakened One,5.0
Book of Stabbing,5.0
2 Louse,5.0
2 Orb Walkers,5.0
Centurion and Healer,5.0
3 Cultists,5.0
Centurion and Healer,5.0
Jaw Worm,5.0
Shelled Parasite and Fungi,5.0
Donu and Deca,5.0
Exordium Wildlife,5.0
Orb Walker,5.0
Book of Stabbing,5.0
Shield and Spear,5.0
Jaw Worm,5.0
2 Louse,5.0
2 Louse,5.0
3 Louse,5.0
Shelled Parasite and Fungi,5.0
Chosen,5.0
Gremlin Gang,5.0
Shield and Spear,5.0
Shelled Parasite and Fungi,5.0
Book of Stabbing,5.0
3 Sentries,5.0
Book of Stabbing,4.0
Orb Walker,4.0
Cultist,4.0
Jaw Worm,4.0
Champ,4.0
Book of Stabbing,4.0
3 Sentries,4.0
Blue Slaver,4.0
Transient,4.0
Hexaghost,4.0
The Heart,4.0
3 Byrds,4.0
Chosen,4.0
3 Sentries,4.0
Snecko,4.0
Champ,4.0
Masked Bandits,4.0
Exordium Wildlife,4.0
Book of Stabbing,4.0
Sentry and Sphere,4.0
Donu and Deca,4.0
Centurion and Healer,4.0
Chosen,4.0
Snake Plant,4.0
Giant Head,4.0
Nemesis,4.0
Book of Stabbing,4.0
Book of Stabbing,4.0
Chosen,4.0
Small Slimes,4.0
Exordium Thugs,4.0
2 Fungi Beasts,4.0
Snake Plant,4.0
Shield and Spear,4.0
Red Slaver,4.0
Exordium Wildlife,4.0
Snecko,4.0
Jaw Worm,4.0
Snecko,4.0
Exordium Wildlife,4.0
Gremlin Nob,4.0
Transient,4.0
Lots of Slimes,4.0
Exordium Thugs,3.0
Nemesis,3.0
Awakened One,3.0
2 Thieves,3.0
Maw,3.0
2 Thieves,3.0
Small Slimes,3.0
Masked Bandits,3.0
Exordium Wildlife,3.0
Giant Head,3.0
Shield and Spear,3.0
Looter,3.0
Jaw Worm,3.0
Hexaghost,3.0
Blue Slaver,3.0
Shelled Parasite and Fungi,3.0
Blue Slaver,3.0
Snake Plant,3.0
3 Darklings,3.0
Snake Plant,3.0
Cultist,3.0
Book of Stabbing,3.0
Gremlin Nob,3.0
Red Slaver,3.0
Gremlin Nob,3.0
Small Slimes,3.0
Gremlin Nob,3.0
Chosen,3.0
Blue Slaver,3.0
Champ,3.0
Colosseum Nobs,3.0
Shield and Spear,3.0
Gremlin Nob,3.0
Cultist,2.0
Lagavulin,2.0
Gremlin Nob,2.0
3 Sentries,2.0
Sphere and 2 Shapes,2.0
Giant Head,2.0
3 Shapes,2.0
Writhing Mass,2.0
Spire Growth,2.0
3 Byrds,2.0
2 Louse,2.0
3 Sentries,2.0
3 Byrds,2.0
3 Shapes,2.0
Gremlin Leader,2.0
4 Shapes,2.0
Jaw Worm,2.0
Spire Growth,2.0
Jaw Worm,2.0
Shield and Spear,2.0
Cultist,2.0
Spheric Guardian,2.0
Blue Slaver,2.0
Exordium Wildlife,2.0
Jaw Worm,2.0
3 Sentries,2.0
Jaw Worm,2.0
Small Slimes,2.0
Book of Stabbing,2.0
Small Slimes,2.0
Slavers,2.0
Giant Head,2.0
Chosen,2.0
Centurion and Healer,2.0
Jaw Worm,2.0
Jaw Worm,2.0
2 Louse,2.0
Slavers,2.0
Champ,2.0
Gremlin Leader,2.0
Sentry and Sphere,2.0
Jaw Worm,2.0
Small Slimes,2.0
Cultist,2.0
3 Louse,2.0
3 Sentries,2.0
Jaw Worm,2.0
Small Slimes,2.0
3 Darklings,2.0
Cultist,1.0
Blue Slaver,1.0
Exordium Thugs,1.0
Book of Stabbing,1.0
4 Shapes,1.0
Large Slime,1.0
Jaw Worm,1.0
Reptomancer,1.0
Book of Stabbing,1.0
Gremlin Leader,1.0
Cultist and Chosen,1.0
3 Shapes,1.0
Slavers,1.0
Cultist,1.0
Writhing Mass,1.0
3 Louse,1.0
Looter,1.0
Jaw Worm,1.0
Transient,1.0
Spheric Guardian,1.0
Small Slimes,1.0
Transient,1.0
The Mushroom Lair,1.0
3 Shapes,1.0
Jaw Worm,1.0
Cultist,1.0
2 Louse,1.0
Red Slaver,1.0
Cultist,1.0
Looter,1.0
Gremlin Leader,1.0
Jaw Worm,1.0
Small Slimes,1.0
Looter,1.0
3 Darklings,1.0
Small Slimes,1.0
Cultist,1.0
Centurion and Healer,1.0
2 Louse,1.0
Chosen and Byrds,1.0
Book of Stabbing,1.0
Looter,1.0
3 Byrds,1.0
Red Slaver,1.0
Transient,1.0
Chosen,1.0
Cultist,1.0
Red Slaver,1.0
Exordium Wildlife,1.0
3 Darklings,1.0
2 Louse,1.0
Sentry and Sphere,1.0
Exordium Thugs,1.0
3 Byrds,1.0
Small Slimes,1.0
Orb Walker,1.0
Gremlin Leader,1.0
Blue Slaver,1.0
Cultist,1.0
2 Fungi Beasts,1.0
