Relic,Win
Busted Crown,False
Golden Idol,False
Bronze Scales,False
Bottled Flame,False
Dream Catcher,False
Fusion Hammer,False
Frozen Eye,False
Coffee Dripper,True
Potion Belt,True
Lizard Tail,True
CeramicFish,True
Black Star,True
ClockworkSouvenir,True
Ancient Tea Set,True
Art of War,True
Oddly Smooth Stone,True
Pen Nib,True
MealTicket,True
Ornamental Fan,True
Toxic Egg 2,True
Fusion Hammer,True
Dream Catcher,True
Question Card,True
Calipers,True
Happy Flower,True
Unceasing Top,True
Toy Ornithopter,True
Vajra,True
The Courier,True
Paper Crane,True
Anchor,True
White Beast Statue,True
Mummified Hand,True
Ring of the Snake,False
Dream Catcher,False
Nunchaku,False
Art of War,False
Lee's Waffle,False
Pen Nib,False
Akabeko,False
SacredBark,False
Mercury Hourglass,False
Smiling Mask,False
Bag of Preparation,False
Membership Card,False
Singing Bowl,False
Coffee Dripper,False
Ring of the Snake,False
Tiny Chest,False
ClockworkSouvenir,False
Bag of Marbles,False
Boot,False
Fusion Hammer,False
Frozen Eye,False
Dream Catcher,False
Vajra,False
Regal Pillow,False
Bag of Preparation,False
Anchor,False
Strawberry,False
Ring of the Snake,True
Akabeko,True
Du-Vu Doll,True
Centennial Puzzle,True
StrikeDummy,True
Nunchaku,True
Philosopher's Stone,True
Bag of Preparation,True
Lantern,True
Dead Branch,True
OrangePellets,True
Happy Flower,True
War Paint,True
SlaversCollar,True
Oddly Smooth Stone,True
Omamori,True
Whetstone,True
Ring of the Snake,False
Smiling Mask,False
Ring of the Snake,True
Ancient Tea Set,True
TheAbacus,True
Nloth's Gift,True
MawBank,True
Red Mask,True
Blood Vial,True
Sozu,True
InkBottle,True
TungstenRod,True
Gremlin Horn,True
Membership Card,True
Smiling Mask,True
Thread and Needle,True
DollysMirror,True
Happy Flower,True
White Beast Statue,True
Ring of the Snake,False
Happy Flower,False
Regal Pillow,False
Bag of Marbles,False
Ring of the Snake,True
Ninja Scroll,True
Matryoshka,True
Toy Ornithopter,True
Coffee Dripper,True
Lantern,True
Enchiridion,True
Snake Skull,True
Turnip,True
Boot,True
Blood Vial,True
Calling Bell,True
MealTicket,True
Molten Egg 2,True
Dead Branch,True
Pocketwatch,True
Centennial Puzzle,True
Mango,True
Nunchaku,True
Toxic Egg 2,True
TwistedFunnel,True
Gremlin Horn,True
Ring of the Snake,True
Prayer Wheel,True
Potion Belt,True
Question Card,True
Bag of Preparation,True
HoveringKite,True
Bottled Lightning,True
Ancient Tea Set,True
Dead Branch,True
Orrery,True
Thread and Needle,True
Cursed Key,True
Juzu Bracelet,True
OrangePellets,True
Art of War,True
Ring of the Snake,False
Frozen Eye,False
Mercury Hourglass,False
Ninja Scroll,False
Darkstone Periapt,False
SlaversCollar,False
Bag of Marbles,False
Letter Opener,False
Strawberry,False
Bronze Scales,False
Coffee Dripper,False
ClockworkSouvenir,False
Question Card,False
Eternal Feather,False
Dream Catcher,False
Ring of the Snake,False
WarpedTongs,False
PreservedInsect,False
Oddly Smooth Stone,False
Darkstone Periapt,False
Ancient Tea Set,False
Ring of the Snake,False
Regal Pillow,False
Snake Skull,False
Bag of Preparation,False
Centennial Puzzle,False
Blue Candle,False
Runic Pyramid,False
TungstenRod,False
Sling,False
MealTicket,False
Turnip,False
Mummified Hand,False
Eternal Feather,False
Potion Belt,False
Cursed Key,False
Boot,False
Strawberry,False
Ring of the Snake,False
Lantern,False
Nunchaku,False
Du-Vu Doll,False
Strawberry,False
Runic Pyramid,False
Paper Crane,False
CaptainsWheel,False
TwistedFunnel,False
Empty Cage,False
Ginger,False
Bag of Preparation,False
Ninja Scroll,False
Ring of the Snake,False
Bag of Preparation,False
Fusion Hammer,False
Regal Pillow,False
Gremlin Horn,False
Red Mask,False
Runic Dome,False
Membership Card,False
Incense Burner,False
White Beast Statue,False
Ginger,False
Mummified Hand,False
Boot,False
Pocketwatch,False
Ring of the Snake,False
Odd Mushroom,False
ClockworkSouvenir,False
The Courier,False
Pear,False
SlaversCollar,False
Mango,False
White Beast Statue,False
Ring of the Snake,False
Golden Idol,False
Anchor,False
White Beast Statue,False
Bottled Flame,False
Dream Catcher,False
Runic Dome,False
Necronomicon,False
Snake Skull,False
Nunchaku,False
Ring of the Snake,False
Golden Idol,False
Bottled Lightning,False
Vajra,False
Strawberry,False
Blue Candle,False
Ring of the Snake,False
Golden Idol,False
Omamori,False
Mercury Hourglass,False
Darkstone Periapt,False
Ring of the Snake,True
Mummified Hand,True
Gremlin Horn,True
InkBottle,True
Calling Bell,True
Tiny Chest,True
Paper Crane,True
Old Coin,True
Red Mask,True
Lee's Waffle,True
Lizard Tail,True
Frozen Egg 2,True
SacredBark,True
Letter Opener,True
Incense Burner,True
Whetstone,True
Nunchaku,True
War Paint,True
Boot,True
OrangePellets,True
TwistedFunnel,True
Bronze Scales,True
Ring of the Snake,True
Bird Faced Urn,True
War Paint,True
Shuriken,True
Dead Branch,True
Membership Card,True
Potion Belt,True
Black Star,True
Sling,True
The Courier,True
Prayer Wheel,True
Ancient Tea Set,True
Anchor,True
Calipers,True
TungstenRod,True
Whetstone,True
DollysMirror,True
Fusion Hammer,True
ClockworkSouvenir,True
Ice Cream,True
Ornamental Fan,True
PreservedInsect,True
Gremlin Horn,True
Torii,True
Bag of Marbles,True
Chemical X,True
Strawberry,True
StrikeDummy,True
Snake Skull,True
Centennial Puzzle,True
Nunchaku,True
Medical Kit,True
Happy Flower,True
White Beast Statue,True
