Card,Win
Adaptation,False
Tantrum,False
Establishment,False
CutThroughFate,False
Wireheading,False
WaveOfTheHand,False
Defend_P,False
LessonLearned,False
TalkToTheHand,False
Vault,False
Strike_P,False
InnerPeace,False
Vigilance,False
Wallop,False
Meditate,False
FearNoEvil,False
EmptyMind,False
Eruption,False
Scrawl,False
Adaptation,False
Fasting2,False
Vigilance,False
DeusExMachina,False
Study,False
Tantrum,False
LessonLearned,False
JustLucky,False
DeceiveReality,False
EmptyFist,False
Eruption,False
Wallop,False
Protect,False
Meditate,False
Adaptation,True
Fasting2,True
MentalFortress,True
Vigilance,True
Study,True
FearNoEvil,True
EmptyMind,True
ClearTheMind,True
Eruption,True
CutThroughFate,True
Strike_P,False
Defend_P,False
FlurryOfBlows,False
Vigilance,False
MentalFortress,False
InnerPeace,False
ClearTheMind,False
Eruption,False
CutThroughFate,False
Wireheading,False
Adaptation,False
Defend_P,False
FlurryOfBlows,False
Vigilance,False
Tantrum,False
CutThroughFate,False
LessonLearned,False
Halt,False
EmptyMind,False
ClearTheMind,False
Eruption,False
Strike_P,False
Wireheading,False
Meditate,False
Adaptation,True
SpiritShield,True
Vigilance,True
InnerPeace,True
MentalFortress,True
Tantrum,True
EmptyMind,True
TalkToTheHand,True
Eruption,True
CutThroughFate,True
Adaptation,True
Defend_P,True
MentalFortress,True
Vigilance,True
InnerPeace,True
FlurryOfBlows,True
Tantrum,True
LessonLearned,True
EmptyMind,True
Eruption,True
CutThroughFate,True
Scrawl,True
Adaptation,False
Defend_P,False
Vigilance,False
Tantrum,False
CutThroughFate,False
EmptyMind,False
Consecrate,False
SandsOfTime,False
Eruption,False
Strike_P,False
Adaptation,True
Blasphemy,True
MentalFortress,True
Vigilance,True
Apparition,True
FlurryOfBlows,True
Tantrum,True
Study,True
EmptyBody,True
ThirdEye,True
HandOfGreed,True
BowlingBash,True
Vault,True
Eruption,True
CutThroughFate,True
WaveOfTheHand,True
Omniscience,True
Adaptation,True
Tantrum,True
Worship,True
CutThroughFate,True
Wireheading,True
Study,True
Vault,True
BattleHymn,True
InnerPeace,True
Vigilance,True
Halt,True
DeceiveReality,True
Meditate,True
Collect,True
CarveReality,True
MentalFortress,True
FlurryOfBlows,True
EmptyMind,True
Eruption,True
Scrawl,True
Adaptation,True
InnerPeace,True
Vigilance,True
Tantrum,True
CutThroughFate,True
DeusExMachina,True
Dark Shackles,True
FearNoEvil,True
EmptyMind,True
Consecrate,True
Halt,True
TalkToTheHand,True
Vault,True
Eruption,True
Strike_P,True
Defend_P,False
InnerPeace,False
Vigilance,False
CutThroughFate,False
FearNoEvil,False
Alpha,False
Consecrate,False
EmptyFist,False
Wallop,False
Eruption,False
Strike_P,False
Adaptation,True
InnerPeace,True
Vigilance,True
Tantrum,True
FollowUp,True
FearNoEvil,True
Halt,True
Sanctity,True
TalkToTheHand,True
BowlingBash,True
Eruption,True
Strike_P,True
Secret Technique,True
Scrawl,True
Weave,False
Vigilance,False
FlurryOfBlows,False
InnerPeace,False
Ragnarok,False
EmptyMind,False
ThirdEye,False
JustLucky,False
ClearTheMind,False
LessonLearned,False
Wallop,False
Eruption,False
Wish,False
CutThroughFate,False
Wireheading,False
Omniscience,False
Defend_P,False
InnerPeace,False
Vigilance,False
MentalFortress,False
FearNoEvil,False
EmptyMind,False
Consecrate,False
EmptyFist,False
Eruption,False
Strike_P,False
Adaptation,True
MentalFortress,True
Vigilance,True
FlurryOfBlows,True
CutThroughFate,True
WindmillStrike,True
FearNoEvil,True
ThirdEye,True
EmptyMind,True
Vault,True
Eruption,True
Strike_P,True
Wireheading,True
Finesse,True
Crescendo,True
Adaptation,False
Defend_P,False
FlurryOfBlows,False
Vigilance,False
MentalFortress,False
InnerPeace,False
EmptyMind,False
EmptyFist,False
Wallop,False
Bite,False
Eruption,False
Defend_P,False
FlurryOfBlows,False
Vigilance,False
Tantrum,False
InnerPeace,False
LessonLearned,False
Vengeance,False
DeceiveReality,False
TalkToTheHand,False
ClearTheMind,False
SandsOfTime,False
Eruption,False
Strike_P,False
Wireheading,False
Defend_P,False
Vigilance,False
ReachHeaven,False
Judgement,False
FearNoEvil,False
LessonLearned,False
WheelKick,False
HandOfGreed,False
ClearTheMind,False
BowlingBash,False
EmptyFist,False
Wallop,False
Eruption,False
Wish,False
CutThroughFate,False
Meditate,False
Adaptation,True
FlurryOfBlows,True
Vigilance,True
Tantrum,True
MentalFortress,True
Purity,True
Master of Strategy,True
LessonLearned,True
Halt,True
EmptyMind,True
TalkToTheHand,True
ClearTheMind,True
EmptyFist,True
Deep Breath,True
Eruption,True
CutThroughFate,True
Scrawl,True
FlurryOfBlows,True
Vigilance,True
MentalFortress,True
Study,True
ReachHeaven,True
CutThroughFate,True
Tantrum,True
FearNoEvil,True
EmptyMind,True
DeceiveReality,True
TalkToTheHand,True
EmptyFist,True
Vault,True
Eruption,True
Strike_P,True
Crescendo,True
Adaptation,True
Tantrum,True
Sanctity,True
EmptyFist,True
CutThroughFate,True
Wireheading,True
Defend_P,True
Study,True
LessonLearned,True
TalkToTheHand,True
Prostrate,True
Strike_P,True
SashWhip,True
Vigilance,True
EmptyBody,True
Pray,True
DeceiveReality,True
Wallop,True
CarveReality,True
FlurryOfBlows,True
MentalFortress,True
EmptyMind,True
ClearTheMind,True
Eruption,True
Enlightenment,True
Adaptation,False
Weave,False
Tantrum,False
ThirdEye,False
Sanctity,False
EmptyFist,False
CutThroughFate,False
Wireheading,False
Crescendo,False
MasterReality,False
Defend_P,False
Blasphemy,False
Strike_P,False
InnerPeace,False
Vigilance,False
Halt,False
DeceiveReality,False
Meditate,False
MentalFortress,False
EmptyMind,False
ClearTheMind,False
Eruption,False
Adaptation,True
MentalFortress,True
Vigilance,True
Tantrum,True
CutThroughFate,True
EmptyMind,True
Halt,True
Sanctity,True
DeceiveReality,True
ClearTheMind,True
EmptyFist,True
SandsOfTime,True
Parasite,True
Eruption,True
Strike_P,True
Wireheading,True
Crescendo,True
Scrawl,True
Judgement,True
FollowUp,True
Establishment,True
Vengeance,True
EmptyFist,True
CutThroughFate,True
Wireheading,True
Crescendo,True
WaveOfTheHand,True
LessonLearned,True
Swivel,True
InnerPeace,True
Vigilance,True
EmptyBody,True
Halt,True
JustLucky,True
DeceiveReality,True
Meditate,True
MentalFortress,True
FearNoEvil,True
WheelKick,True
Eruption,True
Scrawl,True
Defend_P,False
MentalFortress,False
Vigilance,False
Tantrum,False
CutThroughFate,False
Study,False
FearNoEvil,False
TalkToTheHand,False
EmptyFist,False
Wireheading,False
Eruption,False
Strike_P,False
Flash of Steel,False
Meditate,False
Strike_P,True
Adaptation,True
FlurryOfBlows,True
Vigilance,True
Study,True
Tantrum,True
InnerPeace,True
EmptyMind,True
TalkToTheHand,True
Eruption,True
