Enemy,Damage Taken
The Heart,110.0
The Heart,93.0
The Heart,80.0
The Heart,75.0
3 Shapes,69.0
The Heart,68.0
The Heart,67.0
Time Eater,64.0
The Heart,63.0
The Heart,61.0
Hexaghost,59.0
Time Eater,56.0
3 Darklings,56.0
The Heart,55.0
Champ,55.0
Reptomancer,55.0
3 Sentries,54.0
Hexaghost,53.0
Automaton,50.0
Book of Stabbing,50.0
Time Eater,47.0
Slavers,47.0
Snecko,46.0
Champ,44.0
The Heart,44.0
Hexaghost,43.0
Exordium Thugs,42.0
Slavers,41.0
The Heart,40.0
Lagavulin,40.0
Jaw Worm Horde,38.0
Time Eater,37.0
Slavers,37.0
Book of Stabbing,36.0
Time Eater,36.0
Gremlin Nob,36.0
Nemesis,36.0
Slime Boss,36.0
Time Eater,36.0
The Heart,35.0
Chosen,35.0
The Heart,35.0
3 Byrds,35.0
2 Orb Walkers,34.0
Shield and Spear,34.0
Gremlin Leader,34.0
Slavers,34.0
Shield and Spear,34.0
Slavers,34.0
Gremlin Nob,33.0
The Guardian,33.0
3 Sentries,32.0
3 Sentries,32.0
Slavers,31.0
Gremlin Nob,31.0
3 Sentries,31.0
Shelled Parasite and Fungi,31.0
Donu and Deca,30.0
Chosen and Byrds,30.0
The Guardian,30.0
Awakened One,29.0
Automaton,29.0
The Heart,29.0
Slavers,29.0
Shell Parasite,29.0
2 Thieves,28.0
3 Sentries,28.0
Shell Parasite,28.0
Nemesis,28.0
Awakened One,28.0
Donu and Deca,27.0
Snake Plant,27.0
Shelled Parasite and Fungi,27.0
Awakened One,27.0
Awakened One,26.0
Automaton,26.0
Shield and Spear,25.0
3 Sentries,25.0
3 Sentries,25.0
Snake Plant,25.0
3 Darklings,25.0
Shield and Spear,25.0
Collector,25.0
3 Sentries,25.0
2 Thieves,25.0
Shell Parasite,25.0
The Heart,24.0
Hexaghost,24.0
Donu and Deca,24.0
Book of Stabbing,24.0
2 Orb Walkers,24.0
Masked Bandits,23.0
2 Thieves,23.0
Book of Stabbing,23.0
Time Eater,23.0
Centurion and Healer,23.0
Champ,23.0
The Heart,22.0
Awakened One,22.0
Book of Stabbing,22.0
Lagavulin,22.0
2 Thieves,22.0
Lagavulin,22.0
Snake Plant,22.0
3 Byrds,22.0
Book of Stabbing,22.0
Lagavulin,22.0
Gremlin Nob,22.0
Reptomancer,22.0
Shelled Parasite and Fungi,21.0
3 Sentries,21.0
Donu and Deca,21.0
Slavers,21.0
Nemesis,21.0
3 Byrds,21.0
Chosen,21.0
The Guardian,21.0
Book of Stabbing,21.0
Time Eater,21.0
Donu and Deca,21.0
Small Slimes,20.0
Slavers,20.0
3 Sentries,20.0
Book of Stabbing,20.0
Small Slimes,20.0
Slavers,20.0
Centurion and Healer,20.0
Snake Plant,19.0
Shield and Spear,19.0
Small Slimes,19.0
Gremlin Leader,19.0
Gremlin Nob,18.0
Spire Growth,18.0
Snecko,18.0
The Guardian,18.0
Snake Plant,18.0
3 Sentries,18.0
Shield and Spear,18.0
Gremlin Leader,18.0
Lagavulin,18.0
Slime Boss,18.0
Slime Boss,18.0
Reptomancer,18.0
Gremlin Leader,18.0
Centurion and Healer,18.0
Hexaghost,17.0
Writhing Mass,17.0
3 Shapes,17.0
The Guardian,17.0
Lagavulin,17.0
Snake Plant,17.0
3 Louse,17.0
Red Slaver,17.0
Slavers,17.0
Lagavulin,17.0
Lagavulin,17.0
The Mushroom Lair,17.0
The Guardian,17.0
3 Byrds,16.0
Hexaghost,16.0
Gremlin Nob,16.0
Nemesis,16.0
Automaton,16.0
Gremlin Nob,16.0
Gremlin Nob,16.0
Gremlin Nob,16.0
Exordium Thugs,16.0
Lagavulin,16.0
Lots of Slimes,16.0
Shelled Parasite and Fungi,16.0
Reptomancer,16.0
Gremlin Nob,16.0
3 Sentries,16.0
2 Thieves,16.0
Slavers,16.0
Gremlin Nob,16.0
Snake Plant,16.0
4 Shapes,16.0
Gremlin Nob,16.0
Book of Stabbing,16.0
Shell Parasite,16.0
Gremlin Gang,15.0
Gremlin Leader,15.0
3 Sentries,15.0
Donu and Deca,15.0
3 Sentries,15.0
Shelled Parasite and Fungi,15.0
The Heart,15.0
Shell Parasite,15.0
3 Sentries,15.0
2 Orb Walkers,15.0
Lots of Slimes,15.0
Champ,14.0
Transient,14.0
Gremlin Nob,14.0
Transient,14.0
3 Louse,14.0
Giant Head,14.0
Nemesis,14.0
Shelled Parasite and Fungi,14.0
3 Darklings,14.0
Lagavulin,14.0
Hexaghost,14.0
Shield and Spear,14.0
3 Sentries,14.0
Spire Growth,14.0
3 Darklings,14.0
Spheric Guardian,14.0
Champ,14.0
2 Louse,14.0
Gremlin Gang,14.0
2 Louse,14.0
Slavers,14.0
Donu and Deca,14.0
Gremlin Nob,13.0
Shell Parasite,13.0
Shield and Spear,13.0
Slavers,13.0
Awakened One,13.0
2 Thieves,13.0
Slime Boss,13.0
3 Darklings,13.0
Automaton,13.0
Snecko,13.0
Exordium Wildlife,13.0
The Heart,13.0
The Mushroom Lair,13.0
Nemesis,13.0
Exordium Wildlife,12.0
3 Sentries,12.0
Time Eater,12.0
Giant Head,12.0
2 Fungi Beasts,12.0
Lots of Slimes,12.0
3 Byrds,12.0
Automaton,12.0
Shell Parasite,12.0
The Heart,12.0
3 Darklings,12.0
Lagavulin,12.0
Lagavulin,12.0
3 Sentries,12.0
Awakened One,12.0
Hexaghost,12.0
Chosen,12.0
Slavers,12.0
Spheric Guardian,12.0
Exordium Thugs,11.0
Sphere and 2 Shapes,11.0
Automaton,11.0
4 Shapes,11.0
Hexaghost,11.0
The Guardian,11.0
Centurion and Healer,11.0
Shell Parasite,11.0
Lagavulin,11.0
Chosen and Byrds,11.0
3 Byrds,11.0
Time Eater,11.0
Nemesis,11.0
3 Sentries,11.0
Automaton,11.0
Jaw Worm,11.0
Shield and Spear,11.0
Gremlin Leader,11.0
Awakened One,11.0
Gremlin Gang,10.0
3 Sentries,10.0
3 Sentries,10.0
Writhing Mass,10.0
Large Slime,10.0
Reptomancer,10.0
Snake Plant,10.0
Sentry and Sphere,10.0
Donu and Deca,10.0
Lagavulin,10.0
Gremlin Gang,10.0
3 Sentries,10.0
The Heart,10.0
Time Eater,10.0
Lagavulin,10.0
3 Sentries,10.0
Lagavulin,10.0
Book of Stabbing,10.0
Gremlin Nob,10.0
3 Louse,9.0
Book of Stabbing,9.0
Reptomancer,9.0
3 Louse,9.0
Slavers,9.0
Exordium Wildlife,9.0
Shell Parasite,9.0
Sphere and 2 Shapes,9.0
The Heart,9.0
Book of Stabbing,9.0
Centurion and Healer,9.0
Small Slimes,9.0
Chosen and Byrds,9.0
Gremlin Leader,9.0
2 Louse,9.0
Writhing Mass,9.0
Gremlin Nob,9.0
Centurion and Healer,9.0
3 Darklings,9.0
Snecko,9.0
Cultist and Chosen,9.0
Blue Slaver,8.0
Jaw Worm Horde,8.0
Transient,8.0
Snake Plant,8.0
Small Slimes,8.0
3 Darklings,8.0
Slavers,8.0
Snake Plant,8.0
Lagavulin,8.0
Shield and Spear,8.0
Writhing Mass,8.0
The Guardian,8.0
Exordium Wildlife,8.0
3 Byrds,8.0
Small Slimes,8.0
Cultist,8.0
Looter,8.0
Gremlin Nob,8.0
Snake Plant,8.0
Shell Parasite,8.0
Small Slimes,8.0
Cultist and Chosen,8.0
3 Sentries,8.0
Slavers,8.0
Centurion and Healer,8.0
3 Cultists,8.0
2 Louse,8.0
Snake Plant,7.0
Shield and Spear,7.0
Shield and Spear,7.0
Jaw Worm,7.0
Shelled Parasite and Fungi,7.0
Jaw Worm,7.0
3 Sentries,7.0
Jaw Worm,7.0
Donu and Deca,7.0
Gremlin Leader,7.0
Exordium Thugs,7.0
2 Louse,7.0
2 Thieves,7.0
Book of Stabbing,7.0
2 Fungi Beasts,7.0
Transient,7.0
3 Cultists,7.0
3 Sentries,7.0
3 Sentries,7.0
2 Fungi Beasts,7.0
3 Louse,7.0
Centurion and Healer,7.0
3 Darklings,7.0
Jaw Worm,7.0
Snecko,7.0
2 Fungi Beasts,7.0
Lagavulin,7.0
Slavers,7.0
2 Thieves,7.0
Jaw Worm,7.0
4 Shapes,7.0
3 Louse,7.0
Small Slimes,6.0
2 Louse,6.0
3 Louse,6.0
2 Louse,6.0
Awakened One,6.0
3 Shapes,6.0
Snake Plant,6.0
Donu and Deca,6.0
Gremlin Nob,6.0
The Guardian,6.0
Automaton,6.0
Small Slimes,6.0
Chosen,6.0
2 Louse,6.0
2 Thieves,6.0
Small Slimes,6.0
Red Slaver,6.0
2 Louse,6.0
Blue Slaver,6.0
Shell Parasite,6.0
Book of Stabbing,6.0
Lagavulin,6.0
3 Cultists,6.0
Red Slaver,6.0
Cultist,6.0
Book of Stabbing,6.0
Red Slaver,6.0
Writhing Mass,6.0
Centurion and Healer,6.0
3 Louse,6.0
2 Louse,6.0
Time Eater,6.0
Blue Slaver,5.0
3 Sentries,5.0
Small Slimes,5.0
2 Louse,5.0
Centurion and Healer,5.0
Sphere and 2 Shapes,5.0
Masked Bandits,5.0
Snecko,5.0
3 Darklings,5.0
Snake Plant,5.0
Book of Stabbing,5.0
Small Slimes,5.0
Gremlin Leader,5.0
Shell Parasite,5.0
The Guardian,5.0
3 Shapes,5.0
Maw,5.0
Exordium Wildlife,4.0
The Heart,4.0
3 Shapes,4.0
Jaw Worm,4.0
3 Darklings,4.0
2 Orb Walkers,4.0
3 Sentries,4.0
Blue Slaver,4.0
Small Slimes,4.0
Small Slimes,4.0
Gremlin Nob,4.0
3 Byrds,4.0
Small Slimes,4.0
Large Slime,4.0
Chosen,4.0
3 Cultists,4.0
Exordium Thugs,4.0
2 Louse,4.0
The Heart,4.0
Jaw Worm,4.0
Jaw Worm,4.0
Collector,4.0
Nemesis,4.0
Orb Walker,4.0
Large Slime,4.0
Transient,4.0
Spire Growth,4.0
Book of Stabbing,4.0
Jaw Worm,4.0
The Heart,4.0
Shield and Spear,4.0
3 Byrds,4.0
Awakened One,4.0
Jaw Worm,4.0
Awakened One,4.0
Exordium Wildlife,4.0
3 Sentries,4.0
2 Louse,4.0
Nemesis,3.0
2 Fungi Beasts,3.0
Sphere and 2 Shapes,3.0
Gremlin Nob,3.0
Writhing Mass,3.0
The Guardian,3.0
Small Slimes,3.0
Small Slimes,3.0
Gremlin Gang,3.0
3 Louse,3.0
Masked Bandits,3.0
2 Louse,3.0
Centurion and Healer,3.0
Centurion and Healer,3.0
Slavers,3.0
Red Slaver,3.0
Gremlin Nob,3.0
Orb Walker,3.0
Shelled Parasite and Fungi,3.0
Snake Plant,3.0
Donu and Deca,3.0
4 Shapes,3.0
Red Slaver,3.0
Cultist,3.0
Looter,3.0
Sentry and Sphere,3.0
Cultist,3.0
2 Orb Walkers,3.0
Lagavulin,3.0
Jaw Worm,3.0
Small Slimes,3.0
Lots of Slimes,3.0
Small Slimes,3.0
The Guardian,3.0
Gremlin Leader,3.0
Orb Walker,3.0
Champ,3.0
Gremlin Leader,3.0
3 Sentries,2.0
Snake Plant,2.0
Lagavulin,2.0
Book of Stabbing,2.0
Giant Head,2.0
Shelled Parasite and Fungi,2.0
Jaw Worm Horde,2.0
Jaw Worm,2.0
Shell Parasite,2.0
Jaw Worm,2.0
The Guardian,2.0
Small Slimes,2.0
The Heart,2.0
Nemesis,2.0
Slavers,2.0
Book of Stabbing,2.0
Jaw Worm,2.0
Book of Stabbing,2.0
