Relic,Win
PureWater,False
Golden Idol,False
Art of War,False
StrikeDummy,False
Potion Belt,False
Fusion Hammer,False
Prayer Wheel,False
Medical Kit,False
FossilizedHelix,False
Anchor,False
Molten Egg 2,False
SlaversCollar,False
Boot,False
Gambling Chip,False
Membership Card,False
Smiling Mask,False
PureWater,False
Happy Flower,False
Pear,False
Pantograph,False
MawBank,False
Pandora's Box,False
Orrery,False
PureWater,True
Juzu Bracelet,True
Peace Pipe,True
Gremlin Horn,True
Shovel,True
Golden Idol,True
Yang,True
Whetstone,True
SlaversCollar,True
HornCleat,True
TeardropLocket,True
Red Mask,True
Pear,True
VioletLotus,True
Thread and Needle,True
Omamori,True
Potion Belt,True
ClockworkSouvenir,True
Anchor,True
PureWater,False
Golden Idol,False
Shovel,False
Letter Opener,False
HolyWater,False
Odd Mushroom,False
StrikeDummy,False
Pantograph,False
Membership Card,False
Lizard Tail,False
VioletLotus,False
Strawberry,False
The Courier,False
Ancient Tea Set,False
Prayer Wheel,False
CaptainsWheel,False
Vajra,False
PureWater,True
Potion Belt,True
Ancient Tea Set,True
Pandora's Box,True
Mercury Hourglass,True
Pantograph,True
CaptainsWheel,True
Runic Pyramid,True
Akabeko,True
Pen Nib,True
Lantern,True
Toy Ornithopter,True
Bag of Preparation,True
HolyWater,True
Singing Bowl,True
Ancient Tea Set,True
Unceasing Top,True
Lizard Tail,True
Happy Flower,True
VioletLotus,True
Orichalcum,True
Boot,True
Dream Catcher,True
Incense Burner,True
Potion Belt,True
Anchor,True
Centennial Puzzle,True
Ice Cream,True
Damaru,True
PureWater,False
Membership Card,False
Regal Pillow,False
Pantograph,False
Potion Belt,False
Nunchaku,False
HolyWater,True
War Paint,True
Akabeko,True
Ornamental Fan,True
Vajra,True
Pen Nib,True
Toy Ornithopter,True
Damaru,True
Peace Pipe,True
Anchor,True
Smiling Mask,True
Unceasing Top,True
Coffee Dripper,True
Membership Card,True
Dream Catcher,True
White Beast Statue,True
Ice Cream,True
Orrery,True
Nunchaku,True
TungstenRod,True
Strawberry,True
Sundial,True
PureWater,True
Ancient Tea Set,True
Oddly Smooth Stone,True
CloakClasp,True
Dream Catcher,True
Pandora's Box,True
Bronze Scales,True
Vajra,True
Fusion Hammer,True
Medical Kit,True
Kunai,True
Mummified Hand,True
Bag of Marbles,True
Unceasing Top,True
Nunchaku,True
DollysMirror,True
Anchor,True
VioletLotus,True
Pen Nib,True
Nunchaku,True
Whetstone,True
StrikeDummy,True
Eternal Feather,True
Runic Pyramid,True
Gremlin Horn,True
Omamori,True
MealTicket,True
Empty Cage,True
Bronze Scales,True
Question Card,True
Pocketwatch,True
Ice Cream,True
PureWater,False
MealTicket,False
Eternal Feather,False
Letter Opener,False
CeramicFish,False
PureWater,True
Ornamental Fan,True
Tiny Chest,True
Philosopher's Stone,True
Whetstone,True
Darkstone Periapt,True
Eternal Feather,True
Lantern,True
Mummified Hand,True
Red Mask,True
Runic Pyramid,True
Old Coin,True
StrikeDummy,True
Medical Kit,True
Bottled Lightning,True
PureWater,False
Yang,False
Pantograph,False
Astrolabe,False
Lee's Waffle,False
Gambling Chip,False
Bronze Scales,False
Vajra,False
Omamori,False
Runic Dome,False
Anchor,False
Toy Ornithopter,False
Empty Cage,False
Matryoshka,False
Art of War,False
Ancient Tea Set,False
Gremlin Horn,False
War Paint,False
Dream Catcher,False
Singing Bowl,False
PureWater,True
Oddly Smooth Stone,True
White Beast Statue,True
Mummified Hand,True
Astrolabe,True
Shovel,True
Strawberry,True
MealTicket,True
Bottled Lightning,True
Mercury Hourglass,True
Runic Pyramid,True
Regal Pillow,True
FossilizedHelix,True
Eternal Feather,True
InkBottle,True
PureWater,False
Orichalcum,False
Golden Idol,False
Singing Bowl,False
Lantern,False
