Enemy,Damage Taken
Shield and Spear,132.0
Giant Head,126.0
Shield and Spear,126.0
Donu and Deca,125.0
Donu and Deca,121.0
Awakened One,111.0
Nemesis,102.0
The Heart,101.0
Reptomancer,100.0
Shield and Spear,95.0
The Heart,91.0
Shield and Spear,90.0
Awakened One,86.0
Shield and Spear,82.0
Automaton,80.0
The Heart,78.0
Time Eater,75.0
Shield and Spear,74.0
Automaton,73.0
The Heart,71.0
The Heart,68.0
Automaton,67.0
The Heart,66.0
Hexaghost,65.0
Giant Head,65.0
The Heart,65.0
Reptomancer,63.0
Time Eater,61.0
The Heart,61.0
Reptomancer,60.0
Hexaghost,60.0
The Heart,58.0
Reptomancer,58.0
The Heart,58.0
Time Eater,57.0
Champ,57.0
Slavers,56.0
Slime Boss,56.0
3 Darklings,55.0
Champ,54.0
Slavers,54.0
Book of Stabbing,54.0
Shell Parasite,53.0
4 Shapes,52.0
Writhing Mass,50.0
Nemesis,50.0
Collector,49.0
Awakened One,49.0
The Guardian,49.0
Slavers,48.0
Nemesis,48.0
Book of Stabbing,47.0
Jaw Worm Horde,47.0
The Heart,47.0
Gremlin Nob,45.0
2 Orb Walkers,45.0
Shield and Spear,44.0
Book of Stabbing,44.0
3 Sentries,44.0
Time Eater,43.0
Chosen,42.0
Cultist and Chosen,41.0
Slavers,41.0
Book of Stabbing,40.0
Nemesis,40.0
Hexaghost,39.0
Time Eater,39.0
Exordium Wildlife,39.0
Collector,38.0
Gremlin Leader,38.0
Lagavulin,38.0
Champ,38.0
3 Sentries,37.0
The Guardian,36.0
Giant Head,36.0
The Heart,36.0
Gremlin Nob,36.0
Spire Growth,35.0
Champ,35.0
Slavers,35.0
Slime Boss,34.0
Champ,34.0
Slime Boss,34.0
Lagavulin,34.0
Slavers,32.0
Champ,32.0
Slime Boss,31.0
The Heart,31.0
Lots of Slimes,31.0
The Guardian,31.0
3 Darklings,30.0
4 Shapes,30.0
3 Darklings,30.0
Shelled Parasite and Fungi,30.0
Lagavulin,30.0
Gremlin Nob,30.0
3 Darklings,30.0
Book of Stabbing,30.0
Masked Bandits,30.0
3 Darklings,30.0
Awakened One,30.0
Gremlin Nob,29.0
The Guardian,29.0
Shelled Parasite and Fungi,29.0
Donu and Deca,29.0
Centurion and Healer,28.0
Collector,28.0
Lagavulin,28.0
Book of Stabbing,28.0
Time Eater,28.0
4 Shapes,28.0
2 Thieves,28.0
Hexaghost,27.0
Donu and Deca,27.0
3 Sentries,27.0
Lagavulin,27.0
Snake Plant,27.0
Writhing Mass,27.0
Gremlin Leader,27.0
Reptomancer,27.0
Gremlin Nob,27.0
3 Sentries,26.0
2 Orb Walkers,26.0
3 Sentries,26.0
Slavers,26.0
Slavers,26.0
Awakened One,26.0
3 Byrds,25.0
Snake Plant,25.0
Lagavulin,25.0
Cultist and Chosen,25.0
3 Sentries,25.0
Exordium Thugs,25.0
Collector,25.0
3 Darklings,25.0
Snecko,25.0
Gremlin Leader,24.0
Gremlin Leader,24.0
Transient,24.0
3 Sentries,24.0
3 Darklings,24.0
Donu and Deca,24.0
2 Orb Walkers,24.0
Maw,24.0
3 Sentries,24.0
Hexaghost,24.0
Time Eater,24.0
Jaw Worm Horde,23.0
Automaton,23.0
Sentry and Sphere,23.0
Slavers,23.0
Slavers,23.0
The Guardian,23.0
Giant Head,23.0
Collector,23.0
Shield and Spear,23.0
Awakened One,22.0
Slavers,22.0
Writhing Mass,22.0
Hexaghost,22.0
Chosen,22.0
3 Byrds,22.0
Gremlin Leader,22.0
Sentry and Sphere,22.0
Centurion and Healer,22.0
Small Slimes,22.0
Shelled Parasite and Fungi,22.0
Large Slime,21.0
Hexaghost,21.0
Reptomancer,21.0
Shelled Parasite and Fungi,21.0
Awakened One,21.0
Lagavulin,21.0
3 Sentries,21.0
Donu and Deca,20.0
Reptomancer,20.0
2 Orb Walkers,20.0
Snake Plant,20.0
Slavers,20.0
3 Sentries,20.0
3 Sentries,19.0
3 Sentries,19.0
Gremlin Nob,19.0
Gremlin Nob,19.0
Shell Parasite,19.0
The Guardian,19.0
Donu and Deca,19.0
Spheric Guardian,19.0
The Heart,19.0
Exordium Thugs,19.0
Reptomancer,19.0
Sphere and 2 Shapes,19.0
3 Shapes,18.0
Automaton,18.0
Spheric Guardian,18.0
Nemesis,18.0
Shelled Parasite and Fungi,18.0
4 Shapes,18.0
Chosen and Byrds,18.0
3 Darklings,18.0
Chosen,18.0
Gremlin Leader,18.0
The Guardian,18.0
Donu and Deca,18.0
Lagavulin,18.0
Small Slimes,18.0
Champ,18.0
Gremlin Gang,18.0
Donu and Deca,18.0
Book of Stabbing,18.0
Large Slime,17.0
3 Sentries,17.0
Shelled Parasite and Fungi,17.0
Lagavulin,17.0
Lagavulin,17.0
2 Thieves,17.0
Nemesis,17.0
The Guardian,17.0
3 Sentries,17.0
Lagavulin,17.0
Lagavulin,17.0
Exordium Thugs,17.0
Giant Head,17.0
4 Shapes,17.0
4 Shapes,16.0
Time Eater,16.0
3 Sentries,16.0
Slime Boss,16.0
2 Thieves,16.0
Book of Stabbing,16.0
3 Sentries,16.0
Lagavulin,16.0
2 Fungi Beasts,16.0
3 Darklings,16.0
3 Louse,16.0
Collector,16.0
Slavers,16.0
Centurion and Healer,16.0
Hexaghost,15.0
3 Louse,15.0
3 Sentries,15.0
3 Sentries,15.0
Slavers,15.0
Shelled Parasite and Fungi,15.0
Reptomancer,15.0
Gremlin Leader,15.0
3 Cultists,15.0
Snake Plant,15.0
Shell Parasite,14.0
Awakened One,14.0
Lagavulin,14.0
Shelled Parasite and Fungi,14.0
Cultist and Chosen,14.0
Donu and Deca,14.0
3 Byrds,14.0
Maw,14.0
2 Thieves,14.0
Exordium Thugs,14.0
2 Fungi Beasts,14.0
Lagavulin,14.0
2 Thieves,14.0
Nemesis,13.0
Snake Plant,13.0
3 Cultists,13.0
Maw,13.0
Blue Slaver,13.0
Jaw Worm,13.0
3 Darklings,13.0
3 Darklings,13.0
Spheric Guardian,13.0
Gremlin Gang,13.0
Slavers,13.0
3 Cultists,12.0
Lagavulin,12.0
Giant Head,12.0
3 Shapes,12.0
Slime Boss,12.0
Nemesis,12.0
Masked Bandits,12.0
Giant Head,12.0
Cultist,12.0
Book of Stabbing,12.0
The Guardian,12.0
Centurion and Healer,12.0
Reptomancer,12.0
Cultist,11.0
Jaw Worm,11.0
Reptomancer,11.0
Gremlin Nob,11.0
Snake Plant,11.0
Lagavulin,11.0
Gremlin Leader,11.0
3 Shapes,11.0
3 Darklings,11.0
Slavers,11.0
3 Sentries,11.0
2 Thieves,11.0
Gremlin Nob,11.0
Sphere and 2 Shapes,11.0
Lots of Slimes,11.0
Awakened One,11.0
3 Shapes,11.0
Spheric Guardian,11.0
Large Slime,11.0
Giant Head,11.0
3 Shapes,11.0
Book of Stabbing,11.0
Snecko,11.0
Red Slaver,10.0
3 Sentries,10.0
Maw,10.0
2 Louse,10.0
Lagavulin,10.0
Gremlin Nob,10.0
Sentry and Sphere,10.0
Shell Parasite,10.0
Shell Parasite,10.0
Red Slaver,10.0
Nemesis,10.0
Transient,10.0
Shell Parasite,10.0
Book of Stabbing,10.0
Writhing Mass,10.0
Sphere and 2 Shapes,10.0
3 Shapes,10.0
Snake Plant,10.0
3 Sentries,10.0
Colosseum Nobs,10.0
Jaw Worm Horde,10.0
Sphere and 2 Shapes,10.0
Blue Slaver,10.0
3 Sentries,10.0
Snake Plant,9.0
Book of Stabbing,9.0
Jaw Worm,9.0
3 Louse,9.0
Jaw Worm,9.0
2 Fungi Beasts,9.0
Gremlin Leader,9.0
Exordium Thugs,9.0
Chosen,9.0
Small Slimes,9.0
Looter,9.0
Red Slaver,9.0
Jaw Worm,9.0
3 Shapes,9.0
Snake Plant,9.0
3 Darklings,9.0
3 Louse,9.0
Masked Bandits,9.0
Jaw Worm,9.0
Book of Stabbing,9.0
Cultist and Chosen,9.0
3 Darklings,8.0
Giant Head,8.0
Chosen and Byrds,8.0
Looter,8.0
3 Sentries,8.0
2 Thieves,8.0
Small Slimes,8.0
Giant Head,8.0
Giant Head,8.0
Snake Plant,8.0
Shell Parasite,8.0
3 Byrds,8.0
Exordium Thugs,8.0
Blue Slaver,8.0
2 Louse,8.0
3 Louse,8.0
3 Byrds,8.0
The Mushroom Lair,8.0
Spheric Guardian,8.0
Blue Slaver,8.0
Book of Stabbing,8.0
Snecko,8.0
Large Slime,8.0
2 Louse,8.0
Small Slimes,7.0
Lagavulin,7.0
Shield and Spear,7.0
Exordium Wildlife,7.0
Shell Parasite,7.0
Donu and Deca,7.0
Looter,7.0
3 Sentries,7.0
Small Slimes,7.0
Exordium Wildlife,7.0
Blue Slaver,7.0
Lagavulin,7.0
Centurion and Healer,7.0
Time Eater,7.0
Small Slimes,7.0
Spheric Guardian,7.0
Small Slimes,7.0
Spheric Guardian,7.0
Orb Walker,7.0
Lots of Slimes,7.0
Collector,7.0
3 Shapes,7.0
Slavers,7.0
Nemesis,7.0
Mind Bloom Boss Battle,7.0
Cultist,7.0
Slavers,7.0
Gremlin Nob,7.0
2 Thieves,7.0
Small Slimes,7.0
3 Sentries,7.0
Sphere and 2 Shapes,7.0
Jaw Worm,7.0
Snake Plant,7.0
Looter,7.0
Lagavulin,7.0
Book of Stabbing,7.0
Lots of Slimes,7.0
Shield and Spear,6.0
Writhing Mass,6.0
Gremlin Leader,6.0
Gremlin Leader,6.0
Cultist,6.0
2 Louse,6.0
Gremlin Leader,6.0
Reptomancer,6.0
Shelled Parasite and Fungi,6.0
Jaw Worm,6.0
The Guardian,6.0
Jaw Worm,6.0
Orb Walker,6.0
Cultist,6.0
Exordium Wildlife,6.0
Lots of Slimes,6.0
Slime Boss,6.0
Giant Head,6.0
Gremlin Nob,6.0
Red Slaver,6.0
2 Thieves,6.0
Book of Stabbing,6.0
Large Slime,6.0
Lagavulin,6.0
Gremlin Nob,6.0
Giant Head,6.0
Spheric Guardian,6.0
Gremlin Nob,6.0
Lagavulin,6.0
Transient,6.0
Reptomancer,6.0
Awakened One,6.0
Maw,6.0
Cultist,6.0
Jaw Worm,6.0
Transient,6.0
3 Byrds,5.0
2 Louse,5.0
3 Byrds,5.0
Sentry and Sphere,5.0
Cultist and Chosen,5.0
Gremlin Gang,5.0
Shell Parasite,5.0
4 Shapes,5.0
Exordium Thugs,5.0
Orb Walker,5.0
Gremlin Nob,5.0
Champ,5.0
