Card,Floor,Picked,Act,Boss
Rebound,1.0,True,1,False
Steam,1.0,False,1,False
Compile Driver,1.0,False,1,False
SKIP,1.0,False,1,False
Conserve Battery,2.0,True,1,False
Rebound,2.0,False,1,False
Claw,2.0,False,1,False
SKIP,2.0,False,1,False
Beam Cell,3.0,True,1,False
Leap,3.0,False,1,False
Rebound,3.0,False,1,False
SKIP,3.0,False,1,False
Ball Lightning,5.0,True,1,False
Storm,5.0,False,1,False
Beam Cell,5.0,False,1,False
SKIP,5.0,False,1,False
Compile Driver,7.0,True,1,False
Redo,7.0,False,1,False
Recycle,7.0,False,1,False
SKIP,7.0,False,1,False
Sunder,8.0,True,1,False
Loop,8.0,False,1,False
Steam,8.0,False,1,False
SKIP,8.0,False,1,False
SKIP,10.0,True,1,False
Compile Driver,10.0,False,1,False
White Noise,10.0,False,1,False
Ball Lightning,10.0,False,1,False
SKIP,10.0,False,1,False
Defragment,13.0,True,1,False
Storm,13.0,False,1,False
BootSequence,13.0,False,1,False
SKIP,13.0,False,1,False
Meteor Strike,16.0,True,1,True
Reboot,16.0,False,1,True
Hyperbeam,16.0,False,1,True
SKIP,16.0,False,1,True
Defragment,18.0,True,2,False
Conserve Battery,18.0,False,2,False
Reprogram,18.0,False,2,False
SKIP,18.0,False,2,False
Streamline,19.0,True,2,False
Ball Lightning,19.0,False,2,False
Sweeping Beam,19.0,False,2,False
SKIP,19.0,False,2,False
Coolheaded,24.0,True,2,False
Cold Snap,24.0,False,2,False
White Noise,24.0,False,2,False
SKIP,24.0,False,2,False
Hologram,28.0,True,2,False
Sweeping Beam,28.0,False,2,False
Coolheaded,28.0,False,2,False
SKIP,28.0,False,2,False
Biased Cognition,31.0,True,2,False
Barrage,31.0,False,2,False
Doom and Gloom,31.0,False,2,False
SKIP,31.0,False,2,False
Core Surge,33.0,True,2,True
Electrodynamics,33.0,False,2,True
Meteor Strike,33.0,False,2,True
SKIP,33.0,False,2,True
Go for the Eyes,35.0,True,3,False
Claw,35.0,False,3,False
Blizzard,35.0,False,3,False
SKIP,35.0,False,3,False
SKIP,36.0,True,3,False
Go for the Eyes,36.0,False,3,False
Streamline,36.0,False,3,False
Melter,36.0,False,3,False
SKIP,36.0,False,3,False
Secret Technique,39.0,True,3,False
Madness,39.0,False,3,False
Chrysalis,39.0,False,3,False
SKIP,39.0,False,3,False
Master of Strategy,39.0,True,3,False
Bandage Up,39.0,False,3,False
PanicButton,39.0,False,3,False
SKIP,39.0,False,3,False
PanicButton,39.0,True,3,False
Blind,39.0,False,3,False
Thinking Ahead,39.0,False,3,False
SKIP,39.0,False,3,False
Glacier,40.0,True,3,False
Redo,40.0,False,3,False
Steam,40.0,False,3,False
SKIP,40.0,False,3,False
Defragment,41.0,True,3,False
White Noise,41.0,False,3,False
Go for the Eyes,41.0,False,3,False
SKIP,41.0,False,3,False
Buffer,42.0,True,3,False
Redo,42.0,False,3,False
Streamline,42.0,False,3,False
SKIP,42.0,False,3,False
Fusion,44.0,True,3,False
Redo,44.0,False,3,False
Coolheaded,44.0,False,3,False
SKIP,44.0,False,3,False
Hologram,46.0,True,3,False
Claw,46.0,False,3,False
Go for the Eyes,46.0,False,3,False
SKIP,46.0,False,3,False
Ball Lightning,1.0,True,1,False
Barrage,1.0,False,1,False
Redo,1.0,False,1,False
SKIP,1.0,False,1,False
Hologram,2.0,True,1,False
Barrage,2.0,False,1,False
Steam,2.0,False,1,False
SKIP,2.0,False,1,False
Defragment,3.0,True,1,False
Ball Lightning,3.0,False,1,False
Hologram,3.0,False,1,False
SKIP,3.0,False,1,False
Doom and Gloom,4.0,True,1,False
Heatsinks,4.0,False,1,False
Compile Driver,4.0,False,1,False
SKIP,4.0,False,1,False
Auto Shields,8.0,True,1,False
Heatsinks,8.0,False,1,False
Reprogram,8.0,False,1,False
SKIP,8.0,False,1,False
Genetic Algorithm,10.0,True,1,False
Aggregate,10.0,False,1,False
Ball Lightning,10.0,False,1,False
SKIP,10.0,False,1,False
Skim,12.0,True,1,False
Go for the Eyes,12.0,False,1,False
Sweeping Beam,12.0,False,1,False
SKIP,12.0,False,1,False
Lockon,14.0,True,1,False
Ball Lightning,14.0,False,1,False
Stack,14.0,False,1,False
SKIP,14.0,False,1,False
Reboot,16.0,True,1,True
Machine Learning,16.0,False,1,True
Hyperbeam,16.0,False,1,True
SKIP,16.0,False,1,True
Go for the Eyes,18.0,True,2,False
Conserve Battery,18.0,False,2,False
Hello World,18.0,False,2,False
SKIP,18.0,False,2,False
Skim,19.0,True,2,False
Tempest,19.0,False,2,False
Stack,19.0,False,2,False
Scrape,19.0,False,2,False
Hello World,19.0,False,2,False
Fusion,19.0,False,2,False
Steam,19.0,False,2,False
Capacitor,19.0,False,2,False
Streamline,19.0,False,2,False
Force Field,19.0,False,2,False
Hologram,19.0,False,2,False
White Noise,19.0,False,2,False
Compile Driver,19.0,False,2,False
Rebound,19.0,False,2,False
Ball Lightning,19.0,False,2,False
FTL,19.0,False,2,False
Claw,19.0,False,2,False
Cold Snap,19.0,False,2,False
Sweeping Beam,19.0,False,2,False
Reprogram,19.0,False,2,False
SKIP,19.0,False,2,False
Redo,22.0,True,2,False
Beam Cell,22.0,False,2,False
Sweeping Beam,22.0,False,2,False
SKIP,22.0,False,2,False
Self Repair,23.0,True,2,False
Heatsinks,23.0,False,2,False
Static Discharge,23.0,False,2,False
SKIP,23.0,False,2,False
Coolheaded,25.0,True,2,False
Auto Shields,25.0,False,2,False
Static Discharge,25.0,False,2,False
SKIP,25.0,False,2,False
SKIP,28.0,True,2,False
Genetic Algorithm,28.0,False,2,False
Rebound,28.0,False,2,False
Barrage,28.0,False,2,False
SKIP,28.0,False,2,False
Hologram,31.0,True,2,False
Genetic Algorithm,31.0,False,2,False
Fusion,31.0,False,2,False
SKIP,31.0,False,2,False
