Card,Win
Core Surge,False
Defragment,False
Recycle,False
PanicButton,False
Coolheaded,False
Ball Lightning,False
Meteor Strike,False
Defend_B,False
Go for the Eyes,False
Beam Cell,False
Secret Technique,False
Sunder,False
Hologram,False
Redo,False
Conserve Battery,False
Buffer,False
Glacier,False
Compile Driver,False
Rebound,False
Streamline,False
Master of Strategy,False
Biased Cognition,False
Multi-Cast,False
Panacea,False
Fusion,False
Skim,False
Trip,False
Defragment,False
Lockon,False
Strike_B,False
Auto Shields,False
CurseOfTheBell,False
Turbo,False
Coolheaded,False
Ball Lightning,False
Necronomicurse,False
Go for the Eyes,False
Genetic Algorithm,False
Hologram,False
Self Repair,False
Dualcast,False
Redo,False
Glacier,False
Echo Form,False
Reboot,False
Defend_B,False
Doom and Gloom,False
Skim,True
Seek,True
Doom and Gloom,True
Heatsinks,True
Defragment,True
Strike_B,True
Cold Snap,True
Recycle,True
Turbo,True
Loop,True
Go for the Eyes,True
Chill,True
Undo,True
Sunder,True
Hologram,True
Self Repair,True
Dualcast,True
Redo,True
Conserve Battery,True
Glacier,True
Compile Driver,True
Biased Cognition,True
Aggregate,True
Defend_B,True
Fusion,True
Sweeping Beam,True
Skim,False
Core Surge,False
RitualDagger,False
Heatsinks,False
Strike_B,False
Cold Snap,False
CurseOfTheBell,False
Turbo,False
Madness,False
Coolheaded,False
Dark Shackles,False
Genetic Algorithm,False
Beam Cell,False
Undo,False
Claw,False
Hologram,False
Melter,False
Self Repair,False
Reprogram,False
Dualcast,False
Zap,False
Buffer,False
Compile Driver,False
Rebound,False
Streamline,False
Biased Cognition,False
FTL,False
Reboot,False
Defend_B,False
Skim,True
Heatsinks,True
Defragment,True
Lockon,True
Leap,True
Double Energy,True
Meteor Strike,True
Go for the Eyes,True
Machine Learning,True
Hologram,True
Self Repair,True
Zap,True
Glacier,True
Compile Driver,True
Echo Form,True
Electrodynamics,True
Biased Cognition,True
FTL,True
Fusion,True
Sweeping Beam,True
Skim,False
Defragment,False
Steam,False
Hyperbeam,False
Strike_B,False
Chaos,False
Cold Snap,False
Leap,False
Coolheaded,False
Ball Lightning,False
Genetic Algorithm,False
Beam Cell,False
Reinforced Body,False
Undo,False
Hologram,False
Dramatic Entrance,False
Dualcast,False
Redo,False
Zap,False
Conserve Battery,False
Compile Driver,False
All For One,False
Defend_B,False
Strike_B,False
Beam Cell,False
Zap,False
Skim,False
Undo,False
Ball Lightning,False
Defend_B,False
Sweeping Beam,False
Lockon,False
Dualcast,False
Genetic Algorithm,False
Skim,False
Core Surge,False
Seek,False
Blind,False
Doom and Gloom,False
Steam,False
Strike_B,False
Cold Snap,False
Darkness,False
Coolheaded,False
Ball Lightning,False
Scrape,False
Necronomicurse,False
Rip and Tear,False
Sunder,False
Hologram,False
Steam Power,False
Self Repair,False
Dualcast,False
Glacier,False
Compile Driver,False
Rebound,False
Electrodynamics,False
Biased Cognition,False
Reboot,False
Capacitor,False
Defend_B,False
Sweeping Beam,False
Seek,False
Strike_B,False
Cold Snap,False
Flash of Steel,False
Recycle,False
Madness,False
Darkness,False
Go for the Eyes,False
Chill,False
Claw,False
Hologram,False
Self Repair,False
Reprogram,False
Dualcast,False
Redo,False
Zap,False
Conserve Battery,False
Buffer,False
Glacier,False
Compile Driver,False
Streamline,False
Aggregate,False
Biased Cognition,False
Defend_B,False
Strike_B,False
Zap,False
Conserve Battery,False
Skim,False
Darkness,False
FTL,False
Sunder,False
Defragment,False
Defend_B,False
Dualcast,False
