Enemy,Damage Taken
The Heart,101.0
Shield and Spear,82.0
Shield and Spear,74.0
The Heart,68.0
Reptomancer,58.0
Slavers,54.0
Book of Stabbing,54.0
Nemesis,50.0
Collector,49.0
Nemesis,48.0
2 Orb Walkers,45.0
Slavers,41.0
Nemesis,40.0
Hexaghost,39.0
The Heart,36.0
The Guardian,36.0
Spire Growth,35.0
Champ,35.0
Champ,34.0
Slime Boss,34.0
Lagavulin,34.0
Slavers,32.0
Slime Boss,31.0
Lagavulin,30.0
3 Darklings,30.0
3 Darklings,30.0
Collector,28.0
2 Thieves,28.0
Writhing Mass,27.0
Lagavulin,27.0
3 Sentries,27.0
Gremlin Nob,27.0
2 Orb Walkers,26.0
Snake Plant,25.0
Gremlin Leader,24.0
Time Eater,24.0
3 Sentries,24.0
Slavers,23.0
Sentry and Sphere,23.0
Collector,23.0
Jaw Worm Horde,23.0
3 Byrds,22.0
Small Slimes,22.0
Chosen,22.0
Large Slime,21.0
Awakened One,21.0
Donu and Deca,20.0
Donu and Deca,19.0
3 Sentries,19.0
Shell Parasite,19.0
Exordium Thugs,19.0
Book of Stabbing,18.0
The Guardian,18.0
Lagavulin,18.0
Lagavulin,17.0
3 Sentries,16.0
4 Shapes,16.0
Slime Boss,16.0
3 Louse,15.0
Slavers,15.0
3 Sentries,15.0
Donu and Deca,14.0
3 Byrds,14.0
Maw,14.0
Cultist and Chosen,14.0
Lagavulin,14.0
2 Fungi Beasts,14.0
2 Thieves,14.0
3 Darklings,13.0
Slavers,13.0
3 Shapes,12.0
Book of Stabbing,12.0
Lagavulin,12.0
The Guardian,12.0
Reptomancer,12.0
Giant Head,12.0
Slime Boss,12.0
3 Darklings,11.0
Gremlin Nob,11.0
Sphere and 2 Shapes,11.0
Slavers,11.0
Book of Stabbing,11.0
Awakened One,11.0
3 Shapes,11.0
Lagavulin,11.0
Colosseum Nobs,10.0
Snake Plant,10.0
Transient,10.0
3 Sentries,10.0
Shell Parasite,10.0
3 Shapes,10.0
Red Slaver,10.0
Jaw Worm,9.0
Jaw Worm,9.0
Chosen,9.0
3 Darklings,9.0
Jaw Worm,9.0
Looter,9.0
3 Louse,9.0
Cultist and Chosen,9.0
Red Slaver,9.0
Snake Plant,8.0
2 Thieves,8.0
3 Byrds,8.0
Giant Head,8.0
3 Sentries,8.0
Shell Parasite,8.0
Shell Parasite,7.0
Lagavulin,7.0
Looter,7.0
Centurion and Healer,7.0
Blue Slaver,7.0
Small Slimes,7.0
Small Slimes,7.0
Exordium Wildlife,7.0
2 Thieves,6.0
Lagavulin,6.0
Large Slime,6.0
Book of Stabbing,6.0
Giant Head,6.0
Cultist,6.0
The Guardian,6.0
Transient,6.0
Exordium Thugs,5.0
2 Louse,5.0
Collector,5.0
Champ,5.0
4 Shapes,5.0
3 Sentries,5.0
Jaw Worm,4.0
Small Slimes,4.0
Gremlin Nob,4.0
Colosseum Slavers,4.0
Small Slimes,4.0
Large Slime,4.0
Writhing Mass,3.0
Gremlin Gang,3.0
2 Louse,3.0
Small Slimes,3.0
3 Sentries,3.0
Awakened One,3.0
2 Louse,2.0
Snake Plant,2.0
Red Slaver,2.0
Book of Stabbing,2.0
Looter,2.0
Looter,2.0
3 Darklings,2.0
Exordium Wildlife,1.0
2 Louse,1.0
2 Thieves,1.0
Nemesis,1.0
2 Fungi Beasts,1.0
Gremlin Leader,1.0
3 Shapes,1.0
Orb Walker,1.0
Cultist,1.0
3 Shapes,1.0
Cultist,1.0
3 Shapes,0.0
Orb Walker,0.0
Automaton,0.0
Sphere and 2 Shapes,0.0
Red Slaver,0.0
Sentry and Sphere,0.0
Gremlin Leader,0.0
2 Louse,0.0
2 Louse,0.0
Large Slime,0.0
Cultist,0.0
2 Louse,0.0
Orb Walker,0.0
3 Darklings,0.0
2 Louse,0.0
Cultist,0.0
Cultist,0.0
Shield and Spear,0.0
Maw,0.0
Spire Growth,0.0
Chosen and Byrds,0.0
3 Cultists,0.0
Cultist,0.0
Giant Head,0.0
Nemesis,0.0
Reptomancer,0.0
Mind Bloom Boss Battle,0.0
Gremlin Leader,0.0
3 Louse,0.0
Gremlin Leader,0.0
Snecko,0.0
Giant Head,0.0
2 Louse,0.0
Chosen,0.0
3 Louse,0.0
2 Fungi Beasts,0.0
Small Slimes,0.0
Cultist,0.0
Gremlin Nob,0.0
Snecko,0.0
Reptomancer,0.0
Gremlin Leader,0.0
3 Byrds,0.0
Looter,0.0
Jaw Worm,0.0
Cultist,0.0
Spire Growth,0.0
Red Slaver,0.0
