Relic,Win
Cracked Core,False
Oddly Smooth Stone,False
Akabeko,False
Ornamental Fan,False
Runic Pyramid,False
Juzu Bracelet,False
Blood Vial,False
Vajra,False
The Courier,False
Astrolabe,False
Mango,False
Chemical X,False
DataDisk,False
Molten Egg 2,False
Whetstone,False
Happy Flower,False
Darkstone Periapt,False
Cracked Core,False
The Courier,False
Unceasing Top,False
Coffee Dripper,False
Necronomicon,False
Anchor,False
Ginger,False
Potion Belt,False
NlothsMask,False
Calling Bell,False
CeramicFish,False
White Beast Statue,False
CaptainsWheel,False
Cracked Core,True
Smiling Mask,True
Vajra,True
Potion Belt,True
Toy Ornithopter,True
Nuclear Battery,True
Toolbox,True
Eternal Feather,True
Bottled Tornado,True
Orichalcum,True
Unceasing Top,True
InkBottle,True
Inserter,True
Whetstone,True
Happy Flower,True
Centennial Puzzle,True
Cracked Core,False
CeramicFish,False
Golden Idol,False
MealTicket,False
Nunchaku,False
Lantern,False
Philosopher's Stone,False
Gremlin Horn,False
Blue Candle,False
Matryoshka,False
Cables,False
Kunai,False
Calling Bell,False
Centennial Puzzle,False
White Beast Statue,False
Peace Pipe,False
Membership Card,False
WingedGreaves,False
Anchor,False
Frozen Egg 2,False
Omamori,False
Bag of Marbles,False
Cracked Core,True
Golden Idol,True
Thread and Needle,True
Pantograph,True
Shuriken,True
Sundial,True
Pandora's Box,True
TheAbacus,True
Bottled Flame,True
Smiling Mask,True
Orichalcum,True
MealTicket,True
Runic Dome,True
PreservedInsect,True
Cables,True
Bag of Preparation,True
Boot,True
ClockworkSouvenir,True
Anchor,True
Cracked Core,False
Akabeko,False
Bag of Marbles,False
Potion Belt,False
Cursed Key,False
Centennial Puzzle,False
Sling,False
MealTicket,False
Art of War,False
Enchiridion,False
Cracked Core,False
Ancient Tea Set,False
Orichalcum,False
Whetstone,False
Oddly Smooth Stone,False
Cracked Core,False
Art of War,False
Shovel,False
Torii,False
Thread and Needle,False
Velvet Choker,False
Necronomicon,False
Gremlin Horn,False
Symbiotic Virus,False
Anchor,False
Bag of Marbles,False
Happy Flower,False
Coffee Dripper,False
Eternal Feather,False
Orichalcum,False
Emotion Chip,False
Cracked Core,False
MealTicket,False
Ancient Tea Set,False
Unceasing Top,False
Coffee Dripper,False
War Paint,False
Shuriken,False
Happy Flower,False
Shovel,False
Gremlin Horn,False
Nuclear Battery,False
Meat on the Bone,False
Darkstone Periapt,False
Cracked Core,False
Blue Candle,False
DataDisk,False
Bird Faced Urn,False
