Relic,Act,Picked,Win
Philosopher's Stone,1,True,True
Astrolabe,1,False,True
Ectoplasm,1,False,True
Runic Pyramid,2,True,True
Snecko Eye,2,False,True
Calling Bell,2,False,True
Coffee Dripper,1,True,False
Tiny House,1,False,False
Sozu,1,False,False
Pandora's Box,2,True,False
Runic Dome,2,False,False
Mark of Pain,2,False,False
Astrolabe,1,True,False
Runic Dome,1,False,False
Sozu,1,False,False
Cursed Key,2,True,False
Pandora's Box,2,False,False
Black Blood,2,False,False
Fusion Hammer,1,True,True
SlaversCollar,1,False,True
Astrolabe,1,False,True
Snecko Eye,2,True,True
Velvet Choker,2,False,True
Tiny House,2,False,True
SlaversCollar,1,True,False
Astrolabe,1,False,False
Runic Dome,1,False,False
SlaversCollar,1,True,False
Sozu,1,False,False
Runic Dome,1,False,False
Philosopher's Stone,2,True,False
Mark of Pain,2,False,False
Busted Crown,2,False,False
Velvet Choker,1,True,True
Mark of Pain,1,False,True
Runic Dome,1,False,True
Fusion Hammer,2,True,True
Busted Crown,2,False,True
Sozu,2,False,True
Runic Dome,1,True,True
Black Blood,1,False,True
Velvet Choker,1,False,True
Philosopher's Stone,2,True,True
Sozu,2,False,True
Pandora's Box,2,False,True
Runic Cube,1,True,False
Fusion Hammer,1,False,False
Tiny House,1,False,False
Astrolabe,2,True,False
Black Star,2,False,False
Velvet Choker,2,False,False
Coffee Dripper,1,True,False
Empty Cage,1,False,False
Ectoplasm,1,False,False
