Card,Floor,Picked,Act,Boss
Cleave,1.0,True,1,False
Warcry,1.0,False,1,False
Sword Boomerang,1.0,False,1,False
SKIP,1.0,False,1,False
Shockwave,2.0,True,1,False
Twin Strike,2.0,False,1,False
Pommel Strike,2.0,False,1,False
SKIP,2.0,False,1,False
Infernal Blade,4.0,True,1,False
Wild Strike,4.0,False,1,False
Havoc,4.0,False,1,False
SKIP,4.0,False,1,False
Whirlwind,5.0,True,1,False
Cleave,5.0,False,1,False
Metallicize,5.0,False,1,False
SKIP,5.0,False,1,False
Perfected Strike,6.0,True,1,False
Limit Break,6.0,False,1,False
Barricade,6.0,False,1,False
SKIP,6.0,False,1,False
Shockwave,8.0,True,1,False
Flame Barrier,8.0,False,1,False
Pommel Strike,8.0,False,1,False
SKIP,8.0,False,1,False
Anger,10.0,True,1,False
Perfected Strike,10.0,False,1,False
Whirlwind,10.0,False,1,False
SKIP,10.0,False,1,False
SKIP,12.0,True,1,False
Cleave,12.0,False,1,False
Body Slam,12.0,False,1,False
Limit Break,12.0,False,1,False
SKIP,12.0,False,1,False
Dark Embrace,13.0,True,1,False
Body Slam,13.0,False,1,False
Clash,13.0,False,1,False
SKIP,13.0,False,1,False
Second Wind,14.0,True,1,False
Iron Wave,14.0,False,1,False
Wild Strike,14.0,False,1,False
SKIP,14.0,False,1,False
Corruption,16.0,True,1,True
Exhume,16.0,False,1,True
Double Tap,16.0,False,1,True
SKIP,16.0,False,1,True
SKIP,18.0,True,2,False
Warcry,18.0,False,2,False
Sentinel,18.0,False,2,False
Sword Boomerang,18.0,False,2,False
SKIP,18.0,False,2,False
Disarm,19.0,True,2,False
Burning Pact,19.0,False,2,False
Havoc,19.0,False,2,False
Cleave,19.0,False,2,False
Second Wind,19.0,False,2,False
Perfected Strike,19.0,False,2,False
Evolve,19.0,False,2,False
Whirlwind,19.0,False,2,False
Heavy Blade,19.0,False,2,False
Searing Blow,19.0,False,2,False
Dual Wield,19.0,False,2,False
Rage,19.0,False,2,False
Infernal Blade,19.0,False,2,False
Headbutt,19.0,False,2,False
Pommel Strike,19.0,False,2,False
Twin Strike,19.0,False,2,False
Sword Boomerang,19.0,False,2,False
Dark Embrace,19.0,False,2,False
Wild Strike,19.0,False,2,False
Anger,19.0,False,2,False
SKIP,19.0,False,2,False
Spot Weakness,20.0,True,2,False
Wild Strike,20.0,False,2,False
Armaments,20.0,False,2,False
SKIP,20.0,False,2,False
Entrench,22.0,True,2,False
Iron Wave,22.0,False,2,False
Wild Strike,22.0,False,2,False
SKIP,22.0,False,2,False
Pummel,27.0,True,2,False
Perfected Strike,27.0,False,2,False
Combust,27.0,False,2,False
SKIP,27.0,False,2,False
Pommel Strike,28.0,True,2,False
Sword Boomerang,28.0,False,2,False
Spot Weakness,28.0,False,2,False
SKIP,28.0,False,2,False
Spot Weakness,29.0,True,2,False
Sword Boomerang,29.0,False,2,False
True Grit,29.0,False,2,False
SKIP,29.0,False,2,False
Dual Wield,31.0,True,2,False
Heavy Blade,31.0,False,2,False
Uppercut,31.0,False,2,False
SKIP,31.0,False,2,False
Feed,33.0,True,2,True
Impervious,33.0,False,2,True
Offering,33.0,False,2,True
SKIP,33.0,False,2,True
Pommel Strike,35.0,True,3,False
Dark Embrace,35.0,False,3,False
Cleave,35.0,False,3,False
SKIP,35.0,False,3,False
Sentinel,36.0,True,3,False
Iron Wave,36.0,False,3,False
Perfected Strike,36.0,False,3,False
SKIP,36.0,False,3,False
Body Slam,36.0,True,3,False
Immolate,36.0,False,3,False
Warcry,36.0,False,3,False
SKIP,36.0,False,3,False
Pommel Strike,36.0,True,3,False
Second Wind,36.0,False,3,False
Headbutt,36.0,False,3,False
SKIP,36.0,False,3,False
SKIP,36.0,True,3,False
Cleave,36.0,False,3,False
Dual Wield,36.0,False,3,False
Searing Blow,36.0,False,3,False
SKIP,36.0,False,3,False
SKIP,36.0,True,3,False
Hemokinesis,36.0,False,3,False
Cleave,36.0,False,3,False
Flex,36.0,False,3,False
SKIP,36.0,False,3,False
Good Instincts,37.0,True,3,False
Deep Breath,37.0,False,3,False
Forethought,37.0,False,3,False
SKIP,37.0,False,3,False
Violence,37.0,True,3,False
Blind,37.0,False,3,False
Swift Strike,37.0,False,3,False
SKIP,37.0,False,3,False
SKIP,37.0,True,3,False
Panache,37.0,False,3,False
HandOfGreed,37.0,False,3,False
Bandage Up,37.0,False,3,False
SKIP,37.0,False,3,False
SKIP,38.0,True,3,False
Sword Boomerang,38.0,False,3,False
Body Slam,38.0,False,3,False
Anger,38.0,False,3,False
SKIP,38.0,False,3,False
SKIP,39.0,True,3,False
Sword Boomerang,39.0,False,3,False
Warcry,39.0,False,3,False
Fire Breathing,39.0,False,3,False
SKIP,39.0,False,3,False
Disarm,40.0,True,3,False
Clothesline,40.0,False,3,False
Havoc,40.0,False,3,False
SKIP,40.0,False,3,False
Feel No Pain,42.0,True,3,False
Reckless Charge,42.0,False,3,False
Bloodletting,42.0,False,3,False
SKIP,42.0,False,3,False
Seeing Red,44.0,True,3,False
Spot Weakness,44.0,False,3,False
Dark Embrace,44.0,False,3,False
SKIP,44.0,False,3,False
Entrench,45.0,True,3,False
Anger,45.0,False,3,False
Twin Strike,45.0,False,3,False
SKIP,45.0,False,3,False
Sword Boomerang,46.0,True,3,False
Intimidate,46.0,False,3,False
Twin Strike,46.0,False,3,False
SKIP,46.0,False,3,False
Pommel Strike,48.0,True,3,False
Thunderclap,48.0,False,3,False
Searing Blow,48.0,False,3,False
SKIP,48.0,False,3,False
Exhume,55.0,True,4,False
Clash,55.0,False,4,False
Rupture,55.0,False,4,False
SKIP,55.0,False,4,False
Anger,1.0,True,1,False
Reckless Charge,1.0,False,1,False
Entrench,1.0,False,1,False
SKIP,1.0,False,1,False
Uppercut,2.0,True,1,False
Sword Boomerang,2.0,False,1,False
Flame Barrier,2.0,False,1,False
SKIP,2.0,False,1,False
Blood for Blood,3.0,True,1,False
Clash,3.0,False,1,False
Sword Boomerang,3.0,False,1,False
SKIP,3.0,False,1,False
Headbutt,6.0,True,1,False
Exhume,6.0,False,1,False
Body Slam,6.0,False,1,False
SKIP,6.0,False,1,False
SKIP,7.0,True,1,False
Searing Blow,7.0,False,1,False
Cleave,7.0,False,1,False
True Grit,7.0,False,1,False
SKIP,7.0,False,1,False
SKIP,7.0,True,1,False
Searing Blow,7.0,False,1,False
Cleave,7.0,False,1,False
True Grit,7.0,False,1,False
SKIP,7.0,False,1,False
Shrug It Off,8.0,True,1,False
Headbutt,8.0,False,1,False
Body Slam,8.0,False,1,False
SKIP,8.0,False,1,False
Feed,11.0,True,1,False
Combust,11.0,False,1,False
Evolve,11.0,False,1,False
SKIP,11.0,False,1,False
SKIP,12.0,True,1,False
Perfected Strike,12.0,False,1,False
Armaments,12.0,False,1,False
Sword Boomerang,12.0,False,1,False
SKIP,12.0,False,1,False
Feel No Pain,14.0,True,1,False
Perfected Strike,14.0,False,1,False
Evolve,14.0,False,1,False
SKIP,14.0,False,1,False
Reaper,16.0,True,1,True
Limit Break,16.0,False,1,True
Bludgeon,16.0,False,1,True
SKIP,16.0,False,1,True
Shrug It Off,18.0,True,2,False
Wild Strike,18.0,False,2,False
Iron Wave,18.0,False,2,False
SKIP,18.0,False,2,False
Havoc,19.0,True,2,False
Flex,19.0,False,2,False
Rampage,19.0,False,2,False
SKIP,19.0,False,2,False
SKIP,20.0,True,2,False
Carnage,20.0,False,2,False
Clothesline,20.0,False,2,False
Headbutt,20.0,False,2,False
SKIP,20.0,False,2,False
Hemokinesis,24.0,True,2,False
Reckless Charge,24.0,False,2,False
Carnage,24.0,False,2,False
SKIP,24.0,False,2,False
Seeing Red,27.0,True,2,False
Shrug It Off,27.0,False,2,False
Infernal Blade,27.0,False,2,False
SKIP,27.0,False,2,False
Bloodletting,28.0,True,2,False
Armaments,28.0,False,2,False
Iron Wave,28.0,False,2,False
SKIP,28.0,False,2,False
Shrug It Off,29.0,True,2,False
Rupture,29.0,False,2,False
Cleave,29.0,False,2,False
SKIP,29.0,False,2,False
Burning Pact,30.0,True,2,False
Havoc,30.0,False,2,False
Iron Wave,30.0,False,2,False
SKIP,30.0,False,2,False
SKIP,31.0,True,2,False
Bludgeon,31.0,False,2,False
Warcry,31.0,False,2,False
Flex,31.0,False,2,False
SKIP,31.0,False,2,False
Brutality,33.0,True,2,True
Juggernaut,33.0,False,2,True
Bludgeon,33.0,False,2,True
SKIP,33.0,False,2,True
Dropkick,35.0,True,3,False
Headbutt,35.0,False,3,False
Warcry,35.0,False,3,False
SKIP,35.0,False,3,False
Evolve,36.0,True,3,False
Havoc,36.0,False,3,False
Pummel,36.0,False,3,False
SKIP,36.0,False,3,False
SKIP,38.0,True,3,False
Feel No Pain,38.0,False,3,False
True Grit,38.0,False,3,False
Perfected Strike,38.0,False,3,False
SKIP,38.0,False,3,False
SKIP,38.0,True,3,False
Feel No Pain,38.0,False,3,False
True Grit,38.0,False,3,False
Perfected Strike,38.0,False,3,False
SKIP,38.0,False,3,False
SKIP,39.0,True,3,False
Sever Soul,39.0,False,3,False
Sword Boomerang,39.0,False,3,False
Flex,39.0,False,3,False
SKIP,39.0,False,3,False
Dropkick,40.0,True,3,False
Body Slam,40.0,False,3,False
Clash,40.0,False,3,False
SKIP,40.0,False,3,False
SKIP,41.0,True,3,False
Twin Strike,41.0,False,3,False
Perfected Strike,41.0,False,3,False
Anger,41.0,False,3,False
SKIP,41.0,False,3,False
SKIP,41.0,True,3,False
Twin Strike,41.0,False,3,False
Perfected Strike,41.0,False,3,False
Anger,41.0,False,3,False
SKIP,41.0,False,3,False
SKIP,42.0,True,3,False
Wild Strike,42.0,False,3,False
Rampage,42.0,False,3,False
Sword Boomerang,42.0,False,3,False
SKIP,42.0,False,3,False
SKIP,42.0,True,3,False
Wild Strike,42.0,False,3,False
Rampage,42.0,False,3,False
Sword Boomerang,42.0,False,3,False
SKIP,42.0,False,3,False
Armaments,45.0,True,3,False
Headbutt,45.0,False,3,False
Clash,45.0,False,3,False
SKIP,45.0,False,3,False
Power Through,47.0,True,3,False
Double Tap,47.0,False,3,False
Heavy Blade,47.0,False,3,False
SKIP,47.0,False,3,False
SKIP,48.0,True,3,False
Thunderclap,48.0,False,3,False
Wild Strike,48.0,False,3,False
Body Slam,48.0,False,3,False
SKIP,48.0,False,3,False
SKIP,55.0,True,4,False
Pommel Strike,55.0,False,4,False
Shrug It Off,55.0,False,4,False
Havoc,55.0,False,4,False
SKIP,55.0,False,4,False
Power Through,1.0,True,1,False
Rupture,1.0,False,1,False
Burning Pact,1.0,False,1,False
SKIP,1.0,False,1,False
Hemokinesis,3.0,True,1,False
Sever Soul,3.0,False,1,False
Perfected Strike,3.0,False,1,False
SKIP,3.0,False,1,False
Battle Trance,5.0,True,1,False
Warcry,5.0,False,1,False
Twin Strike,5.0,False,1,False
SKIP,5.0,False,1,False
Uppercut,7.0,True,1,False
Clothesline,7.0,False,1,False
Intimidate,7.0,False,1,False
