Card,Win
Body Slam,True
Sword Boomerang,True
Feed,True
Pommel Strike,True
Defend_R,True
Second Wind,True
Sentinel,True
Shrug It Off,True
Cleave,True
Dark Embrace,True
Exhume,True
Bite,True
Entrench,True
Pummel,True
Spot Weakness,True
Anger,True
Feel No Pain,True
Infernal Blade,True
Bash,True
Shockwave,True
Dual Wield,True
Seeing Red,True
Corruption,True
Violence,True
Disarm,True
Whirlwind,True
Good Instincts,True
Body Slam,False
Carnage,False
Feed,False
Second Wind,False
Power Through,False
Shrug It Off,False
Burning Pact,False
Brutality,False
Berserk,False
Uppercut,False
Evolve,False
Armaments,False
Dropkick,False
Blood for Blood,False
Feel No Pain,False
Inflame,False
Reaper,False
Infernal Blade,False
Hemokinesis,False
Bash,False
Headbutt,False
Shockwave,False
Seeing Red,False
Bloodletting,False
Immolate,False
Battle Trance,False
Havoc,False
Feed,False
Impervious,False
Pommel Strike,False
Defend_R,False
Power Through,False
Second Wind,False
Sentinel,False
Shrug It Off,False
Burning Pact,False
True Grit,False
Brutality,False
Uppercut,False
Armaments,False
Pummel,False
Blood for Blood,False
Offering,False
Feel No Pain,False
Inflame,False
Hemokinesis,False
Bash,False
Dual Wield,False
Seeing Red,False
Corruption,False
Clumsy,False
Bloodletting,False
Immolate,False
Battle Trance,False
Disarm,False
Havoc,False
Rage,True
Ghostly Armor,True
Sword Boomerang,True
Perfected Strike,True
Defend_R,True
Second Wind,True
Power Through,True
Shrug It Off,True
Burning Pact,True
Exhume,True
Entrench,True
Demon Form,True
Uppercut,True
Fiend Fire,True
PanicButton,True
Reaper,True
Bash,True
Dual Wield,True
Strike_R,True
Bloodletting,True
Immolate,True
Battle Trance,True
Clothesline,True
Barricade,True
Feed,False
Bloodletting,False
Double Tap,False
Pommel Strike,False
Defend_R,False
Bash,False
Blood for Blood,False
Battle Trance,False
Shockwave,False
Shrug It Off,False
Headbutt,False
Power Through,False
Combust,False
Feel No Pain,False
Bite,False
Exhume,False
Apparition,False
Pommel Strike,False
Defend_R,False
Power Through,False
Second Wind,False
Burning Pact,False
Demon Form,False
Uppercut,False
Pummel,False
Spot Weakness,False
PanicButton,False
Inflame,False
Reaper,False
Dark Shackles,False
Iron Wave,False
Bash,False
Shockwave,False
Strike_R,False
Bloodletting,False
Immolate,False
Battle Trance,False
Disarm,False
Sever Soul,False
Metallicize,False
Feed,True
Pommel Strike,True
Defend_R,True
Shrug It Off,True
Exhume,True
Dark Embrace,True
Brutality,True
Berserk,True
Evolve,True
Blood for Blood,True
Flame Barrier,True
Spot Weakness,True
Reaper,True
Infernal Blade,True
Hemokinesis,True
Iron Wave,True
Bash,True
Warcry,True
Shockwave,True
Strike_R,True
Bloodletting,True
Immolate,True
Battle Trance,True
Disarm,True
Barricade,True
Sword Boomerang,True
Feed,True
Pommel Strike,True
Defend_R,True
Madness,True
Sentinel,True
Shrug It Off,True
Dark Embrace,True
Entrench,True
Uppercut,True
Fiend Fire,True
Blood for Blood,True
Offering,True
Feel No Pain,True
Reaper,True
Inflame,True
Flex,True
Iron Wave,True
Headbutt,True
Shockwave,True
Twin Strike,True
Dual Wield,True
Disarm,True
Clothesline,True
Havoc,True
Reckless Charge,True
Pommel Strike,False
Defend_R,False
Second Wind,False
Power Through,False
Shrug It Off,False
Burning Pact,False
Demon Form,False
Uppercut,False
Fiend Fire,False
Offering,False
Flame Barrier,False
Anger,False
Hemokinesis,False
Bash,False
Headbutt,False
Warcry,False
Seeing Red,False
Strike_R,False
Bloodletting,False
Disarm,False
Whirlwind,False
Rage,False
Strike_R,False
Rupture,False
Perfected Strike,False
Defend_R,False
RitualDagger,False
Bash,False
Fiend Fire,False
Offering,False
True Grit,False
Shrug It Off,False
Cleave,False
Flame Barrier,False
Metallicize,False
Flex,False
