Enemy,Damage Taken
Shield and Spear,132.0
Shield and Spear,126.0
Giant Head,126.0
Donu and Deca,125.0
Donu and Deca,121.0
Nemesis,102.0
Reptomancer,100.0
Shield and Spear,95.0
The Heart,91.0
Shield and Spear,90.0
Awakened One,86.0
Automaton,80.0
The Heart,78.0
Time Eater,75.0
Automaton,73.0
Automaton,67.0
Hexaghost,65.0
Giant Head,65.0
Time Eater,61.0
The Heart,61.0
Reptomancer,60.0
Hexaghost,60.0
The Heart,58.0
Time Eater,57.0
Champ,57.0
Slavers,56.0
Champ,54.0
Shell Parasite,53.0
4 Shapes,52.0
Writhing Mass,50.0
Awakened One,49.0
The Guardian,49.0
Slavers,48.0
Book of Stabbing,47.0
The Heart,47.0
Jaw Worm Horde,47.0
Gremlin Nob,45.0
Book of Stabbing,44.0
Shield and Spear,44.0
3 Sentries,44.0
Time Eater,43.0
Chosen,42.0
Cultist and Chosen,41.0
Book of Stabbing,40.0
Time Eater,39.0
Gremlin Leader,38.0
Lagavulin,38.0
Champ,38.0
Giant Head,36.0
Champ,32.0
The Heart,31.0
The Guardian,31.0
Lots of Slimes,31.0
Gremlin Nob,30.0
Book of Stabbing,30.0
3 Darklings,30.0
4 Shapes,30.0
Awakened One,30.0
3 Darklings,30.0
Masked Bandits,30.0
Gremlin Nob,29.0
Donu and Deca,29.0
Shelled Parasite and Fungi,29.0
Centurion and Healer,28.0
4 Shapes,28.0
Book of Stabbing,28.0
Donu and Deca,27.0
Snake Plant,27.0
Gremlin Leader,27.0
Hexaghost,27.0
Reptomancer,27.0
3 Sentries,26.0
3 Sentries,26.0
Awakened One,26.0
Slavers,26.0
3 Darklings,25.0
3 Sentries,25.0
Snecko,25.0
3 Byrds,25.0
Exordium Thugs,25.0
Hexaghost,24.0
Maw,24.0
Gremlin Leader,24.0
2 Orb Walkers,24.0
3 Sentries,24.0
3 Darklings,24.0
Automaton,23.0
Shield and Spear,23.0
Slavers,23.0
Giant Head,23.0
Hexaghost,22.0
Centurion and Healer,22.0
Writhing Mass,22.0
Gremlin Leader,22.0
Sentry and Sphere,22.0
Hexaghost,21.0
Lagavulin,21.0
Reptomancer,21.0
Shelled Parasite and Fungi,21.0
3 Sentries,21.0
Snake Plant,20.0
Slavers,20.0
2 Orb Walkers,20.0
The Guardian,19.0
Sphere and 2 Shapes,19.0
Reptomancer,19.0
3 Sentries,19.0
Gremlin Nob,19.0
Spheric Guardian,18.0
Gremlin Leader,18.0
3 Shapes,18.0
Chosen,18.0
Small Slimes,18.0
Donu and Deca,18.0
Donu and Deca,18.0
4 Shapes,18.0
3 Darklings,18.0
Champ,18.0
Chosen and Byrds,18.0
Nemesis,17.0
Shelled Parasite and Fungi,17.0
4 Shapes,17.0
Lagavulin,17.0
Large Slime,17.0
2 Thieves,17.0
Lagavulin,17.0
3 Sentries,17.0
Slavers,16.0
3 Darklings,16.0
3 Louse,16.0
Book of Stabbing,16.0
2 Fungi Beasts,16.0
2 Thieves,16.0
Reptomancer,15.0
3 Cultists,15.0
Shell Parasite,14.0
2 Thieves,14.0
Awakened One,14.0
Shelled Parasite and Fungi,14.0
Lagavulin,14.0
Snake Plant,13.0
Gremlin Gang,13.0
Jaw Worm,13.0
Spheric Guardian,13.0
Nemesis,13.0
Maw,13.0
Cultist,12.0
Centurion and Healer,12.0
Giant Head,12.0
3 Cultists,12.0
Nemesis,12.0
Lots of Slimes,11.0
Large Slime,11.0
Snecko,11.0
3 Shapes,11.0
3 Shapes,11.0
Spheric Guardian,11.0
3 Sentries,11.0
Giant Head,11.0
2 Thieves,11.0
Writhing Mass,10.0
Sphere and 2 Shapes,10.0
2 Louse,10.0
Red Slaver,10.0
Nemesis,10.0
Sphere and 2 Shapes,10.0
3 Sentries,10.0
Blue Slaver,10.0
Jaw Worm Horde,10.0
Maw,10.0
3 Sentries,10.0
Jaw Worm,9.0
2 Fungi Beasts,9.0
Snake Plant,9.0
Masked Bandits,9.0
Gremlin Leader,9.0
Snake Plant,9.0
Small Slimes,9.0
Exordium Thugs,9.0
3 Shapes,9.0
Book of Stabbing,9.0
Snecko,8.0
3 Byrds,8.0
Giant Head,8.0
2 Louse,8.0
Small Slimes,8.0
Looter,8.0
2 Louse,8.0
Exordium Thugs,8.0
Blue Slaver,8.0
Chosen and Byrds,8.0
Slavers,7.0
2 Thieves,7.0
Mind Bloom Boss Battle,7.0
Spheric Guardian,7.0
Orb Walker,7.0
Nemesis,7.0
3 Shapes,7.0
Jaw Worm,7.0
Cultist,7.0
Book of Stabbing,7.0
Sphere and 2 Shapes,7.0
Small Slimes,7.0
Small Slimes,7.0
Snake Plant,7.0
Transient,6.0
Gremlin Leader,6.0
Gremlin Nob,6.0
Red Slaver,6.0
Cultist,6.0
Gremlin Nob,6.0
Writhing Mass,6.0
Orb Walker,6.0
Lots of Slimes,6.0
Giant Head,6.0
Gremlin Leader,6.0
Exordium Wildlife,6.0
Slime Boss,6.0
Jaw Worm,6.0
Reptomancer,6.0
Gremlin Leader,6.0
Maw,6.0
Shelled Parasite and Fungi,6.0
3 Byrds,5.0
Sentry and Sphere,5.0
Gremlin Gang,5.0
Gremlin Nob,5.0
Gremlin Gang,5.0
3 Byrds,5.0
Blue Slaver,4.0
Blue Slaver,4.0
Gremlin Nob,4.0
Small Slimes,4.0
Small Slimes,4.0
Gremlin Leader,4.0
Jaw Worm,4.0
2 Fungi Beasts,3.0
2 Louse,3.0
Cultist,3.0
Slavers,3.0
Chosen,3.0
2 Fungi Beasts,3.0
3 Shapes,3.0
Shield and Spear,3.0
3 Darklings,3.0
2 Louse,2.0
Lagavulin,2.0
Gremlin Nob,2.0
Jaw Worm,2.0
Centurion and Healer,2.0
Jaw Worm,2.0
Exordium Thugs,2.0
2 Louse,1.0
2 Louse,1.0
Blue Slaver,1.0
Cultist,1.0
2 Fungi Beasts,1.0
Cultist,1.0
Reptomancer,1.0
Cultist,1.0
3 Byrds,1.0
Nemesis,0.0
Small Slimes,0.0
Sentry and Sphere,0.0
Centurion and Healer,0.0
Mind Bloom Boss Battle,0.0
Large Slime,0.0
Lagavulin,0.0
Gremlin Leader,0.0
Exordium Thugs,0.0
Snecko,0.0
2 Louse,0.0
Exordium Thugs,0.0
3 Louse,0.0
Orb Walker,0.0
Orb Walker,0.0
Cultist and Chosen,0.0
Mind Bloom Boss Battle,0.0
Snake Plant,0.0
Chosen,0.0
Exordium Wildlife,0.0
4 Shapes,0.0
