Relic,Win
Burning Blood,True
Ornamental Fan,True
Self Forming Clay,True
Molten Egg 2,True
HornCleat,True
Philosopher's Stone,True
Anchor,True
Art of War,True
CaptainsWheel,True
Meat on the Bone,True
Runic Pyramid,True
Orrery,True
Darkstone Periapt,True
Omamori,True
Pen Nib,True
Boot,True
Mummified Hand,True
Bag of Marbles,True
Akabeko,True
Burning Blood,False
War Paint,False
Art of War,False
Ancient Tea Set,False
Coffee Dripper,False
TheAbacus,False
Shuriken,False
Strawberry,False
Bag of Preparation,False
Bottled Tornado,False
Pandora's Box,False
FossilizedHelix,False
Darkstone Periapt,False
Akabeko,False
Happy Flower,False
ClockworkSouvenir,False
Bronze Scales,False
Paper Frog,False
Burning Blood,False
Paper Frog,False
Oddly Smooth Stone,False
Bronze Scales,False
CeramicFish,False
Medical Kit,False
Astrolabe,False
Meat on the Bone,False
InkBottle,False
Regal Pillow,False
Smiling Mask,False
Red Skull,False
Cursed Key,False
DollysMirror,False
Blood Vial,False
Boot,False
Akabeko,False
Cauldron,False
Bottled Lightning,False
Burning Blood,True
MawBank,True
Anchor,True
Lantern,True
Bag of Preparation,True
Fusion Hammer,True
Enchiridion,True
Blue Candle,True
Dream Catcher,True
War Paint,True
Omamori,True
Snecko Eye,True
DollysMirror,True
HornCleat,True
Happy Flower,True
InkBottle,True
TheAbacus,True
Bronze Scales,True
Potion Belt,True
Ornamental Fan,True
Oddly Smooth Stone,True
Art of War,True
Burning Blood,False
Paper Frog,False
Turnip,False
CeramicFish,False
Boot,False
SlaversCollar,False
Red Mask,False
CaptainsWheel,False
Happy Flower,False
Centennial Puzzle,False
Anchor,False
Burning Blood,False
WarpedTongs,False
Strawberry,False
Dream Catcher,False
Potion Belt,False
SlaversCollar,False
Akabeko,False
MealTicket,False
Lantern,False
Bag of Preparation,False
Philosopher's Stone,False
Frozen Eye,False
CeramicFish,False
Happy Flower,False
Bronze Scales,False
Bird Faced Urn,False
Singing Bowl,False
Burning Blood,True
Self Forming Clay,True
Darkstone Periapt,True
Omamori,True
Toy Ornithopter,True
Red Skull,True
War Paint,True
Velvet Choker,True
Toolbox,True
Centennial Puzzle,True
Dead Branch,True
Boot,True
Fusion Hammer,True
InkBottle,True
Smiling Mask,True
Bag of Marbles,True
Shuriken,True
Burning Blood,True
Kunai,True
War Paint,True
The Courier,True
Toolbox,True
Centennial Puzzle,True
Runic Dome,True
Red Mask,True
Nilry's Codex,True
Juzu Bracelet,True
Ginger,True
Blue Candle,True
Boot,True
Philosopher's Stone,True
Oddly Smooth Stone,True
Mango,True
Nunchaku,True
Incense Burner,True
Bottled Flame,True
Burning Blood,False
Bag of Preparation,False
Orichalcum,False
Vajra,False
Nunchaku,False
Runic Cube,False
The Courier,False
Dream Catcher,False
Regal Pillow,False
PreservedInsect,False
Toolbox,False
Astrolabe,False
CaptainsWheel,False
Calipers,False
Pear,False
Bottled Tornado,False
Boot,False
Burning Blood,False
Pantograph,False
Frozen Egg 2,False
Centennial Puzzle,False
Golden Idol,False
Coffee Dripper,False
Gambling Chip,False
Peace Pipe,False
