Relic,Act,Picked,Win
Fusion Hammer,1,True,True
Empty Cage,1,False,True
Runic Dome,1,False,True
SlaversCollar,2,True,True
Busted Crown,2,False,True
Philosopher's Stone,2,False,True
Coffee Dripper,1,True,True
Busted Crown,1,False,True
SlaversCollar,1,False,True
Fusion Hammer,2,True,True
Velvet Choker,2,False,True
Sozu,2,False,True
Pandora's Box,1,True,True
SacredBark,1,False,True
Runic Dome,1,False,True
HoveringKite,2,True,True
Philosopher's Stone,2,False,True
Snecko Eye,2,False,True
Cursed Key,1,True,False
Ring of the Serpent,1,False,False
Tiny House,1,False,False
SlaversCollar,2,True,False
Velvet Choker,2,False,False
Empty Cage,2,False,False
Runic Dome,1,True,True
Tiny House,1,False,True
SacredBark,1,False,True
Fusion Hammer,2,True,True
Empty Cage,2,False,True
Snecko Eye,2,False,True
Ectoplasm,1,True,True
SacredBark,1,False,True
Tiny House,1,False,True
Runic Pyramid,2,True,True
HoveringKite,2,False,True
Ring of the Serpent,2,False,True
Philosopher's Stone,1,True,False
Black Star,1,False,False
Ring of the Serpent,1,False,False
HoveringKite,1,True,True
Coffee Dripper,1,False,True
Runic Dome,1,False,True
Calling Bell,2,True,True
WristBlade,2,False,True
Busted Crown,2,False,True
