Card,Floor,Picked,Act,Boss
Terror,1.0,True,1,False
Bane,1.0,False,1,False
Dagger Throw,1.0,False,1,False
SKIP,1.0,False,1,False
Underhanded Strike,2.0,True,1,False
Outmaneuver,2.0,False,1,False
Bouncing Flask,2.0,False,1,False
SKIP,2.0,False,1,False
Poisoned Stab,3.0,True,1,False
Choke,3.0,False,1,False
Deflect,3.0,False,1,False
SKIP,3.0,False,1,False
Backflip,6.0,True,1,False
Outmaneuver,6.0,False,1,False
Dodge and Roll,6.0,False,1,False
SKIP,6.0,False,1,False
Doppelganger,11.0,True,1,False
Escape Plan,11.0,False,1,False
Dagger Spray,11.0,False,1,False
SKIP,11.0,False,1,False
SKIP,12.0,True,1,False
Quick Slash,12.0,False,1,False
Outmaneuver,12.0,False,1,False
Underhanded Strike,12.0,False,1,False
SKIP,12.0,False,1,False
SKIP,14.0,True,1,False
Bouncing Flask,14.0,False,1,False
Bane,14.0,False,1,False
Dagger Throw,14.0,False,1,False
SKIP,14.0,False,1,False
Tools of the Trade,16.0,True,1,True
Corpse Explosion,16.0,False,1,True
Night Terror,16.0,False,1,True
SKIP,16.0,False,1,True
Calculated Gamble,18.0,True,2,False
Poisoned Stab,18.0,False,2,False
Prepared,18.0,False,2,False
SKIP,18.0,False,2,False
Tactician,22.0,True,2,False
Bouncing Flask,22.0,False,2,False
Escape Plan,22.0,False,2,False
SKIP,22.0,False,2,False
Backflip,23.0,True,2,False
Deadly Poison,23.0,False,2,False
Masterful Stab,23.0,False,2,False
SKIP,23.0,False,2,False
Backflip,24.0,True,2,False
Poisoned Stab,24.0,False,2,False
Flying Knee,24.0,False,2,False
SKIP,24.0,False,2,False
Predator,25.0,True,2,False
Deflect,25.0,False,2,False
Unload,25.0,False,2,False
SKIP,25.0,False,2,False
Outmaneuver,27.0,True,2,False
Dagger Throw,27.0,False,2,False
Bullet Time,27.0,False,2,False
SKIP,27.0,False,2,False
Acrobatics,29.0,True,2,False
Sucker Punch,29.0,False,2,False
Skewer,29.0,False,2,False
SKIP,29.0,False,2,False
Prepared,30.0,True,2,False
Infinite Blades,30.0,False,2,False
Dagger Throw,30.0,False,2,False
SKIP,30.0,False,2,False
Underhanded Strike,31.0,True,2,False
Backflip,31.0,False,2,False
Poisoned Stab,31.0,False,2,False
SKIP,31.0,False,2,False
Wraith Form,33.0,True,2,True
Night Terror,33.0,False,2,True
Tools of the Trade,33.0,False,2,True
SKIP,33.0,False,2,True
Sucker Punch,35.0,True,3,False
Crippling Poison,35.0,False,3,False
Blade Dance,35.0,False,3,False
SKIP,35.0,False,3,False
Catalyst,36.0,True,3,False
Dagger Throw,36.0,False,3,False
Concentrate,36.0,False,3,False
SKIP,36.0,False,3,False
SKIP,39.0,True,3,False
Impatience,39.0,False,3,False
Deep Breath,39.0,False,3,False
Trip,39.0,False,3,False
SKIP,39.0,False,3,False
Footwork,40.0,True,3,False
Masterful Stab,40.0,False,3,False
Outmaneuver,40.0,False,3,False
SKIP,40.0,False,3,False
Deflect,41.0,True,3,False
Masterful Stab,41.0,False,3,False
Catalyst,41.0,False,3,False
SKIP,41.0,False,3,False
SKIP,42.0,True,3,False
Infinite Blades,42.0,False,3,False
Quick Slash,42.0,False,3,False
Poisoned Stab,42.0,False,3,False
SKIP,42.0,False,3,False
Reflex,45.0,True,3,False
Flechettes,45.0,False,3,False
Blur,45.0,False,3,False
SKIP,45.0,False,3,False
PiercingWail,47.0,True,3,False
Deadly Poison,47.0,False,3,False
Escape Plan,47.0,False,3,False
SKIP,47.0,False,3,False
PiercingWail,48.0,True,3,False
Dash,48.0,False,3,False
Distraction,48.0,False,3,False
SKIP,48.0,False,3,False
Acrobatics,55.0,True,4,False
Deflect,55.0,False,4,False
Alchemize,55.0,False,4,False
SKIP,55.0,False,4,False
SKIP,1.0,True,1,False
Deflect,1.0,False,1,False
Bane,1.0,False,1,False
Accuracy,1.0,False,1,False
SKIP,1.0,False,1,False
Dagger Spray,3.0,True,1,False
Underhanded Strike,3.0,False,1,False
Well Laid Plans,3.0,False,1,False
SKIP,3.0,False,1,False
Dagger Spray,4.0,True,1,False
Outmaneuver,4.0,False,1,False
Prepared,4.0,False,1,False
SKIP,4.0,False,1,False
Sucker Punch,5.0,True,1,False
Slice,5.0,False,1,False
Caltrops,5.0,False,1,False
SKIP,5.0,False,1,False
Backflip,6.0,True,1,False
Accuracy,6.0,False,1,False
Caltrops,6.0,False,1,False
Singing Bowl,6.0,False,1,False
Singing Bowl,7.0,True,1,False
Deadly Poison,7.0,False,1,False
Quick Slash,7.0,False,1,False
Sucker Punch,7.0,False,1,False
Singing Bowl,7.0,False,1,False
Wraith Form,8.0,True,1,False
Backstab,8.0,False,1,False
Eviscerate,8.0,False,1,False
Singing Bowl,8.0,False,1,False
Bullet Time,10.0,True,1,False
Burst,10.0,False,1,False
Deadly Poison,10.0,False,1,False
Singing Bowl,10.0,False,1,False
PiercingWail,13.0,True,1,False
Dagger Throw,13.0,False,1,False
Well Laid Plans,13.0,False,1,False
Singing Bowl,13.0,False,1,False
Die Die Die,16.0,True,1,True
Malaise,16.0,False,1,True
A Thousand Cuts,16.0,False,1,True
Singing Bowl,16.0,False,1,True
PiercingWail,18.0,True,2,False
Skewer,18.0,False,2,False
Deadly Poison,18.0,False,2,False
