Card,Win
Tools of the Trade,True
Outmaneuver,True
Deflect,True
Footwork,True
Necronomicurse,True
Catalyst,True
Prepared,True
Calculated Gamble,True
Dagger Throw,True
PiercingWail,True
Wraith Form,True
Blur,True
Tactician,True
Predator,True
Sucker Punch,True
Terror,True
Backflip,True
Survivor,True
Defend_G,True
Poisoned Stab,True
Neutralize,True
Acrobatics,True
Underhanded Strike,True
Doppelganger,True
Reflex,True
Blade Dance,True
Leg Sweep,True
Escape Plan,True
Prepared,True
Calculated Gamble,True
PiercingWail,True
Expertise,True
Burst,True
Wraith Form,True
Backstab,True
Sucker Punch,True
Grand Finale,True
Terror,True
Backflip,True
Survivor,True
Well Laid Plans,True
Die Die Die,True
Defend_G,True
Bullet Time,True
Neutralize,True
Strike_G,True
Dagger Spray,True
Acrobatics,True
Tactician,False
Adrenaline,False
Defend_G,False
Endless Agony,False
Poisoned Stab,False
Acrobatics,False
Strike_G,False
Neutralize,False
Leg Sweep,False
Eviscerate,False
Slice,False
Survivor,False
Blade Dance,True
Endless Agony,True
Tools of the Trade,True
Footwork,True
Setup,True
Catalyst,True
Prepared,True
Apotheosis,True
Calculated Gamble,True
Dash,True
Dagger Throw,True
PiercingWail,True
Backstab,True
Tactician,True
Malaise,True
Quick Slash,True
Flying Knee,True
Predator,True
Crippling Poison,True
Grand Finale,True
Alchemize,True
Backflip,True
Survivor,True
Well Laid Plans,True
Adrenaline,True
Poisoned Stab,True
Neutralize,True
Acrobatics,True
A Thousand Cuts,True
Blade Dance,False
PanicButton,False
Leg Sweep,False
Catalyst,False
Dash,False
Noxious Fumes,False
Wraith Form,False
Malaise,False
Quick Slash,False
Flying Knee,False
After Image,False
Shame,False
Alchemize,False
Magnetism,False
Bouncing Flask,False
Backflip,False
Survivor,False
Defend_G,False
Bullet Time,False
Neutralize,False
Strike_G,False
Dagger Spray,False
Acrobatics,False
Writhe,False
Blade Dance,True
PanicButton,True
Finisher,True
All Out Attack,True
Deflect,True
Leg Sweep,True
Footwork,True
Slice,True
Apotheosis,True
Calculated Gamble,True
Dash,True
PiercingWail,True
Wraith Form,True
Predator,True
Eviscerate,True
Bouncing Flask,True
Backflip,True
Survivor,True
Well Laid Plans,True
Defend_G,True
Neutralize,True
Strike_G,True
Dagger Spray,True
Acrobatics,True
Reflex,True
Blade Dance,True
Deflect,True
Footwork,True
Dodge and Roll,True
Setup,True
Corpse Explosion,True
Apotheosis,True
Calculated Gamble,True
Dagger Throw,True
PiercingWail,True
Burst,True
Wraith Form,True
Backstab,True
Malaise,True
Predator,True
Shame,True
Deadly Poison,True
Terror,True
Survivor,True
Defend_G,True
Neutralize,True
Strike_G,True
Dagger Spray,True
Reflex,True
Defend_G,False
Tools of the Trade,False
Poisoned Stab,False
Neutralize,False
Strike_G,False
Dagger Spray,False
All Out Attack,False
Corpse Explosion,False
Acrobatics,False
Endless Agony,False
PiercingWail,False
Footwork,False
Burst,False
Backflip,False
Backstab,False
Survivor,False
Blade Dance,False
Defend_G,False
Neutralize,False
Strike_G,False
Predator,False
Calculated Gamble,False
Deflect,False
Dagger Throw,False
PiercingWail,False
Terror,False
Survivor,False
PanicButton,True
Tools of the Trade,True
Bite,True
Outmaneuver,True
Leg Sweep,True
Dodge and Roll,True
Slice,True
Night Terror,True
Calculated Gamble,True
Dash,True
Noxious Fumes,True
PiercingWail,True
Backstab,True
Flying Knee,True
CurseOfTheBell,True
Phantasmal Killer,True
Eviscerate,True
Terror,True
Backflip,True
Survivor,True
Well Laid Plans,True
Defend_G,True
Neutralize,True
Acrobatics,True
Glass Knife,True
Underhanded Strike,True
