Enemy,Damage Taken
Awakened One,111.0
The Heart,71.0
The Heart,66.0
The Heart,65.0
Reptomancer,63.0
The Heart,58.0
Slime Boss,56.0
3 Darklings,55.0
Exordium Wildlife,39.0
Collector,38.0
3 Sentries,37.0
Gremlin Nob,36.0
Slavers,35.0
Slime Boss,34.0
Shelled Parasite and Fungi,30.0
The Guardian,29.0
Lagavulin,28.0
Time Eater,28.0
Slavers,26.0
Collector,25.0
Cultist and Chosen,25.0
Lagavulin,25.0
Transient,24.0
Donu and Deca,24.0
The Guardian,23.0
Awakened One,22.0
Slavers,22.0
Shelled Parasite and Fungi,22.0
3 Sentries,20.0
Reptomancer,20.0
Gremlin Nob,19.0
The Heart,19.0
Spheric Guardian,19.0
Automaton,18.0
Shelled Parasite and Fungi,18.0
Gremlin Gang,18.0
Nemesis,18.0
The Guardian,17.0
Lagavulin,17.0
3 Sentries,17.0
Giant Head,17.0
Exordium Thugs,17.0
Lagavulin,16.0
Collector,16.0
Time Eater,16.0
Centurion and Healer,16.0
3 Sentries,16.0
Shelled Parasite and Fungi,15.0
3 Sentries,15.0
Hexaghost,15.0
Snake Plant,15.0
Gremlin Leader,15.0
Exordium Thugs,14.0
3 Darklings,13.0
Blue Slaver,13.0
3 Cultists,13.0
Masked Bandits,12.0
Gremlin Nob,11.0
Jaw Worm,11.0
Gremlin Leader,11.0
Reptomancer,11.0
Snake Plant,11.0
Cultist,11.0
Book of Stabbing,10.0
Shell Parasite,10.0
Sentry and Sphere,10.0
Gremlin Nob,10.0
Lagavulin,10.0
Shell Parasite,10.0
3 Louse,9.0
Book of Stabbing,9.0
Large Slime,8.0
Blue Slaver,8.0
Giant Head,8.0
Book of Stabbing,8.0
3 Louse,8.0
The Mushroom Lair,8.0
Spheric Guardian,8.0
3 Darklings,8.0
Lots of Slimes,7.0
Lagavulin,7.0
Looter,7.0
Time Eater,7.0
3 Sentries,7.0
Small Slimes,7.0
Spheric Guardian,7.0
Collector,7.0
Exordium Wildlife,7.0
Slavers,7.0
3 Sentries,7.0
Gremlin Nob,7.0
Lagavulin,7.0
Donu and Deca,7.0
Lots of Slimes,7.0
Shield and Spear,7.0
Awakened One,6.0
Jaw Worm,6.0
Lagavulin,6.0
2 Louse,6.0
Cultist,6.0
Shield and Spear,6.0
Jaw Worm,6.0
Spheric Guardian,6.0
Reptomancer,6.0
Gremlin Nob,6.0
Giant Head,5.0
Orb Walker,5.0
Shell Parasite,5.0
Cultist and Chosen,5.0
2 Thieves,4.0
Snecko,4.0
2 Louse,4.0
Small Slimes,4.0
Large Slime,4.0
Looter,4.0
Small Slimes,3.0
Donu and Deca,3.0
Shield and Spear,3.0
Shell Parasite,3.0
The Heart,3.0
3 Darklings,3.0
Shell Parasite,3.0
Small Slimes,2.0
3 Cultists,2.0
Jaw Worm,2.0
Jaw Worm,2.0
Cultist,2.0
Gremlin Nob,2.0
Champ,2.0
Jaw Worm,2.0
Gremlin Leader,2.0
3 Darklings,2.0
Book of Stabbing,2.0
2 Louse,2.0
2 Louse,1.0
Cultist,1.0
Exordium Wildlife,1.0
Looter,1.0
Awakened One,1.0
Nemesis,1.0
Looter,1.0
Orb Walker,1.0
Time Eater,1.0
Shield and Spear,1.0
Cultist and Chosen,1.0
Reptomancer,1.0
4 Shapes,1.0
3 Shapes,1.0
Small Slimes,1.0
2 Fungi Beasts,1.0
Jaw Worm,0.0
Nemesis,0.0
2 Fungi Beasts,0.0
Exordium Wildlife,0.0
2 Louse,0.0
Awakened One,0.0
3 Shapes,0.0
Time Eater,0.0
Reptomancer,0.0
Orb Walker,0.0
Nemesis,0.0
Writhing Mass,0.0
Cultist,0.0
Giant Head,0.0
Maw,0.0
2 Fungi Beasts,0.0
Champ,0.0
Book of Stabbing,0.0
2 Louse,0.0
Large Slime,0.0
Spire Growth,0.0
Gremlin Nob,0.0
3 Byrds,0.0
Jaw Worm Horde,0.0
4 Shapes,0.0
Chosen,0.0
Gremlin Leader,0.0
Book of Stabbing,0.0
2 Louse,0.0
Gremlin Leader,0.0
Gremlin Leader,0.0
3 Cultists,0.0
Chosen,0.0
Chosen and Byrds,0.0
Slime Boss,0.0
Blue Slaver,0.0
Lots of Slimes,0.0
Slavers,0.0
Cultist,0.0
The Guardian,0.0
2 Louse,0.0
The Guardian,0.0
Red Slaver,0.0
Spire Growth,0.0
Orb Walker,0.0
2 Orb Walkers,0.0
3 Darklings,0.0
Chosen and Byrds,0.0
Book of Stabbing,0.0
Gremlin Leader,0.0
Snecko,0.0
Looter,0.0
3 Louse,0.0
The Guardian,0.0
Shelled Parasite and Fungi,0.0
Exordium Wildlife,0.0
Looter,0.0
Chosen,0.0
Cultist,0.0
3 Cultists,0.0
Mind Bloom Boss Battle,0.0
Nemesis,0.0
Writhing Mass,0.0
Spire Growth,0.0
Spire Growth,0.0
Jaw Worm,0.0
Jaw Worm Horde,0.0
Shield and Spear,0.0
Small Slimes,0.0
2 Louse,0.0
3 Darklings,0.0
Spire Growth,0.0
Reptomancer,0.0
Nemesis,0.0
Writhing Mass,0.0
Giant Head,0.0
Transient,0.0
Chosen,0.0
Mind Bloom Boss Battle,0.0
Orb Walker,0.0
Jaw Worm Horde,0.0
Snecko,0.0
Snake Plant,0.0
Gremlin Leader,0.0
Chosen and Byrds,0.0
Nemesis,0.0
3 Darklings,0.0
2 Thieves,0.0
Transient,0.0
Nemesis,0.0
3 Sentries,0.0
Red Slaver,0.0
Shield and Spear,0.0
3 Shapes,0.0
