Relic,Win
Ring of the Snake,True
Oddly Smooth Stone,True
Mercury Hourglass,True
Incense Burner,True
Gremlin Horn,True
Fusion Hammer,True
Necronomicon,True
Pen Nib,True
Blue Candle,True
PreservedInsect,True
StrikeDummy,True
Nunchaku,True
SlaversCollar,True
Mark of the Bloom,True
Chemical X,True
Darkstone Periapt,True
Pear,True
Potion Belt,True
Anchor,True
Du-Vu Doll,True
Ring of the Snake,True
Singing Bowl,True
StrikeDummy,True
Meat on the Bone,True
HornCleat,True
Coffee Dripper,True
Red Mask,True
Lantern,True
Shuriken,True
Kunai,True
FossilizedHelix,True
TwistedFunnel,True
Fusion Hammer,True
Vajra,True
Torii,True
Strawberry,True
CaptainsWheel,True
OrangePellets,True
Centennial Puzzle,True
Bottled Tornado,True
Bronze Scales,True
Ring of the Snake,False
MealTicket,False
MawBank,False
Pen Nib,False
Centennial Puzzle,False
Ring of the Snake,True
Mummified Hand,True
StoneCalendar,True
White Beast Statue,True
Orichalcum,True
Pandora's Box,True
Incense Burner,True
Ginger,True
Lizard Tail,True
HoveringKite,True
WingedGreaves,True
Lantern,True
Regal Pillow,True
Bottled Tornado,True
Art of War,True
Paper Crane,True
Ring of the Snake,False
Happy Flower,False
CeramicFish,False
Akabeko,False
Cursed Key,False
Chemical X,False
Nunchaku,False
Bottled Lightning,False
Gremlin Horn,False
Mummified Hand,False
SlaversCollar,False
Mango,False
Lizard Tail,False
Ring of the Snake,True
Golden Idol,True
Nunchaku,True
Vajra,True
Happy Flower,True
Bottled Flame,True
Runic Dome,True
MutagenicStrength,True
OrangePellets,True
Lantern,True
Oddly Smooth Stone,True
Snake Skull,True
Bottled Lightning,True
Ninja Scroll,True
Fusion Hammer,True
Tough Bandages,True
Bag of Marbles,True
Akabeko,True
Ginger,True
Frozen Eye,True
Bronze Scales,True
Red Mask,True
Toy Ornithopter,True
Ring of the Snake,True
Mercury Hourglass,True
Darkstone Periapt,True
Eternal Feather,True
Ectoplasm,True
Oddly Smooth Stone,True
FossilizedHelix,True
Akabeko,True
Lizard Tail,True
Runic Pyramid,True
The Specimen,True
Boot,True
StrikeDummy,True
Frozen Egg 2,True
Letter Opener,True
Ring of the Snake,False
Eternal Feather,False
Pantograph,False
The Courier,False
Philosopher's Stone,False
Ring of the Snake,False
Golden Idol,False
Vajra,False
Odd Mushroom,False
Singing Bowl,False
Snake Skull,False
Ring of the Snake,True
Mercury Hourglass,True
Strawberry,True
Singing Bowl,True
HoveringKite,True
Snake Skull,True
MutagenicStrength,True
Centennial Puzzle,True
Anchor,True
Pen Nib,True
CeramicFish,True
Calling Bell,True
Oddly Smooth Stone,True
Paper Crane,True
TungstenRod,True
Toolbox,True
Blue Candle,True
War Paint,True
Nunchaku,True
Darkstone Periapt,True
Toy Ornithopter,True
