Relic,Act,Picked,Win
Runic Cube,1,True,True
Empty Cage,1,False,True
Mark of Pain,1,False,True
Calling Bell,2,True,True
Tiny House,2,False,True
Coffee Dripper,2,False,True
Snecko Eye,1,True,True
Fusion Hammer,1,False,True
Philosopher's Stone,1,False,True
Empty Cage,2,True,True
Mark of Pain,2,False,True
Runic Dome,2,False,True
Snecko Eye,1,True,True
Velvet Choker,1,False,True
SacredBark,1,False,True
Fusion Hammer,2,True,True
Runic Dome,2,False,True
Busted Crown,2,False,True
Calling Bell,1,True,True
Mark of Pain,1,False,True
Empty Cage,1,False,True
Fusion Hammer,2,True,True
Philosopher's Stone,2,False,True
Runic Cube,2,False,True
Coffee Dripper,1,True,False
Ectoplasm,1,False,False
Calling Bell,1,False,False
Runic Dome,2,True,False
Sozu,2,False,False
Velvet Choker,2,False,False
Philosopher's Stone,1,True,True
Cursed Key,1,False,True
Black Star,1,False,True
Pandora's Box,2,True,True
Runic Cube,2,False,True
Calling Bell,2,False,True
Cursed Key,1,True,False
Runic Dome,1,False,False
SlaversCollar,1,False,False
Philosopher's Stone,1,True,False
Cursed Key,1,False,False
Runic Cube,1,False,False
Calling Bell,2,True,False
SacredBark,2,False,False
Black Blood,2,False,False
Snecko Eye,1,True,True
Busted Crown,1,False,True
Empty Cage,1,False,True
Coffee Dripper,2,True,True
Runic Cube,2,False,True
Fusion Hammer,2,False,True
Astrolabe,1,True,True
Tiny House,1,False,True
Mark of Pain,1,False,True
Cursed Key,2,True,True
Black Blood,2,False,True
Empty Cage,2,False,True
Coffee Dripper,1,True,False
Philosopher's Stone,1,False,False
Calling Bell,1,False,False
Snecko Eye,1,True,True
Philosopher's Stone,1,False,True
Busted Crown,1,False,True
SlaversCollar,2,True,True
Sozu,2,False,True
Cursed Key,2,False,True
Pandora's Box,1,True,False
Black Star,1,False,False
Ectoplasm,1,False,False
Runic Pyramid,2,True,False
Coffee Dripper,2,False,False
Fusion Hammer,2,False,False
Snecko Eye,1,True,True
