Card,Floor,Picked,Act,Boss
Uppercut,1.0,True,1,False
Flex,1.0,False,1,False
Ghostly Armor,1.0,False,1,False
SKIP,1.0,False,1,False
Battle Trance,2.0,True,1,False
Inflame,2.0,False,1,False
Disarm,2.0,False,1,False
SKIP,2.0,False,1,False
SKIP,4.0,True,1,False
Flex,4.0,False,1,False
Cleave,4.0,False,1,False
Wild Strike,4.0,False,1,False
SKIP,4.0,False,1,False
SKIP,5.0,True,1,False
Body Slam,5.0,False,1,False
Twin Strike,5.0,False,1,False
Sword Boomerang,5.0,False,1,False
SKIP,5.0,False,1,False
Corruption,7.0,True,1,False
Headbutt,7.0,False,1,False
Searing Blow,7.0,False,1,False
SKIP,7.0,False,1,False
Armaments,8.0,True,1,False
Wild Strike,8.0,False,1,False
Body Slam,8.0,False,1,False
SKIP,8.0,False,1,False
Power Through,10.0,True,1,False
Havoc,10.0,False,1,False
Thunderclap,10.0,False,1,False
SKIP,10.0,False,1,False
Flame Barrier,12.0,True,1,False
Pommel Strike,12.0,False,1,False
Perfected Strike,12.0,False,1,False
SKIP,12.0,False,1,False
Offering,13.0,True,1,False
Pommel Strike,13.0,False,1,False
Sword Boomerang,13.0,False,1,False
SKIP,13.0,False,1,False
Offering,16.0,True,1,True
Berserk,16.0,False,1,True
Bludgeon,16.0,False,1,True
SKIP,16.0,False,1,True
Flame Barrier,18.0,True,2,False
Armaments,18.0,False,2,False
Twin Strike,18.0,False,2,False
SKIP,18.0,False,2,False
Disarm,23.0,True,2,False
True Grit,23.0,False,2,False
Flex,23.0,False,2,False
SKIP,23.0,False,2,False
SKIP,24.0,True,2,False
Metallicize,24.0,False,2,False
Dropkick,24.0,False,2,False
Searing Blow,24.0,False,2,False
SKIP,24.0,False,2,False
Blood for Blood,25.0,True,2,False
Uppercut,25.0,False,2,False
Sever Soul,25.0,False,2,False
SKIP,25.0,False,2,False
Impervious,27.0,True,2,False
Thunderclap,27.0,False,2,False
Cleave,27.0,False,2,False
Sword Boomerang,27.0,False,2,False
SKIP,27.0,False,2,False
Dual Wield,29.0,True,2,False
Sword Boomerang,29.0,False,2,False
Havoc,29.0,False,2,False
Clothesline,29.0,False,2,False
SKIP,29.0,False,2,False
SKIP,30.0,True,2,False
Clash,30.0,False,2,False
Warcry,30.0,False,2,False
Wild Strike,30.0,False,2,False
True Grit,30.0,False,2,False
SKIP,30.0,False,2,False
Exhume,31.0,True,2,False
Combust,31.0,False,2,False
Clash,31.0,False,2,False
Second Wind,31.0,False,2,False
SKIP,31.0,False,2,False
Barricade,33.0,True,2,True
Bludgeon,33.0,False,2,True
Limit Break,33.0,False,2,True
Berserk,33.0,False,2,True
SKIP,33.0,False,2,True
Warcry,35.0,True,3,False
Sever Soul,35.0,False,3,False
Clothesline,35.0,False,3,False
True Grit,35.0,False,3,False
SKIP,35.0,False,3,False
SKIP,38.0,True,3,False
Rage,38.0,False,3,False
Armaments,38.0,False,3,False
Havoc,38.0,False,3,False
Iron Wave,38.0,False,3,False
SKIP,38.0,False,3,False
Reaper,40.0,True,3,False
Iron Wave,40.0,False,3,False
Clash,40.0,False,3,False
Battle Trance,40.0,False,3,False
SKIP,40.0,False,3,False
SKIP,42.0,True,3,False
Hemokinesis,42.0,False,3,False
Clash,42.0,False,3,False
Searing Blow,42.0,False,3,False
Cleave,42.0,False,3,False
SKIP,42.0,False,3,False
Shrug It Off,44.0,True,3,False
Cleave,44.0,False,3,False
Havoc,44.0,False,3,False
Heavy Blade,44.0,False,3,False
SKIP,44.0,False,3,False
SKIP,45.0,True,3,False
Body Slam,45.0,False,3,False
Hemokinesis,45.0,False,3,False
Havoc,45.0,False,3,False
Uppercut,45.0,False,3,False
SKIP,45.0,False,3,False
Spot Weakness,46.0,True,3,False
Anger,46.0,False,3,False
Cleave,46.0,False,3,False
Inflame,46.0,False,3,False
SKIP,46.0,False,3,False
Headbutt,47.0,True,3,False
Uppercut,47.0,False,3,False
Armaments,47.0,False,3,False
Metallicize,47.0,False,3,False
SKIP,47.0,False,3,False
Ghostly Armor,48.0,True,3,False
Rupture,48.0,False,3,False
Demon Form,48.0,False,3,False
Pommel Strike,48.0,False,3,False
SKIP,48.0,False,3,False
Sentinel,55.0,True,4,False
Sword Boomerang,55.0,False,4,False
