Card,Win
Body Slam,True
Corruption,True
CurseOfTheBell,True
Barricade,True
Spot Weakness,True
Exhume,True
Battle Trance,True
Armaments,True
Sentinel,True
Immolate,True
Writhe,True
Disarm,True
Defend_R,True
Whirlwind,True
Doubt,True
Blood for Blood,True
Warcry,True
Seeing Red,True
Uppercut,True
Dark Shackles,True
Flame Barrier,True
Bash,True
Dual Wield,True
Ghostly Armor,True
Strike_R,True
Shame,True
Offering,True
Impervious,True
Bloodletting,True
Entrench,True
Reaper,True
Headbutt,True
Dark Embrace,True
Shrug It Off,True
Power Through,True
Feel No Pain,True
Second Wind,True
Apparition,True
Body Slam,True
Corruption,True
Barricade,True
Mayhem,True
Exhume,True
Battle Trance,True
True Grit,True
HandOfGreed,True
Disarm,True
Demon Form,True
Defend_R,True
Pommel Strike,True
Magnetism,True
Uppercut,True
Bash,True
Shockwave,True
Ghostly Armor,True
Strike_R,True
Inflame,True
Offering,True
Impervious,True
Entrench,True
Headbutt,True
Dark Embrace,True
Power Through,True
Corruption,True
Barricade,True
Fiend Fire,True
Armaments,True
Battle Trance,True
Defend_R,True
Evolve,True
Pommel Strike,True
Whirlwind,True
Seeing Red,True
Hemokinesis,True
Dark Shackles,True
Bash,True
Dual Wield,True
Inflame,True
Rage,True
Impervious,True
Reaper,True
Dark Embrace,True
Shrug It Off,True
Body Slam,True
CurseOfTheBell,True
Thunderclap,True
Fiend Fire,True
Exhume,True
Armaments,True
Disarm,True
Demon Form,True
Defend_R,True
Burning Pact,True
Evolve,True
Whirlwind,True
Seeing Red,True
Pommel Strike,True
Warcry,True
Blood for Blood,True
Anger,True
Intimidate,True
Shockwave,True
Rage,True
Offering,True
Flex,True
Carnage,True
Reaper,True
Headbutt,True
Dark Embrace,True
Shrug It Off,True
Corruption,False
Armaments,False
Disarm,False
Demon Form,False
Defend_R,False
Burning Pact,False
Evolve,False
Pommel Strike,False
Uppercut,False
Bash,False
Shockwave,False
Strike_R,False
Inflame,False
Impervious,False
Parasite,False
Clothesline,False
Twin Strike,False
Clash,False
Shrug It Off,False
Armaments,False
Offering,False
Secret Weapon,False
Bash,False
Wild Strike,False
Defend_R,False
Iron Wave,False
Carnage,False
Strike_R,False
Headbutt,False
Shrug It Off,False
Feel No Pain,True
Second Wind,True
Barricade,True
Spot Weakness,True
Battle Trance,True
Brutality,True
Burning Pact,True
Feed,True
Evolve,True
Whirlwind,True
Warcry,True
Seeing Red,True
Pommel Strike,True
Uppercut,True
Anger,True
Havoc,True
Bash,True
Shockwave,True
Ghostly Armor,True
Rage,True
Reckless Charge,True
Offering,True
Impervious,True
Dropkick,True
Carnage,True
Dark Embrace,True
Shrug It Off,True
Anger,False
Bash,False
Body Slam,False
Defend_R,False
Strike_R,False
Anger,False
Armaments,False
Double Tap,False
Pummel,False
Bash,False
Power Through,False
Evolve,False
Defend_R,False
Carnage,False
Ghostly Armor,False
Metallicize,False
Spot Weakness,False
Pommel Strike,False
Feed,False
Whirlwind,False
Shrug It Off,False
Berserk,False
Feel No Pain,False
Master of Strategy,False
Second Wind,False
CurseOfTheBell,False
Apotheosis,False
Fiend Fire,False
Battle Trance,False
Disarm,False
Defend_R,False
Iron Wave,False
Burning Pact,False
Hemokinesis,False
Anger,False
Dark Shackles,False
Bash,False
Dual Wield,False
Strike_R,False
Impervious,False
Bloodletting,False
Blind,False
Carnage,False
Reaper,False
Headbutt,False
Dark Embrace,False
Shrug It Off,False
Feel No Pain,True
Double Tap,True
Pummel,True
Spot Weakness,True
Fiend Fire,True
Exhume,True
Disarm,True
Demon Form,True
Defend_R,True
Brutality,True
Evolve,True
Pommel Strike,True
Hemokinesis,True
Uppercut,True
Bash,True
Shockwave,True
Dramatic Entrance,True
Strike_R,True
Inflame,True
Perfected Strike,True
Reaper,True
Shrug It Off,True
Feel No Pain,True
Regret,True
Body Slam,True
Barricade,True
Exhume,True
Armaments,True
Writhe,True
Disarm,True
Defend_R,True
Iron Wave,True
Burning Pact,True
Feed,True
Seeing Red,True
Blood for Blood,True
Intimidate,True
Dual Wield,True
Shockwave,True
Inflame,True
Offering,True
Impervious,True
Bloodletting,True
Twin Strike,True
Reaper,True
Headbutt,True
Dark Embrace,True
Shrug It Off,True
Uppercut,False
Feel No Pain,False
Double Tap,False
Flame Barrier,False
Bash,False
Dark Embrace,False
Apparition,False
Sever Soul,False
Corruption,False
Body Slam,False
Defend_R,False
Cleave,False
Strike_R,False
Mayhem,False
Inflame,False
Feed,False
Feel No Pain,True
Battle Trance,True
Bloodletting,True
Bash,True
Dual Wield,True
Fiend Fire,True
Shockwave,True
Demon Form,True
Defend_R,True
Barricade,True
Reaper,True
Second Wind,True
Spot Weakness,True
Power Through,True
Bludgeon,True
Immolate,False
Double Tap,False
Flame Barrier,False
Bash,False
Body Slam,False
Defend_R,False
Carnage,False
Strike_R,False
Headbutt,False
Feel No Pain,False
Pummel,False
Corruption,False
Combust,False
Thunderclap,False
Madness,False
Spot Weakness,False
Exhume,False
Armaments,False
Writhe,False
Evolve,False
Whirlwind,False
Hemokinesis,False
Blood for Blood,False
Uppercut,False
Bash,False
Ghostly Armor,False
Offering,False
Twin Strike,False
Entrench,False
Dark Embrace,False
Shrug It Off,False
Power Through,False
Feel No Pain,True
Regret,True
Pain,True
Second Wind,True
Body Slam,True
Spot Weakness,True
Fiend Fire,True
Armaments,True
Disarm,True
Defend_R,True
Burning Pact,True
Feed,True
Whirlwind,True
Uppercut,True
Bash,True
Reckless Charge,True
Impervious,True
Clothesline,True
Heavy Blade,True
Reaper,True
Dark Embrace,True
Shrug It Off,True
Power Through,True
Second Wind,True
Corruption,True
Barricade,True
Thunderclap,True
Rupture,True
Spot Weakness,True
Armaments,True
Battle Trance,True
Burning Pact,True
Pommel Strike,True
Seeing Red,True
Blood for Blood,True
Berserk,True
Warcry,True
Bash,True
Shockwave,True
Reckless Charge,True
Perfected Strike,True
Offering,True
Bloodletting,True
Impervious,True
Twin Strike,True
Carnage,True
Reaper,True
Headbutt,True
Dark Embrace,True
Shrug It Off,True
Feel No Pain,False
Pain,False
Parasite,False
Clothesline,False
Havoc,False
Bash,False
Defend_R,False
Ghostly Armor,False
Brutality,False
Strike_R,False
Headbutt,False
Reaper,False
Pommel Strike,False
Blood for Blood,False
Flash of Steel,True
Body Slam,True
Corruption,True
Barricade,True
Spot Weakness,True
Fiend Fire,True
Exhume,True
Defend_R,True
Burning Pact,True
Evolve,True
Feed,True
Warcry,True
Blood for Blood,True
Bash,True
Dual Wield,True
Shockwave,True
Dramatic Entrance,True
Discovery,True
Offering,True
Impervious,True
Reaper,True
Second Wind,True
Shrug It Off,True
Secret Technique,False
Corruption,False
Dark Embrace,False
Spot Weakness,False
Fiend Fire,False
Battle Trance,False
Immolate,False
Disarm,False
Defend_R,False
Iron Wave,False
Evolve,False
Feed,False
Pommel Strike,False
Uppercut,False
Anger,False
Bash,False
Shockwave,False
PanicButton,False
Twin Strike,False
Entrench,False
Second Wind,False
Shrug It Off,False
Power Through,False
Feel No Pain,True
Spot Weakness,True
Fiend Fire,True
Purity,True
Evolve,True
Whirlwind,True
Warcry,True
Uppercut,True
Anger,True
Dark Shackles,True
RitualDagger,True
Panache,True
Shockwave,True
Ghostly Armor,True
Rage,True
Reckless Charge,True
Offering,True
Bloodletting,True
Heavy Blade,True
Limit Break,True
Reaper,True
Headbutt,True
Second Wind,True
Shrug It Off,True
Power Through,True
Feel No Pain,True
Second Wind,True
Secret Technique,True
Corruption,True
Infernal Blade,True
Fiend Fire,True
Armaments,True
Demon Form,True
Defend_R,True
Burning Pact,True
Feed,True
Whirlwind,True
Pommel Strike,True
Seeing Red,True
Evolve,True
Uppercut,True
Juggernaut,True
Flame Barrier,True
Bash,True
Dual Wield,True
Rage,True
Offering,True
Impervious,True
Clothesline,True
Entrench,True
Carnage,True
Dark Embrace,True
Shrug It Off,True
Offering,True
RitualDagger,True
Immolate,True
Bash,True
Dual Wield,True
Corruption,True
Dropkick,True
Carnage,True
Ghostly Armor,True
Burning Pact,True
Shrug It Off,True
Evolve,True
Trip,True
Rage,True
Feel No Pain,True
Double Tap,True
Metallicize,True
Thunderclap,True
Madness,True
Fiend Fire,True
Exhume,True
Armaments,True
Disarm,True
Demon Form,True
Feed,True
Seeing Red,True
Warcry,True
Pommel Strike,True
Shockwave,True
Ghostly Armor,True
Inflame,True
Rage,True
Offering,True
Clothesline,True
Finesse,True
Carnage,True
Second Wind,True
Shrug It Off,True
Feel No Pain,True
Pummel,True
Apparition,True
Corruption,True
Rupture,True
Apotheosis,True
Bludgeon,True
Exhume,True
Defend_R,True
Brutality,True
Burning Pact,True
Pommel Strike,True
Blood for Blood,True
Berserk,True
Flame Barrier,True
Bash,True
Shockwave,True
Strike_R,True
Offering,True
Finesse,True
Twin Strike,True
Heavy Blade,True
Shrug It Off,True
Uppercut,False
Anger,False
Bash,False
Disarm,False
Rampage,False
Defend_R,False
Strike_R,False
Pommel Strike,False
Spot Weakness,False
Hemokinesis,False
Feel No Pain,True
Double Tap,True
Second Wind,True
Body Slam,True
Corruption,True
Rampage,True
Barricade,True
Exhume,True
Armaments,True
Battle Trance,True
Disarm,True
Evolve,True
Uppercut,True
Dark Shackles,True
Flame Barrier,True
Dual Wield,True
Shockwave,True
Inflame,True
Offering,True
Bloodletting,True
Impervious,True
Dropkick,True
Dark Embrace,True
Shrug It Off,True
Feel No Pain,True
Secret Technique,True
Body Slam,True
Corruption,True
Barricade,True
Dark Embrace,True
Apotheosis,True
Battle Trance,True
Defend_R,True
Burning Pact,True
Pommel Strike,True
Flame Barrier,True
Shockwave,True
PanicButton,True
Offering,True
Bloodletting,True
Impervious,True
Entrench,True
Headbutt,True
Second Wind,True
Shrug It Off,True
Feel No Pain,True
Corruption,True
Barricade,True
Dark Embrace,True
Bludgeon,True
Fiend Fire,True
Exhume,True
Armaments,True
Battle Trance,True
True Grit,True
Disarm,True
Defend_R,True
Burning Pact,True
Evolve,True
Uppercut,True
Flame Barrier,True
Bash,True
Dual Wield,True
Shockwave,True
Strike_R,True
Discovery,True
Bloodletting,True
Clothesline,True
Twin Strike,True
Second Wind,True
Shrug It Off,True
Power Through,True
Corruption,False
Barricade,False
Cleave,False
Bludgeon,False
Exhume,False
Armaments,False
Disarm,False
Demon Form,False
Defend_R,False
Burning Pact,False
Evolve,False
Seeing Red,False
Pommel Strike,False
Whirlwind,False
Uppercut,False
RitualDagger,False
Flame Barrier,False
Bash,False
Dual Wield,False
Shockwave,False
Strike_R,False
Perfected Strike,False
Clothesline,False
Twin Strike,False
Dark Embrace,False
Feed,True
Impervious,True
Bloodletting,True
Armaments,True
Intimidate,True
Sentinel,True
Offering,True
Shockwave,True
Body Slam,True
Entrench,True
Defend_R,True
Barricade,True
Inflame,True
Headbutt,True
Evolve,True
Pommel Strike,True
Warcry,True
Discovery,True
Feel No Pain,True
Second Wind,True
Body Slam,True
Corruption,True
Deep Breath,True
Combust,True
Spot Weakness,True
Armaments,True
Disarm,True
Defend_R,True
Burning Pact,True
Feed,True
Whirlwind,True
Evolve,True
Dark Shackles,True
Flame Barrier,True
Bash,True
Dual Wield,True
PanicButton,True
Strike_R,True
Impervious,True
Bloodletting,True
Heavy Blade,True
Limit Break,True
Carnage,True
Reaper,True
Dark Embrace,True
Shrug It Off,True
Power Through,True
Feel No Pain,True
Apparition,True
Body Slam,True
Corruption,True
Barricade,True
Fiend Fire,True
Exhume,True
Armaments,True
Battle Trance,True
Immolate,True
Demon Form,True
Defend_R,True
Burning Pact,True
Evolve,True
Seeing Red,True
Pommel Strike,True
Anger,True
Bash,True
Shockwave,True
Strike_R,True
Offering,True
Clothesline,True
Headbutt,True
Dark Embrace,True
Shrug It Off,True
Flash of Steel,True
Second Wind,True
Secret Technique,True
Body Slam,True
Apotheosis,True
Fiend Fire,True
HandOfGreed,True
Disarm,True
Defend_R,True
Iron Wave,True
Burning Pact,True
Pommel Strike,True
Anger,True
Bash,True
Dual Wield,True
Shockwave,True
PanicButton,True
Strike_R,True
Inflame,True
Impervious,True
Offering,True
Bloodletting,True
Dark Embrace,True
Power Through,True
Feel No Pain,True
Apparition,True
Secret Technique,True
Body Slam,True
Corruption,True
Dark Embrace,True
Bludgeon,True
Immolate,True
True Grit,True
Defend_R,True
Burning Pact,True
Evolve,True
Seeing Red,True
Pommel Strike,True
Warcry,True
Bash,True
Ghostly Armor,True
Impervious,True
Bloodletting,True
Second Wind,True
Shrug It Off,True
Body Slam,False
Corruption,False
Combust,False
Rupture,False
Armaments,False
True Grit,False
Sever Soul,False
Feed,False
Pommel Strike,False
Warcry,False
Anger,False
Havoc,False
Flame Barrier,False
Bash,False
Fire Breathing,False
Shockwave,False
Inflame,False
Reckless Charge,False
Clothesline,False
Headbutt,False
Shrug It Off,False
Pain,False
Master of Strategy,False
Double Tap,False
Rupture,False
Battle Trance,False
Immolate,False
Disarm,False
Defend_R,False
Iron Wave,False
Evolve,False
Feed,False
Pommel Strike,False
Blood for Blood,False
Anger,False
Bash,False
Shockwave,False
Strike_R,False
Impervious,False
Bloodletting,False
Clothesline,False
Necronomicurse,False
Reaper,False
Shrug It Off,False
Body Slam,False
Corruption,False
CurseOfTheBell,False
Battle Trance,False
Armaments,False
Demon Form,False
Defend_R,False
Pommel Strike,False
Berserk,False
Uppercut,False
Flame Barrier,False
Bash,False
Fire Breathing,False
Strike_R,False
Perfected Strike,False
Impervious,False
Offering,False
Twin Strike,False
Dark Embrace,False
Shrug It Off,False
Feel No Pain,True
Fiend Fire,True
Battle Trance,True
Disarm,True
Demon Form,True
Defend_R,True
Iron Wave,True
Burning Pact,True
Pommel Strike,True
Berserk,True
Uppercut,True
Bash,True
Shockwave,True
Strike_R,True
Offering,True
Bloodletting,True
Reaper,True
Shrug It Off,True
Power Through,True
Feel No Pain,True
Body Slam,True
Corruption,True
Barricade,True
Dark Embrace,True
Spot Weakness,True
Exhume,True
Battle Trance,True
Disarm,True
Defend_R,True
Evolve,True
Seeing Red,True
Pommel Strike,True
Anger,True
Bash,True
Inflame,True
Strike_R,True
Impervious,True
Clothesline,True
Headbutt,True
Second Wind,True
Shrug It Off,True
Power Through,True
Feel No Pain,True
Offering,True
Armaments,True
Juggernaut,True
Clothesline,True
Bash,True
Shockwave,True
Corruption,True
Defend_R,True
Combust,True
Carnage,True
Metallicize,True
Spot Weakness,True
Pommel Strike,True
Evolve,True
Power Through,True
Shrug It Off,True
Feel No Pain,True
Pummel,True
Exhume,True
Armaments,True
Battle Trance,True
Demon Form,True
Defend_R,True
Evolve,True
Pommel Strike,True
Uppercut,True
Anger,True
Dark Shackles,True
Bash,True
Strike_R,True
Perfected Strike,True
Offering,True
Limit Break,True
Headbutt,True
Dark Embrace,True
Shrug It Off,True
Power Through,True
Body Slam,True
Rupture,True
Apotheosis,True
Exhume,True
Battle Trance,True
True Grit,True
Disarm,True
Defend_R,True
Brutality,True
Burning Pact,True
Pommel Strike,True
Seeing Red,True
Blood for Blood,True
Whirlwind,True
Berserk,True
Uppercut,True
Anger,True
Bash,True
Shockwave,True
Offering,True
Impervious,True
Bloodletting,True
Carnage,True
Shrug It Off,True
Power Through,True
Anger,False
Impervious,False
Armaments,False
Offering,False
Immolate,False
Flame Barrier,False
Bash,False
Seeing Red,False
PanicButton,False
Body Slam,False
Corruption,False
Defend_R,False
Cleave,False
Strike_R,False
Dark Embrace,False
Shrug It Off,False
Feed,False
Pommel Strike,False
Uppercut,False
Anger,False
Bash,False
Shockwave,False
Defend_R,False
Ghostly Armor,False
Strike_R,False
Burning Pact,False
Apotheosis,False
Feed,False
Hemokinesis,False
Shrug It Off,False
Feel No Pain,True
Body Slam,True
Corruption,True
Barricade,True
Dark Embrace,True
Spot Weakness,True
Disarm,True
Demon Form,True
Defend_R,True
Panacea,True
Pommel Strike,True
Whirlwind,True
Blood for Blood,True
Flame Barrier,True
Bash,True
Shockwave,True
Strike_R,True
Impervious,True
Clothesline,True
Twin Strike,True
Carnage,True
Second Wind,True
Feel No Pain,True
Apparition,True
Cleave,True
Spot Weakness,True
Fiend Fire,True
Exhume,True
Armaments,True
Battle Trance,True
Defend_R,True
Feed,True
Hemokinesis,True
Warcry,True
Blood for Blood,True
Uppercut,True
Bash,True
Dual Wield,True
Shockwave,True
Inflame,True
Impervious,True
