Enemy,Damage Taken
Champ,141.0
The Heart,115.0
The Heart,113.0
Time Eater,111.0
The Heart,109.0
Reptomancer,107.0
The Heart,104.0
Time Eater,101.0
Time Eater,100.0
Book of Stabbing,99.0
The Heart,97.0
Time Eater,95.0
The Heart,95.0
Spire Growth,89.0
Awakened One,85.0
The Heart,84.0
The Heart,83.0
Slavers,80.0
Shield and Spear,78.0
The Heart,78.0
Awakened One,76.0
The Heart,76.0
Time Eater,76.0
The Heart,75.0
Shield and Spear,74.0
Automaton,74.0
Shield and Spear,70.0
The Heart,68.0
Automaton,67.0
Donu and Deca,67.0
Shield and Spear,66.0
Champ,66.0
Automaton,65.0
Champ,65.0
Champ,64.0
Champ,64.0
Reptomancer,61.0
Awakened One,60.0
Reptomancer,58.0
Giant Head,58.0
Book of Stabbing,57.0
Time Eater,56.0
Awakened One,56.0
Reptomancer,56.0
Slavers,54.0
Donu and Deca,53.0
Slime Boss,53.0
Hexaghost,53.0
The Heart,53.0
Slavers,52.0
Slavers,52.0
Slavers,52.0
The Heart,52.0
Lagavulin,51.0
Slavers,51.0
Awakened One,49.0
Gremlin Nob,49.0
3 Sentries,49.0
3 Byrds,48.0
The Heart,48.0
Awakened One,48.0
3 Sentries,47.0
2 Orb Walkers,46.0
Champ,46.0
Slime Boss,46.0
Slime Boss,46.0
The Heart,45.0
Hexaghost,45.0
3 Sentries,45.0
The Guardian,45.0
Collector,45.0
Masked Bandits,45.0
Champ,44.0
The Guardian,44.0
Reptomancer,44.0
Nemesis,44.0
Reptomancer,43.0
Donu and Deca,43.0
Reptomancer,43.0
The Heart,43.0
The Heart,43.0
Automaton,43.0
Collector,43.0
3 Sentries,42.0
Lagavulin,42.0
Champ,42.0
The Guardian,41.0
Champ,41.0
Automaton,41.0
Awakened One,41.0
3 Sentries,41.0
Awakened One,40.0
3 Sentries,40.0
Shell Parasite,40.0
Donu and Deca,40.0
Book of Stabbing,40.0
Hexaghost,40.0
Book of Stabbing,40.0
Time Eater,40.0
Collector,40.0
The Heart,40.0
Reptomancer,40.0
Slime Boss,39.0
Champ,38.0
3 Darklings,38.0
Time Eater,38.0
The Heart,38.0
Gremlin Leader,38.0
The Guardian,37.0
Nemesis,37.0
Time Eater,37.0
Lagavulin,37.0
3 Sentries,37.0
Lagavulin,37.0
Gremlin Leader,37.0
The Guardian,37.0
Slavers,37.0
Shelled Parasite and Fungi,37.0
Maw,37.0
Shield and Spear,36.0
The Guardian,36.0
Gremlin Nob,36.0
Slavers,36.0
Slime Boss,36.0
Shield and Spear,36.0
Awakened One,35.0
3 Shapes,35.0
Slime Boss,35.0
3 Sentries,35.0
Shield and Spear,35.0
3 Sentries,35.0
Collector,35.0
The Heart,35.0
Lagavulin,35.0
Collector,35.0
Awakened One,35.0
Lagavulin,35.0
Lagavulin,35.0
Automaton,34.0
Slime Boss,34.0
Large Slime,34.0
3 Sentries,34.0
Nemesis,34.0
Time Eater,34.0
Slime Boss,34.0
Transient,33.0
Jaw Worm Horde,33.0
Hexaghost,33.0
The Heart,33.0
Automaton,32.0
Gremlin Nob,32.0
Sentry and Sphere,32.0
Sphere and 2 Shapes,32.0
Slavers,32.0
Shield and Spear,31.0
Gremlin Nob,31.0
Book of Stabbing,31.0
Shelled Parasite and Fungi,30.0
Book of Stabbing,30.0
Hexaghost,30.0
Slavers,30.0
Lagavulin,30.0
Hexaghost,30.0
The Guardian,30.0
Gremlin Leader,30.0
Centurion and Healer,30.0
The Heart,30.0
Shield and Spear,29.0
3 Sentries,29.0
Sentry and Sphere,29.0
Book of Stabbing,29.0
Gremlin Leader,29.0
Hexaghost,28.0
Gremlin Leader,28.0
Nemesis,28.0
Reptomancer,28.0
4 Shapes,28.0
The Guardian,28.0
Slime Boss,28.0
Gremlin Nob,28.0
Slime Boss,28.0
Spire Growth,28.0
3 Darklings,28.0
Hexaghost,28.0
Slime Boss,28.0
Collector,28.0
Donu and Deca,28.0
Slime Boss,28.0
Awakened One,28.0
Slavers,27.0
Awakened One,27.0
Gremlin Nob,27.0
Giant Head,27.0
3 Sentries,27.0
Slavers,27.0
Jaw Worm Horde,27.0
Shelled Parasite and Fungi,27.0
Shield and Spear,27.0
The Guardian,27.0
Book of Stabbing,27.0
The Heart,27.0
Lagavulin,27.0
2 Thieves,26.0
Nemesis,26.0
Transient,26.0
Exordium Thugs,26.0
Awakened One,26.0
Writhing Mass,26.0
Spire Growth,26.0
Spire Growth,26.0
Gremlin Nob,26.0
Donu and Deca,26.0
Mind Bloom Boss Battle,26.0
