Relic,Win
Burning Blood,True
Art of War,True
Blue Candle,True
Unceasing Top,True
Du-Vu Doll,True
Runic Cube,True
Bird Faced Urn,True
Chemical X,True
Thread and Needle,True
Whetstone,True
Question Card,True
Calling Bell,True
Oddly Smooth Stone,True
Paper Frog,True
StoneCalendar,True
DollysMirror,True
Membership Card,True
Bottled Tornado,True
Bronze Scales,True
CeramicFish,True
Anchor,True
Frozen Eye,True
Nunchaku,True
Gremlin Horn,True
Strawberry,True
Burning Blood,True
Lantern,True
Singing Bowl,True
The Courier,True
Mummified Hand,True
Tiny Chest,True
Snecko Eye,True
Omamori,True
Potion Belt,True
StrikeDummy,True
Self Forming Clay,True
Champion Belt,True
Pen Nib,True
Empty Cage,True
Orrery,True
HornCleat,True
Bottled Lightning,True
InkBottle,True
Happy Flower,True
TheAbacus,True
Bird Faced Urn,True
Shovel,True
Ornamental Fan,True
Gremlin Horn,True
Burning Blood,True
Lantern,True
Magic Flower,True
Eternal Feather,True
InkBottle,True
Centennial Puzzle,True
Shovel,True
Snecko Eye,True
Red Mask,True
Darkstone Periapt,True
Sundial,True
PreservedInsect,True
Akabeko,True
Regal Pillow,True
Omamori,True
Fusion Hammer,True
OrangePellets,True
CaptainsWheel,True
Smiling Mask,True
Oddly Smooth Stone,True
Art of War,True
Singing Bowl,True
Molten Egg 2,True
Bag of Preparation,True
Pantograph,True
Bag of Marbles,True
Burning Blood,True
Shovel,True
Vajra,True
Toxic Egg 2,True
War Paint,True
Odd Mushroom,True
Charon's Ashes,True
Smiling Mask,True
Bag of Marbles,True
Calling Bell,True
Strawberry,True
Molten Egg 2,True
Old Coin,True
ClockworkSouvenir,True
PreservedInsect,True
HornCleat,True
Blue Candle,True
Thread and Needle,True
Fusion Hammer,True
Magic Flower,True
Toolbox,True
Pocketwatch,True
Bronze Scales,True
Gambling Chip,True
CaptainsWheel,True
Mummified Hand,True
Orichalcum,True
Eternal Feather,True
Calipers,True
Burning Blood,False
Pantograph,False
Mummified Hand,False
Medical Kit,False
Whetstone,False
Odd Mushroom,False
Blue Candle,False
Coffee Dripper,False
Singing Bowl,False
Self Forming Clay,False
Bag of Marbles,False
Old Coin,False
Spirit Poop,False
Runic Dome,False
Vajra,False
Potion Belt,False
Shuriken,False
Strawberry,False
Lizard Tail,False
Bronze Scales,False
Burning Blood,False
Golden Idol,False
War Paint,False
The Courier,False
Mummified Hand,False
Lantern,False
Burning Blood,True
Lantern,True
Toy Ornithopter,True
Potion Belt,True
Letter Opener,True
Red Skull,True
Philosopher's Stone,True
Medical Kit,True
PreservedInsect,True
Kunai,True
Bronze Scales,True
Centennial Puzzle,True
Pandora's Box,True
Frozen Eye,True
Champion Belt,True
Calipers,True
Whetstone,True
Boot,True
Orrery,True
Orichalcum,True
Blood Vial,True
Burning Blood,False
Golden Idol,False
Burning Blood,False
NeowsBlessing,False
Omamori,False
Question Card,False
Letter Opener,False
Cursed Key,False
Singing Bowl,False
Burning Blood,False
Magic Flower,False
WingedGreaves,False
Shuriken,False
Centennial Puzzle,False
Bag of Preparation,False
Letter Opener,False
Juzu Bracelet,False
Philosopher's Stone,False
Boot,False
Meat on the Bone,False
Blood Vial,False
Enchiridion,False
Happy Flower,False
Question Card,False
Calling Bell,False
Omamori,False
The Courier,False
Thread and Needle,False
Art of War,False
Bottled Tornado,False
Burning Blood,True
Ornamental Fan,True
Orichalcum,True
PreservedInsect,True
Blood Vial,True
Pantograph,True
Bronze Scales,True
Snecko Eye,True
Girya,True
Bag of Preparation,True
Frozen Egg 2,True
Toxic Egg 2,True
Frozen Eye,True
Coffee Dripper,True
Thread and Needle,True
Ancient Tea Set,True
Lantern,True
Unceasing Top,True
Toolbox,True
Vajra,True
Art of War,True
Centennial Puzzle,True
Burning Blood,True
Toy Ornithopter,True
Happy Flower,True
Blue Candle,True
Orichalcum,True
Membership Card,True
Bag of Preparation,True
Dead Branch,True
Astrolabe,True
Regal Pillow,True
Sundial,True
Unceasing Top,True
Darkstone Periapt,True
Bronze Scales,True
StoneCalendar,True
Cursed Key,True
Pantograph,True
MawBank,True
Question Card,True
Frozen Egg 2,True
HornCleat,True
Paper Frog,True
Pen Nib,True
Akabeko,True
Red Skull,True
Burning Blood,False
Eternal Feather,False
Singing Bowl,False
Smiling Mask,False
Art of War,False
Coffee Dripper,False
ClockworkSouvenir,False
Burning Blood,True
Unceasing Top,True
InkBottle,True
Self Forming Clay,True
Ancient Tea Set,True
Singing Bowl,True
Snecko Eye,True
Red Mask,True
Omamori,True
Nunchaku,True
Bottled Tornado,True
Frozen Egg 2,True
Sundial,True
SlaversCollar,True
FossilizedHelix,True
Toolbox,True
Centennial Puzzle,True
Membership Card,True
Letter Opener,True
Torii,True
Medical Kit,True
Gremlin Horn,True
Burning Blood,False
Vajra,False
Regal Pillow,False
Bottled Lightning,False
Burning Blood,False
Centennial Puzzle,False
Golden Idol,False
Bag of Marbles,False
Orichalcum,False
Vajra,False
Pandora's Box,False
Eternal Feather,False
Smiling Mask,False
Meat on the Bone,False
Bottled Lightning,False
Regal Pillow,False
Runic Pyramid,False
Burning Blood,True
CaptainsWheel,True
CeramicFish,True
Centennial Puzzle,True
StoneCalendar,True
Shuriken,True
Snecko Eye,True
TungstenRod,True
Nunchaku,True
Blue Candle,True
Strange Spoon,True
ClockworkSouvenir,True
Cursed Key,True
Bag of Marbles,True
Magic Flower,True
Pen Nib,True
Membership Card,True
Eternal Feather,True
Burning Blood,True
PreservedInsect,True
Darkstone Periapt,True
The Courier,True
Bird Faced Urn,True
Lantern,True
Runic Pyramid,True
Happy Flower,True
ClockworkSouvenir,True
Enchiridion,True
White Beast Statue,True
InkBottle,True
Shuriken,True
Dream Catcher,True
Pandora's Box,True
TheAbacus,True
Blood Vial,True
War Paint,True
Dead Branch,True
Akabeko,True
DollysMirror,True
Strawberry,True
Burning Blood,False
Ginger,False
Juzu Bracelet,False
Letter Opener,False
WarpedTongs,False
Odd Mushroom,False
Fusion Hammer,False
Burning Blood,True
Meat on the Bone,True
Juzu Bracelet,True
Sundial,True
Odd Mushroom,True
Bag of Preparation,True
Fusion Hammer,True
Nloth's Gift,True
Dream Catcher,True
Gremlin Horn,True
Omamori,True
Boot,True
Strawberry,True
SlaversCollar,True
Prayer Wheel,True
Akabeko,True
Pen Nib,True
Vajra,True
ClockworkSouvenir,True
Orrery,True
Ornamental Fan,True
Burning Blood,False
Old Coin,False
Molten Egg 2,False
Shuriken,False
Oddly Smooth Stone,False
Akabeko,False
Velvet Choker,False
Orrery,False
Omamori,False
Bag of Preparation,False
Toolbox,False
Blood Vial,False
Coffee Dripper,False
Ginger,False
Bottled Flame,False
Thread and Needle,False
Ornamental Fan,False
MealTicket,False
War Paint,False
Nunchaku,False
Burning Blood,True
Dead Branch,True
Shuriken,True
Lantern,True
Girya,True
Smiling Mask,True
CeramicFish,True
