Relic,Act,Picked,Win
SlaversCollar,1,True,True
Philosopher's Stone,1,False,True
Runic Dome,1,False,True
Pandora's Box,2,True,True
Black Star,2,False,True
Snecko Eye,2,False,True
Runic Pyramid,1,True,True
Snecko Eye,1,False,True
SacredBark,1,False,True
Tiny House,2,True,True
Velvet Choker,2,False,True
Runic Dome,2,False,True
Astrolabe,1,True,True
Philosopher's Stone,1,False,True
Busted Crown,1,False,True
Nuclear Battery,2,True,True
Inserter,2,False,True
SacredBark,2,False,True
SlaversCollar,1,True,False
Inserter,1,False,False
Busted Crown,1,False,False
SacredBark,2,True,False
Runic Dome,2,False,False
Tiny House,2,False,False
Coffee Dripper,1,True,True
Sozu,1,False,True
SacredBark,1,False,True
Astrolabe,2,True,True
Calling Bell,2,False,True
Pandora's Box,2,False,True
Coffee Dripper,1,True,False
Tiny House,1,False,False
Ectoplasm,1,False,False
Runic Pyramid,1,True,True
Black Star,1,False,True
Cursed Key,1,False,True
Empty Cage,2,True,True
Calling Bell,2,False,True
Snecko Eye,2,False,True
Astrolabe,1,True,False
Runic Dome,1,False,False
Cursed Key,1,False,False
Sozu,2,True,False
Pandora's Box,2,False,False
Black Star,2,False,False
Runic Pyramid,1,True,True
Inserter,1,False,True
Cursed Key,1,False,True
Pandora's Box,2,True,True
Tiny House,2,False,True
Fusion Hammer,2,False,True
SlaversCollar,1,True,True
Busted Crown,1,False,True
FrozenCore,1,False,True
Nuclear Battery,2,True,True
Snecko Eye,2,False,True
Inserter,2,False,True
Runic Pyramid,1,True,True
Fusion Hammer,1,False,True
Inserter,1,False,True
Astrolabe,2,True,True
Nuclear Battery,2,False,True
Snecko Eye,2,False,True
Inserter,1,True,False
Velvet Choker,1,False,False
Snecko Eye,1,False,False
SacredBark,2,True,False
Busted Crown,2,False,False
FrozenCore,2,False,False
Coffee Dripper,1,True,False
Ectoplasm,1,False,False
SlaversCollar,1,False,False
Velvet Choker,1,True,True
Sozu,1,False,True
Ectoplasm,1,False,True
Nuclear Battery,2,True,True
Fusion Hammer,2,False,True
Empty Cage,2,False,True
Inserter,1,True,True
Astrolabe,1,False,True
Ectoplasm,1,False,True
Runic Pyramid,2,True,True
Cursed Key,2,False,True
Empty Cage,2,False,True
Astrolabe,1,True,False
Calling Bell,1,False,False
Empty Cage,1,False,False
Astrolabe,1,True,True
FrozenCore,1,False,True
Nuclear Battery,1,False,True
Runic Pyramid,2,True,True
Runic Dome,2,False,True
Sozu,2,False,True
Nuclear Battery,1,True,False
Snecko Eye,1,False,False
Calling Bell,1,False,False
SlaversCollar,2,True,False
Inserter,2,False,False
Black Star,2,False,False
Calling Bell,1,True,True
Philosopher's Stone,1,False,True
Sozu,1,False,True
Runic Pyramid,2,True,True
SacredBark,2,False,True
Fusion Hammer,2,False,True
Runic Pyramid,1,True,True
FrozenCore,1,False,True
Nuclear Battery,1,False,True
Cursed Key,2,True,True
Busted Crown,2,False,True
Snecko Eye,2,False,True
Astrolabe,1,True,False
Black Star,1,False,False
FrozenCore,1,False,False
Astrolabe,1,True,False
Ectoplasm,1,False,False
Coffee Dripper,1,False,False
Runic Pyramid,1,True,True
Tiny House,1,False,True
SlaversCollar,1,False,True
Black Star,2,True,True
Snecko Eye,2,False,True
Philosopher's Stone,2,False,True
Pandora's Box,1,True,False
Black Star,1,False,False
FrozenCore,1,False,False
Coffee Dripper,2,True,False
SacredBark,2,False,False
Empty Cage,2,False,False
Snecko Eye,1,True,True
Black Star,1,False,True
Cursed Key,1,False,True
SlaversCollar,2,True,True
Pandora's Box,2,False,True
FrozenCore,2,False,True
Fusion Hammer,1,True,True
Tiny House,1,False,True
FrozenCore,1,False,True
Empty Cage,2,True,True
Velvet Choker,2,False,True
Black Star,2,False,True
Runic Pyramid,1,True,False
Ectoplasm,1,False,False
Nuclear Battery,1,False,False
Empty Cage,2,True,False
Busted Crown,2,False,False
Inserter,2,False,False
Fusion Hammer,1,True,False
Tiny House,1,False,False
Astrolabe,1,False,False
Fusion Hammer,1,True,True
FrozenCore,1,False,True
SlaversCollar,1,False,True
SacredBark,2,True,True
Velvet Choker,2,False,True
Runic Dome,2,False,True
Nuclear Battery,1,True,True
Ectoplasm,1,False,True
Inserter,1,False,True
Runic Pyramid,2,True,True
Velvet Choker,2,False,True
Snecko Eye,2,False,True
Coffee Dripper,1,True,True
Velvet Choker,1,False,True
Fusion Hammer,1,False,True
Astrolabe,2,True,True
Calling Bell,2,False,True
Empty Cage,2,False,True
SlaversCollar,1,True,False
Velvet Choker,1,False,False
Sozu,1,False,False
Nuclear Battery,1,True,True
Astrolabe,1,False,True
Runic Dome,1,False,True
Fusion Hammer,2,True,True
Cursed Key,2,False,True
Pandora's Box,2,False,True
Fusion Hammer,1,True,False
Philosopher's Stone,1,False,False
SlaversCollar,1,False,False
Cursed Key,2,True,False
SacredBark,2,False,False
Runic Dome,2,False,False
Astrolabe,1,True,True
SlaversCollar,1,False,True
Empty Cage,1,False,True
Runic Pyramid,2,True,True
Nuclear Battery,2,False,True
FrozenCore,2,False,True
Calling Bell,1,True,False
SacredBark,1,False,False
Coffee Dripper,1,False,False
Ectoplasm,1,True,False
Inserter,1,False,False
Empty Cage,1,False,False
Astrolabe,2,True,False
FrozenCore,2,False,False
Calling Bell,2,False,False
Nuclear Battery,1,True,False
SacredBark,1,False,False
Tiny House,1,False,False
Fusion Hammer,1,True,True
Ectoplasm,1,False,True
FrozenCore,1,False,True
Runic Pyramid,2,True,True
Astrolabe,2,False,True
Nuclear Battery,2,False,True
Pandora's Box,1,True,True
Busted Crown,1,False,True
Calling Bell,1,False,True
Nuclear Battery,2,True,True
Astrolabe,2,False,True
Cursed Key,2,False,True
Fusion Hammer,1,True,True
SacredBark,1,False,True
Calling Bell,1,False,True
Cursed Key,2,True,True
FrozenCore,2,False,True
Tiny House,2,False,True
Snecko Eye,1,True,True
Sozu,1,False,True
Astrolabe,1,False,True
Philosopher's Stone,2,True,True
Black Star,2,False,True
Runic Pyramid,2,False,True
Pandora's Box,1,True,True
SacredBark,1,False,True
SlaversCollar,1,False,True
Empty Cage,2,True,True
FrozenCore,2,False,True
Calling Bell,2,False,True
Fusion Hammer,1,True,True
Empty Cage,1,False,True
Inserter,1,False,True
Nuclear Battery,2,True,True
SlaversCollar,2,False,True
Sozu,2,False,True
Snecko Eye,1,True,True
Coffee Dripper,1,False,True
Busted Crown,1,False,True
SacredBark,2,True,True
Runic Pyramid,2,False,True
Velvet Choker,2,False,True
Nuclear Battery,1,True,True
Calling Bell,1,False,True
Pandora's Box,1,False,True
Tiny House,2,True,True
Inserter,2,False,True
Fusion Hammer,2,False,True
Cursed Key,1,True,True
Busted Crown,1,False,True
Philosopher's Stone,1,False,True
Calling Bell,2,True,True
Sozu,2,False,True
Inserter,2,False,True
