Card,Win
Capacitor,True
Glacier,True
Buffer,True
Aggregate,True
Sweeping Beam,True
Steam,True
Turbo,True
Hologram,True
Storm,True
Compile Driver,True
Creative AI,True
Reboot,True
Rainbow,True
Steam Power,True
Beam Cell,True
Darkness,True
Doom and Gloom,True
Echo Form,True
Magnetism,True
Cold Snap,True
Coolheaded,True
Fission,True
Heatsinks,True
Consume,True
Leap,True
Go for the Eyes,True
Zap,True
Self Repair,True
Multi-Cast,True
Streamline,True
Undo,True
Biased Cognition,True
Static Discharge,True
Amplify,True
Chill,True
Secret Technique,True
Sweeping Beam,True
Skim,True
Hologram,True
Turbo,True
Blizzard,True
Dualcast,True
Compile Driver,True
Defragment,True
White Noise,True
Doom and Gloom,True
Core Surge,True
Echo Form,True
BootSequence,True
Cold Snap,True
Coolheaded,True
Ball Lightning,True
Streamline,True
Heatsinks,True
Genetic Algorithm,True
Go for the Eyes,True
Defend_B,True
Strike_B,True
Rebound,True
Self Repair,True
Meteor Strike,True
Double Energy,True
Electrodynamics,True
Glacier,True
Purity,True
Fusion,True
Melter,True
Secret Technique,True
Skim,True
Hologram,True
Turbo,True
Blizzard,True
Dualcast,True
Defragment,True
Chaos,True
Beam Cell,True
Core Surge,True
Echo Form,True
Ball Lightning,True
Coolheaded,True
Go for the Eyes,True
Defend_B,True
Strike_B,True
Self Repair,True
All For One,True
Meteor Strike,True
Redo,True
Defend_B,False
Zap,False
Strike_B,False
Hologram,False
Self Repair,False
BootSequence,False
Dualcast,False
Cold Snap,False
Genetic Algorithm,False
Double Energy,False
Loop,False
Writhe,False
Glacier,False
Electrodynamics,False
Static Discharge,False
Buffer,False
Discovery,False
Chill,False
Skim,False
Steam,False
Hologram,False
Turbo,False
Dualcast,False
Defragment,False
Seek,False
Beam Cell,False
White Noise,False
Doom and Gloom,False
Cold Snap,False
Coolheaded,False
Heatsinks,False
Go for the Eyes,False
Defend_B,False
Zap,False
Strike_B,False
Self Repair,False
Conserve Battery,False
Streamline,False
Defend_B,False
Skim,False
Zap,False
Strike_B,False
Doom and Gloom,False
Electrodynamics,False
