Enemy,Damage Taken
Shield and Spear,103.0
The Heart,95.0
Automaton,82.0
Awakened One,79.0
Automaton,78.0
Awakened One,77.0
Giant Head,67.0
Time Eater,65.0
The Heart,64.0
Reptomancer,63.0
Shield and Spear,62.0
Nemesis,62.0
Shield and Spear,60.0
The Heart,60.0
The Heart,60.0
Slavers,58.0
Automaton,57.0
Gremlin Nob,57.0
Shield and Spear,56.0
Snecko,55.0
Donu and Deca,55.0
Nemesis,54.0
Collector,53.0
Collector,52.0
3 Sentries,52.0
Gremlin Nob,51.0
The Heart,51.0
Gremlin Nob,50.0
Slavers,49.0
The Heart,48.0
The Heart,48.0
Donu and Deca,48.0
The Heart,47.0
Collector,46.0
Time Eater,45.0
2 Orb Walkers,45.0
Giant Head,44.0
Slavers,44.0
Slavers,44.0
The Heart,44.0
3 Darklings,43.0
Awakened One,43.0
Shield and Spear,43.0
Shield and Spear,41.0
The Heart,41.0
Automaton,40.0
The Heart,40.0
Gremlin Nob,40.0
3 Sentries,40.0
The Heart,40.0
Time Eater,39.0
Time Eater,39.0
Automaton,39.0
Cultist and Chosen,39.0
Automaton,38.0
Reptomancer,38.0
Time Eater,38.0
Gremlin Nob,38.0
The Heart,38.0
Awakened One,37.0
The Heart,37.0
Shield and Spear,36.0
Shield and Spear,36.0
Transient,36.0
The Heart,35.0
Slavers,35.0
2 Orb Walkers,35.0
3 Sentries,35.0
Collector,34.0
Giant Head,34.0
Shield and Spear,34.0
Masked Bandits,33.0
Cultist and Chosen,33.0
Chosen and Byrds,33.0
Donu and Deca,33.0
The Heart,33.0
Slavers,33.0
The Heart,32.0
Slime Boss,32.0
Transient,32.0
Slime Boss,32.0
Awakened One,32.0
3 Sentries,31.0
Champ,31.0
Masked Bandits,31.0
The Heart,31.0
Shield and Spear,31.0
Slime Boss,30.0
Gremlin Nob,30.0
Gremlin Leader,30.0
Gremlin Nob,30.0
Book of Stabbing,30.0
3 Sentries,30.0
Slavers,29.0
The Heart,29.0
The Heart,29.0
Nemesis,29.0
Awakened One,29.0
Slavers,28.0
Collector,28.0
Hexaghost,28.0
Shelled Parasite and Fungi,28.0
Giant Head,27.0
Large Slime,27.0
Shell Parasite,27.0
Shelled Parasite and Fungi,27.0
Gremlin Leader,27.0
The Heart,27.0
2 Thieves,26.0
Awakened One,26.0
4 Shapes,26.0
3 Darklings,26.0
3 Darklings,26.0
3 Sentries,26.0
Lagavulin,26.0
Nemesis,26.0
Sentry and Sphere,26.0
The Guardian,26.0
Donu and Deca,26.0
Slime Boss,25.0
The Heart,25.0
Shell Parasite,25.0
Book of Stabbing,25.0
Collector,25.0
3 Darklings,25.0
Writhing Mass,25.0
Slavers,25.0
Awakened One,24.0
3 Sentries,24.0
Gremlin Leader,24.0
Snake Plant,24.0
Slavers,24.0
Lagavulin,24.0
Exordium Thugs,24.0
Shield and Spear,23.0
Automaton,23.0
Hexaghost,23.0
3 Darklings,23.0
Slavers,23.0
The Heart,23.0
Lagavulin,23.0
Awakened One,23.0
Gremlin Leader,23.0
Awakened One,23.0
The Heart,23.0
Shield and Spear,23.0
4 Shapes,23.0
Time Eater,23.0
The Guardian,22.0
Gremlin Nob,22.0
Transient,22.0
The Heart,22.0
3 Byrds,22.0
Book of Stabbing,22.0
Lagavulin,22.0
The Heart,22.0
3 Darklings,22.0
Slavers,22.0
Sentry and Sphere,22.0
2 Thieves,22.0
3 Sentries,22.0
Colosseum Nobs,22.0
Collector,22.0
Slime Boss,22.0
Slavers,21.0
Transient,21.0
Hexaghost,21.0
Book of Stabbing,21.0
Slavers,21.0
Slavers,21.0
Shell Parasite,21.0
Gremlin Nob,21.0
Chosen and Byrds,21.0
Awakened One,21.0
Slavers,21.0
Collector,21.0
Reptomancer,21.0
Slavers,21.0
Automaton,20.0
Jaw Worm Horde,20.0
Time Eater,20.0
Reptomancer,20.0
3 Sentries,20.0
Shield and Spear,20.0
Donu and Deca,20.0
Giant Head,20.0
The Heart,20.0
Donu and Deca,20.0
Nemesis,20.0
3 Sentries,20.0
Snecko,20.0
Automaton,20.0
Book of Stabbing,20.0
2 Thieves,20.0
Shell Parasite,20.0
Gremlin Gang,19.0
3 Sentries,19.0
3 Sentries,19.0
Shelled Parasite and Fungi,19.0
Chosen,19.0
Slavers,19.0
Orb Walker,19.0
Book of Stabbing,19.0
Time Eater,19.0
Exordium Wildlife,19.0
Shell Parasite,19.0
Slavers,19.0
Sentry and Sphere,19.0
Slime Boss,19.0
The Heart,19.0
Gremlin Leader,19.0
Shield and Spear,19.0
Transient,19.0
2 Thieves,18.0
Shell Parasite,18.0
3 Darklings,18.0
3 Sentries,18.0
Slavers,18.0
Nemesis,18.0
Hexaghost,18.0
Book of Stabbing,18.0
Hexaghost,18.0
Gremlin Nob,18.0
3 Shapes,18.0
Chosen and Byrds,18.0
3 Darklings,17.0
Lagavulin,17.0
Lagavulin,17.0
The Guardian,17.0
Book of Stabbing,17.0
Champ,17.0
Book of Stabbing,17.0
Gremlin Nob,17.0
3 Louse,17.0
3 Shapes,17.0
Exordium Thugs,17.0
Jaw Worm Horde,17.0
Slavers,17.0
Gremlin Gang,17.0
Sphere and 2 Shapes,17.0
Chosen and Byrds,17.0
Chosen,16.0
Slavers,16.0
Shelled Parasite and Fungi,16.0
Book of Stabbing,16.0
Reptomancer,16.0
Shield and Spear,16.0
Exordium Thugs,16.0
Exordium Thugs,16.0
Centurion and Healer,16.0
The Heart,16.0
2 Thieves,16.0
Jaw Worm Horde,16.0
Writhing Mass,16.0
3 Darklings,16.0
Lagavulin,16.0
Orb Walker,15.0
3 Darklings,15.0
Colosseum Slavers,15.0
Slavers,15.0
Masked Bandits,15.0
3 Sentries,15.0
Slavers,15.0
Small Slimes,15.0
Chosen and Byrds,15.0
3 Darklings,15.0
3 Sentries,15.0
Reptomancer,15.0
Book of Stabbing,15.0
2 Orb Walkers,15.0
Slavers,15.0
The Heart,15.0
The Guardian,15.0
Hexaghost,15.0
Shell Parasite,15.0
Snake Plant,15.0
2 Fungi Beasts,15.0
Lagavulin,15.0
Awakened One,15.0
Exordium Thugs,15.0
Time Eater,14.0
3 Darklings,14.0
Slavers,14.0
3 Byrds,14.0
Orb Walker,14.0
Book of Stabbing,14.0
Centurion and Healer,14.0
Transient,14.0
Automaton,14.0
Donu and Deca,14.0
4 Shapes,14.0
Gremlin Nob,14.0
Lagavulin,14.0
