Relic,Win
Cracked Core,True
Thread and Needle,True
PreservedInsect,True
Orichalcum,True
Dream Catcher,True
Matryoshka,True
Art of War,True
Happy Flower,True
SlaversCollar,True
Nunchaku,True
Bag of Preparation,True
Pen Nib,True
Mummified Hand,True
Omamori,True
Ginger,True
Strawberry,True
Frozen Egg 2,True
Pandora's Box,True
Vajra,True
HornCleat,True
Whetstone,True
Lantern,True
CaptainsWheel,True
White Beast Statue,True
Medical Kit,True
Pocketwatch,True
Ice Cream,True
SlaversCollar,True
Question Card,True
Gremlin Horn,True
Molten Egg 2,True
Runic Pyramid,True
Mercury Hourglass,True
Whetstone,True
Frozen Egg 2,True
Tiny House,True
Frozen Eye,True
Akabeko,True
Oddly Smooth Stone,True
Kunai,True
Bird Faced Urn,True
Nunchaku,True
Runic Dome,True
Eternal Feather,True
Happy Flower,True
Whetstone,True
Astrolabe,True
Enchiridion,True
WingedGreaves,True
The Courier,True
Incense Burner,True
Orichalcum,True
Nuclear Battery,True
DollysMirror,True
Turnip,True
Bag of Preparation,True
DataDisk,True
Blue Candle,True
War Paint,True
Pocketwatch,True
Orrery,True
Strawberry,True
Cracked Core,False
Ginger,False
Torii,False
Singing Bowl,False
Cracked Core,False
Regal Pillow,False
Matryoshka,False
Nunchaku,False
WingedGreaves,False
SlaversCollar,False
The Courier,False
Kunai,False
ClockworkSouvenir,False
Toy Ornithopter,False
Lizard Tail,False
Mercury Hourglass,False
Frozen Egg 2,False
Smiling Mask,False
SacredBark,False
Du-Vu Doll,False
Singing Bowl,False
Darkstone Periapt,False
Incense Burner,False
Cracked Core,False
CaptainsWheel,False
Du-Vu Doll,False
Cracked Core,True
Boot,True
DataDisk,True
Coffee Dripper,True
Runic Capacitor,True
Pen Nib,True
Question Card,True
Shuriken,True
Astrolabe,True
Membership Card,True
Dream Catcher,True
Incense Burner,True
White Beast Statue,True
DollysMirror,True
Happy Flower,True
War Paint,True
Cracked Core,False
StrikeDummy,False
Gremlin Horn,False
Akabeko,False
Potion Belt,False
Coffee Dripper,False
Bronze Scales,False
Letter Opener,False
Nunchaku,False
Lantern,False
Cracked Core,True
Bag of Preparation,True
Dream Catcher,True
Toy Ornithopter,True
Runic Pyramid,True
White Beast Statue,True
Incense Burner,True
Blue Candle,True
Empty Cage,True
Pen Nib,True
The Courier,True
Mummified Hand,True
Lantern,True
Juzu Bracelet,True
Strawberry,True
War Paint,True
StoneCalendar,True
Cracked Core,False
NeowsBlessing,False
Centennial Puzzle,False
Mummified Hand,False
Anchor,False
Toy Ornithopter,False
Orichalcum,False
Astrolabe,False
Akabeko,False
Frozen Eye,False
Dream Catcher,False
Sozu,False
Strawberry,False
Calipers,False
Lantern,False
Cracked Core,True
Bird Faced Urn,True
Vajra,True
Question Card,True
WarpedTongs,True
Strawberry,True
Runic Pyramid,True
Enchiridion,True
Pen Nib,True
Incense Burner,True
Darkstone Periapt,True
DataDisk,True
